CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
8,5,12,-,421.9,-81.45,175,421.4,433.75,350,2200,175,7.45,9.15,175,-2.05,7.45,39.1,857,166,270
41,-,-,-,411.95,-,175,324.8,357.75,525,2300,175,14,35.3,175,-,-,-,-,-,-
21,-4,24,45.63,276.3,-15,175,243.95,252.45,175,2400,175,25.55,27,175,-7.65,24.3,33.59,1344,265,1074
72,37,100,31.05,170,-27.65,175,172.1,178.8,700,2500,350,50.6,54.05,175,-3.55,54.75,35.45,1650,516,1021
278,154,974,33.52,117,-20.2,175,116.55,118.45,350,2600,350,88.7,96,175,-1.15,95,35.39,1235,47,357
1774,364,2852,34.63,76,-14.4,175,75.1,76.9,350,2700,350,148.65,161.85,175,4.05,153.55,36.66,516,-11,854
2078,259,2653,34.73,45.35,-11.7,175,46,48.9,175,2800,175,220,230.1,525,12,225.5,38.32,77,22,768
1142,143,1777,35.79,27.55,-8.3,175,27.4,28,175,2900,175,298.45,309.3,350,35,303,38.46,4,2,274
1875,265,1820,36.88,16.6,-6.35,175,16.6,16.9,175,3000,175,386.25,393.75,175,33,393,41.33,47,1,419
-,-,-,-,-,-,4200,2.05,33.1,175,3100,700,471.8,510.75,350,-1.75,465.6,-,-,-,172
459,59,1408,37.97,5.2,-3.9,175,5.2,5.4,175,3200,175,571.6,587.65,350,-2.8,560,-,1,-1,301
