CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,625,1216.65,1287.55,125,6200,1000,14,16.45,125,-50.95,15.05,37.28,757,212,212
-,-,-,-,-,-,500,1017.05,1118.85,250,6400,125,17.5,48,250,-,-,-,-,-,-
1,-,-,-,1000,-,625,821.85,945,125,6600,1250,39.1,74.95,125,-,-,-,-,-,-
-,-,-,-,-,-,250,730.05,858.7,500,6700,125,22,88.3,125,-,-,-,-,-,-
-,-,-,-,-,-,500,677.3,750.95,250,6800,125,67.35,68.3,250,-4.3,67.2,33.27,1340,131,574
-,-,-,-,-,-,500,578.4,685.9,375,6900,375,44.3,123.2,125,-,-,-,-,-,-
76,44,91,32.66,550.8,7.6,125,544.75,552.55,125,7000,1875,109,109.95,125,-6.05,109.15,32.58,4875,201,1164
3,-,-,-,486.65,-,625,416.05,551.95,375,7100,375,77.35,175.75,500,-,-,-,-,-,-
45,35,106,31.92,412,-1.95,125,406.45,412.4,125,7200,125,168,169.95,125,-10.3,168,31.78,1287,107,222
217,159,1135,30.85,344.25,-7.45,250,344.85,351.45,125,7300,125,206.4,209.4,125,-12.7,209.45,31.91,2351,164,470
308,177,1802,31.14,293.4,-6.55,125,290.5,295,125,7400,250,250.05,253,500,-19.9,249.85,31.26,2016,67,326
727,229,2914,31.03,245,-9,125,242.95,246.9,125,7500,125,300.2,303.55,125,-18,301,31.2,1173,75,1052
368,71,1291,31.05,203.4,-9.55,125,200.2,204.3,125,7600,125,356.55,366.85,125,-21.05,358.3,31.19,334,10,215
414,43,880,30.95,166.25,-11.1,250,163.8,166,375,7700,125,418.55,425.7,125,-19,420.6,31.14,73,-7,180
682,41,1566,30.86,134.35,-11.3,125,131.95,134.35,125,7800,125,485.1,492.9,125,-13.6,492.15,31.61,55,-1,358
332,69,643,30.79,107.5,-11.35,125,105.85,109.15,125,7900,125,558.05,571.1,125,-21.85,563.15,31.42,18,-8,200
1779,437,3255,30.87,86,-10.15,125,84.75,86.95,125,8000,125,631.05,644.15,125,-18.25,641.1,31.61,53,11,661
381,99,467,31.2,69.7,-7.5,125,66.75,74.45,125,8100,500,692.25,753.6,125,-,722,-,-,-,86
581,22,913,31.41,55.7,-6.8,125,53,55.05,125,8200,125,801.3,810.45,125,-9.15,810.7,32.62,11,-4,94
589,33,901,31.65,44.4,-6,125,42.9,45.55,125,8300,125,885.85,936.8,375,0.15,916.5,36.43,2,1,78
330,8,349,31.6,34.1,-6.2,125,33.25,38.35,125,8400,875,957.6,1011.65,125,-,919,-,-,-,51
1082,241,1460,32.96,30.9,-1.6,125,26.4,28,125,8500,750,1055.1,1097.8,125,-,1005,-,-,-,112
153,-20,266,32.48,22.35,-4.55,250,20.5,26.45,125,8600,250,1138.15,1209.6,500,-,1089.65,-,-,-,15
417,130,654,32.93,18.15,-3.25,125,16.4,19,875,8700,625,1249,1298.4,125,-,1279.15,-,-,-,64
-,-,-,-,-,-,125,12,43.35,125,8800,375,1325.55,1422.55,500,-,1235,-,-,-,5
-,-,-,-,-,-,500,5.5,34.2,750,8900,250,1420.8,1508.7,500,-,-,-,-,-,-
438,48,617,33.75,9,-2.15,125,8.5,9.2,125,9000,250,1519.5,1586.05,500,-,1570,-,-,-,3
-,-,-,-,-,-,500,2.5,25.45,125,9100,250,1612.6,1699.6,500,-,-,-,-,-,-
-,-,-,-,-,-,500,2.1,16,375,9200,250,1711.9,1794.5,625,-,1680,-,-,-,10
-,-,-,-,-,-,500,2.35,37.15,500,9400,250,1914.85,2007.5,500,-,1905,-,-,-,1
-,-,-,-,-,-,125,2.25,14.8,125,9600,500,2108.95,2187.35,500,-,-,-,-,-,-
