CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1600,366.4,399.8,1600,1240,4000,0.2,8.85,16000,-,-,-,-,-,-
2,-,-,-,346.5,-,1600,326.1,355.2,1600,1280,4000,0.3,4,800,-,0.3,-,-,-,1
-,-,-,-,-,-,1600,287.35,314,1600,1320,4000,0.3,4,800,-,-,-,-,-,-
-,-,-,-,-,-,1600,267.8,301.5,1600,1340,4000,0.3,9.85,3200,-,-,-,-,-,-
-,-,-,-,-,-,1600,248.15,281.6,1600,1360,800,0.35,9.85,3200,-,-,-,-,-,-
-,-,-,-,-,-,1600,228.9,257.2,1600,1380,800,0.35,5.3,16000,-,-,-,-,-,-
14,-,5,37.36,230,-3,800,209.2,221.7,800,1400,800,1.85,3.5,800,0.5,3.5,32.01,1,1,3
-,-,-,-,-,-,3200,189.6,219.4,3200,1420,800,0.8,8.1,800,-,3.2,-,-,-,3
2,-,-,-,208,-,1600,170.25,198.95,1600,1440,800,3.1,6.65,800,-,4,-,-,-,1
-,-,-,-,-,-,1600,151,176.45,1600,1460,800,4.7,5.35,800,-0.2,5.3,27.28,113,23,39
-,-,-,-,-,-,4000,131.3,161.65,3200,1480,16800,1.15,10.05,800,-,-,-,-,-,-
5,2,5,-,124,-6,800,122.05,130.45,1600,1500,800,8.55,9.25,800,-,9.25,26.08,62,15,85
1,-,-,-,143,-,1600,94.95,125.3,1600,1520,16000,4.45,21.1,16000,-,-,-,-,-,-
1,1,1,16.67,89.85,22.15,1600,82.2,101,3200,1540,800,14.75,16.3,800,0.35,16.7,25.61,15,4,12
8,6,13,16.28,73,-2.75,800,75.6,78.4,800,1560,800,20.2,21.2,800,-0.9,21.5,25.16,104,26,67
16,15,27,20.81,65.45,-2.9,800,60.1,67.8,1600,1580,800,26.35,29.75,1600,1,30,26.22,38,14,33
49,11,44,19.45,50.55,-0.2,800,51.15,53.05,800,1600,800,33.55,36,800,-1.6,35.8,25.02,218,25,87
15,8,27,20.94,42.4,0.25,800,40.95,42.55,800,1620,800,41.6,45.5,800,-2.25,45,25.02,24,1,17
35,7,44,20.7,32.65,-0.2,800,32.25,33.55,800,1640,800,52.85,57.95,1600,-6.85,49.15,21.66,2,-,21
55,10,103,21.08,25.6,-0.95,800,25.1,26.4,800,1660,800,63.25,69.25,800,-3.6,66.4,24.52,5,2,16
28,8,18,21.32,19.65,-7.1,800,19.25,20.7,800,1680,800,77.45,83.25,800,13.75,85,27.66,6,3,8
100,14,79,20.49,13.3,-2.75,800,14.75,15.75,800,1700,2400,84.75,105,4800,-,-,-,-,-,-
13,4,9,23.36,13.3,0.45,800,9.6,11.9,800,1720,1600,97.85,123.2,3200,-,-,-,-,-,-
25,13,23,22.35,8.65,-0.85,800,8.65,9.25,800,1740,800,126.7,135.6,800,-103.75,133,30.27,13,5,5
29,21,40,22.69,6.5,-3,800,6.6,7.1,800,1760,1600,132,156.75,3200,-,-,-,-,-,-
-,-,-,-,-,-,800,1.35,7,800,1780,800,146.85,189.75,800,-,-,-,-,-,-
169,47,164,23.98,4.05,-0.8,800,4.05,4.4,800,1800,1600,169.2,195,1600,-,-,-,-,-,-
-,-,-,-,-,-,800,1.05,12.25,16000,1820,3200,186.05,222.3,3200,-,-,-,-,-,-
48,23,27,25.86,2.9,0.75,800,2.2,2.9,3200,1840,800,207.3,232.6,800,-,-,-,-,-,-
-,-,-,-,-,-,800,0.4,3,800,1880,1600,246.9,273.1,1600,-,-,-,-,-,-
