CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,280,1401.05,1598.45,280,11000,4060,7.6,7.8,140,-1.2,7.75,23.17,4534,1212,2620
-,-,-,-,-,-,280,1225.8,1489.45,280,11100,700,7.5,9.5,2800,-24.65,9.75,22.7,4,4,4
-,-,-,-,-,-,280,1181.95,1494.4,280,11200,280,10,11.45,420,-30.65,10.3,21.53,437,248,248
-,-,-,-,-,-,280,1043.35,1386.55,280,11300,560,11.05,12.4,560,1.4,12.4,20.86,815,302,303
-,-,-,-,-,-,280,952.15,1284.35,280,11400,560,13,16.3,560,-42.75,14.3,20,65,42,42
54,1,7,-,1030,-95.2,140,1023.95,1054.7,140,11500,1680,18,19.4,140,1.1,18.75,19.65,5441,376,1383
-,-,-,-,-,-,280,807.1,1065.2,2660,11600,140,22.85,24.4,560,-53.85,23.95,19.2,247,124,124
-,-,-,-,-,-,560,829.15,865.5,560,11700,420,18.2,39.65,2800,-,-,-,-,-,-
-,-,-,-,-,-,560,792.9,826.35,560,11750,560,33.55,35.05,560,-22.6,34.55,18.55,64,50,51
-,-,-,-,-,-,560,764.1,1137.8,560,11775,280,27.2,52.45,280,-,-,-,-,-,-
8,-,-,-,885,-,700,620.6,776.95,560,11800,2380,39.25,39.95,280,1.8,39.25,18.36,5377,1361,1595
-,-,-,-,-,-,560,718.3,752.15,560,11825,280,30.55,69.9,280,-,-,-,-,-,-
-,-,-,-,-,-,560,696.2,730.55,560,11850,280,31.1,69.8,280,-,-,-,-,-,-
-,-,2,17.02,732.2,-1003.5,560,684.1,715.75,560,11875,280,46.8,49.2,560,-62.75,52.6,18.72,14,3,3
1,-,-,-,855,-,560,656.45,726.1,560,11900,560,50.55,52.15,280,-68.75,50.6,18.02,2317,1270,1270
-,-,2,16.07,682.1,-1012.5,560,557.1,681.55,560,11925,280,40.55,67,420,-,-,-,-,-,-
-,-,-,-,-,-,280,612,661,280,11950,280,40.6,70.6,420,-,-,-,-,-,-
-,-,-,-,-,-,280,591.1,638.95,560,11975,280,35.25,74.35,420,-,-,-,-,-,-
435,25,108,13.03,595,-47.25,560,580.85,600,140,12000,280,66,67.95,560,2.5,66.05,17.81,16075,369,5636
-,-,-,-,-,-,560,557.05,587.55,560,12025,560,69.95,73.05,560,-69.25,71.7,17.87,205,71,71
-,-,-,-,-,-,280,534.75,571.3,560,12050,280,47.05,86.8,420,-,-,-,-,-,-
-,-,-,-,-,-,280,258.2,623.5,2660,12075,140,48,125.35,2660,-,-,-,-,-,-
