CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,30750,17.9,18.95,24600,75,645750,0.05,0.15,6150,-0.2,0.15,42.12,12,8,8
6,5,18,21.67,13.7,0.7,6150,13.4,13.65,6150,80,73800,0.2,0.25,159900,-0.15,0.2,33.67,317,114,220
8,7,20,26.29,11.35,-0.6,6150,11.1,11.4,6150,82.5,18450,0.3,0.4,43050,-0.2,0.35,32.4,131,23,37
13,3,41,20.51,8.85,0.25,6150,8.85,9.05,6150,85,61500,0.55,0.6,12300,-0.25,0.6,31.24,429,37,278
12,12,56,23.91,6.8,-6.15,6150,6.8,7.05,6150,87.5,24600,0.95,1.05,24600,-0.45,1,30.18,241,27,123
144,38,360,25.13,5,0.1,6150,5.05,5.15,18450,90,6150,1.65,1.7,18450,-0.55,1.7,30.16,534,57,333
164,60,657,26.64,3.6,0.05,18450,3.55,3.65,12300,92.5,12300,2.6,2.7,12300,-0.65,2.7,30.34,402,61,195
885,328,2263,26.72,2.4,-0.1,43050,2.4,2.45,24600,95,12300,3.9,4,18450,-0.75,4.05,31.02,532,42,375
222,33,356,27.11,1.55,-0.15,18450,1.5,1.6,18450,97.5,12300,5.5,5.6,12300,-0.85,5.6,30.98,122,3,83
794,72,1520,27.92,1,-0.15,24600,0.95,1,92250,100,6150,7.3,7.55,6150,-0.8,7.6,33.18,69,5,170
125,14,118,28.19,0.6,-0.15,18450,0.55,0.65,12300,102.5,6150,9.45,9.7,6150,-0.7,9.75,35.47,40,-3,152
757,72,709,28.5,0.35,-0.15,166050,0.35,0.4,313650,105,6150,11.75,11.9,6150,-1.35,11.35,26.39,16,-2,208
216,109,312,30.28,0.25,-0.1,6150,0.25,0.3,36900,107.5,6150,14.05,14.35,6150,-0.75,14.15,37.36,15,-,50
326,70,256,32.58,0.2,-0.05,1316100,0.15,0.2,190650,110,6150,16.25,17.05,30750,-,17.35,-,-,-,49
35,18,21,34.23,0.15,-1.6,55350,0.1,0.15,36900,112.5,24600,18.6,19.45,24600,-,17.75,-,-,-,5
130,-26,64,31.58,0.05,-0.05,2047950,0.05,0.1,36900,115,24600,21.1,21.8,6150,-,22.3,-,-,-,86
