CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1375,495.65,530.7,550,2300,1100,1,9.85,275,-,-,-,-,-,-
-,-,-,-,-,-,1100,399.4,424.25,550,2400,275,3.55,6.25,275,-5,5,31.95,25,6,7
-,-,-,-,-,-,1100,347.55,376.35,550,2450,275,4.3,9.4,275,-36.15,6.25,29.89,27,10,10
4,-,-,-,364,-,1100,304.5,324.75,4125,2500,275,9.05,10,275,0.9,9.65,29.25,107,41,50
2,-,-,-,355,-,1375,255.35,293.15,275,2550,1375,8.45,33.3,275,-,-,-,-,-,-
4,-,-,-,290,-,1925,215.05,240.55,550,2600,1925,19.3,25,275,3.5,21.3,27.9,159,49,118
4,-,-,-,272,-,1375,166.05,197.2,825,2650,275,20.5,34.6,1375,-,-,-,-,-,-
37,22,39,28.38,153.35,-32.65,275,151.2,160.3,275,2700,825,40.25,49.55,275,10.85,48.2,28.32,232,82,171
-,-,-,-,-,-,275,111,134.1,825,2750,550,57.7,68.75,275,10.9,65.05,27.69,52,3,25
77,35,123,27.98,94.75,-28.35,275,95.15,98,275,2800,275,89,91.95,275,20.15,91.55,28.78,239,56,186
13,10,39,28.95,78.45,-71.55,275,72.15,83.85,275,2843,-,-,-,-,-,-,-,-,-,-
41,11,87,28.49,74.05,-21.85,275,73.65,76.3,275,2850,550,109.45,120.85,275,19.9,114.8,27.57,93,22,54
352,135,498,28.88,56.9,-15.9,275,55.1,59.4,275,2900,275,148.25,152.8,275,23.7,148,28.18,101,11,183
88,20,59,28.5,41,-14.4,275,41,50,275,2950,825,175.1,195.8,1375,-,116.1,-,-,-,11
566,67,645,28.79,30.25,-12,275,30.35,32.25,275,3000,275,216.7,232.6,275,28.6,225.35,29.85,19,-4,80
39,30,46,29.1,22.1,-11.4,275,22.4,25.85,275,3050,550,253.2,275.9,1375,-,157.35,-,-,-,2
99,28,146,29.43,16,-6.55,275,15.25,17.95,275,3100,550,295.7,320.35,1100,-,225.9,-,-,-,1
-,-,-,-,-,-,275,9.05,21.8,275,3150,550,335.7,375.3,1100,-,-,-,-,-,-
109,51,162,30.34,8.5,-4.55,275,7.7,8.75,825,3200,2750,390.85,412.4,1375,-,-,-,-,-,-
102,59,120,30.95,4.25,-4.75,275,4.2,4.95,275,3300,1375,485.1,504.1,1100,-,436,-,-,-,4
