CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1100,546.8,567.3,1100,2100,275,0.55,2.9,1100,-,-,-,-,-,-
26,-,-,-,480,-,1100,449.65,467.8,1100,2200,275,1.9,3.55,275,-0.5,2.5,33.55,23,16,42
-,-,-,-,-,-,1100,399.3,417.15,1100,2250,275,2.15,4,825,-2.85,3.15,31.42,7,-,7
19,-1,2,35.59,368.8,5.25,275,353.1,362.4,550,2300,275,3.55,4.95,275,-0.2,4.6,30.09,150,-15,72
4,4,4,32.54,320.5,-9.7,1100,302.5,322.8,550,2350,275,5.1,7.8,275,-0.5,6.5,28.56,106,34,50
292,1,4,-,252,-17.05,275,258.75,266.15,275,2400,275,9.6,10.2,275,-1.5,10.1,27.71,198,55,454
18,-,1,-,206.75,-21.45,1650,212.5,230.1,2200,2450,275,14.9,15.6,275,-1.7,15.65,27.01,213,49,154
157,1,6,22.71,177,-8.3,275,173,182.3,275,2500,275,22.6,23.95,275,-2.05,24.1,26.52,766,-16,493
17,-,-,-,148.65,0.65,275,135.35,149.95,550,2550,275,35.2,40.6,275,-3.65,35.95,26.06,228,56,157
335,-2,324,23.68,107.9,-7.5,275,104.65,109.3,275,2600,275,51.25,53.3,275,-4.95,51.7,25.56,907,120,486
133,69,534,23.5,79.3,-7.7,275,78.45,80.7,275,2650,550,72.5,74.35,275,-4.7,73,25.38,507,89,248
2033,94,1696,23.66,57.05,-6.85,275,54.45,57.8,275,2700,275,98.85,104.95,550,-2.4,100.4,25.58,372,-,851
292,96,543,23.91,40.05,-5.75,275,38.35,40.2,275,2750,275,130.9,141.45,1650,-8.7,125.55,23.38,23,5,35
694,106,955,23.79,26.5,-4.65,550,25.45,26.75,275,2800,275,166.1,179,1375,3,173.5,27.86,25,-1,220
106,-3,222,23.87,17.2,-4.25,275,15.35,17.95,275,2850,275,204.4,220.3,550,-7.95,209.1,26.59,2,1,16
256,50,338,24.57,11.8,-2.7,275,11.55,11.95,275,2900,275,251.95,255.8,275,-0.25,257.25,29.86,8,2,28
1,-,-,-,56,-,275,2.15,10.7,275,2950,825,288.05,312.55,1100,-,269.7,-,-,-,4
507,54,547,25.89,5.5,-1.5,275,5.1,5.55,275,3000,1650,334.85,358.5,1650,3.1,344.7,-,-,-,125
4,2,4,28.62,5.5,-0.6,275,3.15,5.6,275,3050,1100,382.25,407.45,275,-,361.7,-,-,-,6
238,-47,146,28.36,3.3,-0.45,275,2.75,3.3,550,3100,550,431.65,457.15,1100,-,409.4,-,-,-,2
3,2,2,30.49,2,-1,275,0.9,2,1375,3200,550,524.95,554.25,1100,-,-,-,-,-,-
