CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
8,-,-,-,41.25,-,7500,33.9,35.55,15000,150,7500,0.15,0.35,3750,-,-,-,-,-,-
20,20,44,-,24.85,-17.45,3750,24.9,25.15,3750,160,3750,0.35,0.4,22500,-0.15,0.35,33.11,83,4,69
8,8,15,-,21.5,-6.35,3750,20.15,20.45,3750,165,7500,0.5,0.65,7500,-0.1,0.6,31.57,69,27,45
11,9,36,-,15.6,-2.65,3750,15.65,15.9,3750,170,11250,1,1.05,7500,-0.1,1.1,30.84,224,62,325
107,-2,64,-,12.1,1.05,3750,11.5,12,3750,175,11250,1.8,1.85,7500,-0.3,1.85,29.75,417,102,222
98,27,177,10.16,8.15,0.6,3750,7.95,8.2,3750,180,7500,3.2,3.3,3750,-0.55,3.2,29.78,579,25,511
400,90,657,16.21,5.25,0.2,7500,5.1,5.3,3750,185,7500,5.25,5.4,3750,-0.7,5.4,31.15,570,115,477
894,113,1741,18.06,3.1,-,48750,3.1,3.25,7500,190,3750,8.2,8.4,3750,-0.85,8.45,33.62,266,-48,351
886,266,1113,19.71,1.8,-,7500,1.8,1.85,3750,195,3750,11.7,12.2,7500,-1,11.95,35.85,58,5,320
905,117,629,20.92,1,-0.05,37500,1,1.1,48750,200,3750,15.85,16.55,3750,-0.95,16.15,39.69,32,2,511
117,-39,166,23.04,0.65,-,3750,0.6,0.65,3750,205,3750,20.45,20.75,3750,4.4,20.8,44.74,32,12,14
475,19,212,23.83,0.35,-0.05,22500,0.35,0.4,45000,210,3750,25.2,25.5,3750,-0.35,25.75,50.78,23,5,120
70,17,25,26.98,0.15,-0.1,161250,0.15,0.2,33750,220,15000,34.35,35.95,15000,-,35,-,-,-,28
22,-3,10,33.18,0.15,-,337500,0.05,0.15,3750,230,-,-,-,-,-,-,-,-,-,-
