CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1500,242.25,257.65,750,1120,6000,0.2,2.15,375,-,-,-,-,-,-
-,-,-,-,-,-,1500,202.55,217.75,750,1160,3750,0.25,1.95,1500,-9.35,1.75,31.39,4,4,4
-,-,-,-,-,-,1875,182.95,198.95,750,1180,6000,0.6,5.35,375,-,-,-,-,-,-
1,-,-,-,216.4,-,750,163.5,179.15,1500,1200,375,3.2,3.8,375,0.35,3.65,30.36,111,71,81
-,-,-,-,-,-,750,146.25,160.1,1500,1220,375,5.15,5.5,375,0.3,5.5,30.37,18,11,17
-,-,-,-,-,-,750,128.25,139.35,750,1240,375,7.2,7.6,375,0.5,7.6,29.86,37,17,35
-,-,-,-,-,-,1875,111.75,121.7,1500,1260,375,9.9,10.45,375,0.95,10.45,29.45,65,8,93
-,-,-,-,-,-,1875,95.6,106.1,750,1280,375,13.4,14.25,375,1.5,14,28.94,106,51,94
19,18,21,28.72,86.7,-45.9,375,84.55,89.9,375,1300,375,18.6,19.25,375,1.8,18.6,28.53,322,-11,262
-,-,-,-,-,-,1875,67.2,75.85,750,1320,375,24.4,25.25,375,5.05,25.3,28.81,35,16,19
27,14,38,27.71,59.45,-21.95,375,58.9,60.95,750,1340,375,31.7,32.7,375,4.1,32.7,28.65,135,16,65
64,46,162,28.24,49.4,-17.1,375,45.85,49.2,375,1360,375,40.4,41.55,375,6.5,41.25,28.37,1046,76,183
71,41,160,27.53,38.8,-16.3,375,38.6,39.35,375,1380,750,46.1,51.8,375,7.75,52,28.62,139,18,45
241,32,434,27.08,30,-15.7,375,29.75,30.95,375,1400,375,61.8,63.7,375,8.55,62.5,27.86,336,14,220
195,50,249,27.58,24,-13.4,375,22.7,24.35,375,1420,1125,71.25,77.45,750,12.1,75.3,27.72,21,5,38
99,-5,107,27.86,18.8,-10.75,375,17.95,18.6,375,1440,1875,88.15,94.95,750,-,77.45,-,-,-,8
225,119,235,28.02,14.45,-10.55,375,13.55,14.05,375,1460,1875,103.8,110.35,750,2.65,91.65,-,-,-,227
41,10,95,27.72,10.5,-7.95,375,10.15,10.55,375,1480,750,117.5,126.85,750,-,-,-,-,-,-
354,74,295,28.04,8,-6.65,1125,8,8.9,750,1500,1875,132.15,145.45,750,-,122,-,-,-,30
7,-,-,-,12.35,-,375,3.8,8.15,375,1520,1500,148.15,164.7,750,-,-,-,-,-,-
55,31,83,28.57,4.5,-5.4,375,4.25,4.5,375,1540,1500,165.6,181.45,750,-,-,-,-,-,-
97,74,138,28.94,3.4,-3.3,375,3.3,3.4,750,1560,1500,185.5,200.15,3750,-,-,-,-,-,-
202,154,247,29.71,1.95,-2.5,750,1.8,2,375,1600,750,222.6,239.9,3750,-,210.5,-,-,-,64
