CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,58500,18.25,19.4,26000,80,195000,0.05,0.3,13000,-,-,-,-,-,-
-,-,-,-,-,-,32500,13.6,14.45,19500,85,6500,0.35,0.45,65000,0.05,0.4,37.99,14,11,12
-,-,-,-,-,-,45500,10.9,12.45,19500,87.5,6500,0.15,0.95,13000,-,-,-,-,-,-
16,3,5,30.56,9.7,-2.75,6500,9.55,9.75,6500,90,71500,1,1.05,39000,-0.05,1,36.22,106,8,130
-,-,-,-,-,-,32500,7.25,8.05,19500,92.5,6500,1.45,1.55,19500,-0.1,1.45,34.73,16,7,15
1,-,-,-,8.35,-,78000,5.5,6.15,6500,95,13000,2.25,2.3,78000,-,2.25,35.02,118,24,121
-,-,-,-,-,-,45500,4.05,4.85,19500,97.5,6500,3.25,3.3,13000,0.05,3.25,34.95,92,15,104
171,49,369,31.3,3.25,-0.55,13000,3.25,3.3,13000,100,26000,4.5,4.6,19500,0.1,4.5,34.95,187,9,173
97,21,71,31.98,2.35,-0.35,19500,2.3,2.4,13000,102.5,6500,6,6.15,19500,0.5,5.95,34.63,45,5,35
423,29,291,32.43,1.65,-0.35,26000,1.65,1.7,13000,105,6500,7.8,7.95,13000,0.5,7.85,36.52,58,-12,111
54,20,59,33.03,1.15,-0.25,6500,1.1,1.15,6500,107.5,13000,9.45,10.15,13000,-,8.8,-,-,-,6
289,-6,230,33.73,0.8,-0.15,32500,0.75,0.8,13000,110,19500,11.6,12.3,13000,0.05,11.6,-,-,-,93
19,1,8,35.22,0.6,-0.2,13000,0.5,0.6,13000,112.5,45500,13.8,14.55,13000,-,12,-,-,-,3
86,-,41,34.4,0.35,-0.1,117000,0.35,0.4,6500,115,6500,15.95,16.9,13000,-,15,-,-,-,14
5,-2,6,36.82,0.3,-0.05,6500,0.25,0.35,6500,117.5,13000,18.5,19.3,13000,-,-,-,-,-,-
80,-3,22,37.15,0.2,-0.05,13000,0.2,0.25,91000,120,13000,20.8,21.75,13000,-,19.75,-,-,-,31
-,-,-,-,-,-,-,-,0.25,6500,122.5,26000,23.25,24.3,58500,-,-,-,-,-,-
49,2,6,41.23,0.15,0.05,6500,0.1,0.15,32500,125,13000,25.7,26.6,26000,0.05,25.65,-,-,-,32
69,33,95,43.96,0.1,-0.05,260000,0.05,0.1,13000,130,26000,30.7,31.5,32500,-,26.75,-,-,-,18
