CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
4,4,7,34.57,26.8,-32.05,2700,25.5,25.95,2700,180,2700,0.75,0.85,13500,-4.2,0.8,34.15,61,56,56
6,6,9,-,21,-18.45,2700,21,21.45,2700,185,5400,1.2,1.3,2700,-3.6,1.25,32.82,15,12,12
8,8,10,22.58,16.75,-34.55,2700,16.8,17.2,2700,190,5400,1.95,2.05,5400,0.15,2,32.03,58,18,48
3,3,5,25.79,13.15,-19.15,2700,12.95,13.3,2700,195,2700,3.1,3.2,5400,-4.45,3.15,31.58,18,11,11
93,7,58,26.33,9.8,-3.15,2700,9.7,9.95,2700,200,8100,4.65,4.8,10800,0.65,4.75,31.2,329,46,124
46,46,113,26.35,6.95,-19.05,2700,6.95,7.15,2700,205,2700,6.8,6.95,2700,1.05,6.9,31.06,310,20,57
256,53,479,26.32,4.7,-2.6,8100,4.7,4.85,8100,210,2700,9.5,9.75,2700,1.55,9.65,31.26,259,8,168
107,43,219,26.63,3.1,-2,5400,3.1,3.2,5400,215,2700,12.85,13.15,2700,2.15,13.05,32.18,58,-9,47
386,9,405,27.06,2,-1.4,5400,2,2.05,5400,220,2700,16.7,16.95,2700,3.4,17.05,34.13,41,-4,170
102,35,70,27.78,1.3,-0.85,5400,1.25,1.3,5400,225,2700,20.9,21.2,2700,3.4,20.6,32.01,4,1,24
158,4,146,28.15,0.8,-0.65,29700,0.75,0.8,5400,230,2700,25.4,25.7,2700,4.35,25.1,33.75,6,2,37
36,-4,32,29.36,0.55,-0.5,5400,0.45,0.55,5400,235,2700,30.05,30.35,2700,6,30.2,39.17,3,2,6
151,-,53,29.14,0.3,-0.25,5400,0.25,0.35,5400,240,2700,34.8,35.35,2700,4.7,35,42.11,8,3,89
51,-,4,30.1,0.2,-0.3,5400,0.15,0.3,13500,245,2700,38.55,40.7,27000,-,-,-,-,-,-
62,4,34,29.73,0.1,-0.15,70200,0.1,0.15,27000,250,2700,43.4,45.75,10800,-,38.9,-,-,-,60
