CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2000,236.75,249.2,2000,920,20000,0.05,1.7,500,-,-,-,-,-,-
-,-,-,-,-,-,2000,216.15,229.2,1000,940,20500,0.05,0.85,2000,-,-,-,-,-,-
-,-,-,-,-,-,2000,197.45,209.2,2000,960,6000,0.25,1.65,500,-,-,-,-,-,-
-,-,-,-,-,-,1000,178,190.4,2000,980,1000,0.5,1.6,500,-,-,-,-,-,-
-,-,-,-,-,-,1000,167.8,179.45,1000,990,500,0.25,2.1,5000,-,-,-,-,-,-
2,1,2,-,159,-21,500,160.8,163.65,500,1000,1000,0.65,0.9,500,-0.5,0.7,25.75,54,30,44
-,-,-,-,-,-,1000,147.25,161.2,1000,1010,6000,0.45,2.35,5000,-,-,-,-,-,-
-,-,-,-,-,-,1000,138,150.95,1000,1020,500,0.85,2.45,500,-,-,-,-,-,-
-,-,-,-,-,-,1000,128.2,141.8,1000,1030,6000,0.85,2.75,5000,-,-,-,-,-,-
-,-,-,-,-,-,2000,118.25,129.65,2000,1040,500,1.2,1.7,500,0.35,1.95,24.28,10,8,35
-,-,-,-,-,-,2000,109.15,121.95,2000,1050,1000,1.8,1.95,500,-0.7,1.85,22.37,100,24,125
-,-,-,-,-,-,2000,99.7,112.35,2000,1060,500,1.95,2.45,1000,-0.55,2.25,21.67,119,35,137
-,-,-,-,-,-,1000,89.85,102.85,1000,1070,500,2.55,3.05,1000,-0.5,2.9,21.27,12,7,20
-,-,-,-,-,-,1000,80.75,93.65,1000,1080,1000,3.55,3.8,1000,-0.85,3.3,20.18,150,43,110
2,-,-,-,82.65,-,1500,73,82.7,2000,1090,500,4.65,4.75,500,-0.2,4.85,20.61,46,24,65
50,9,45,16.99,67.45,-6.45,500,67.2,69.6,500,1100,500,5.9,6.1,500,-0.15,6.15,20.22,419,64,339
2,2,2,16.18,58.4,-53.65,500,57.5,62.25,1000,1110,500,7.55,7.8,1000,0.4,7.9,19.98,95,26,34
28,9,20,17.28,51.45,-4.85,500,51.9,53.1,500,1120,500,9.55,9.9,1000,-0.3,9.8,19.52,147,18,89
39,3,10,17.76,44.65,-6.05,500,44.9,45.65,500,1130,500,12.15,12.5,500,0.6,12.75,19.62,160,30,81
50,17,89,17.85,38.05,-5.15,500,38.25,38.95,500,1140,500,15.4,15.9,500,0.55,16.15,19.64,223,3,123
191,63,451,17.88,32,-5,500,32.15,32.75,500,1150,500,19.25,19.65,500,0.35,19.5,19.19,670,-7,237
232,104,1252,18.21,27,-4.5,500,27.05,27.35,500,1160,500,21.3,24.25,500,0.5,24,19.19,621,42,175
998,793,2075,18.22,22.2,-4.25,500,22.15,22.55,500,1170,500,28.7,29.35,500,1.5,29.55,19.51,321,14,132
452,123,1871,18.17,17.95,-4.1,500,18.15,18.45,500,1180,500,34.5,35.25,500,2.35,35.8,19.93,389,15,210
191,102,829,18.36,14.6,-3.55,500,14.7,15.05,500,1190,500,40.4,42.05,500,0.15,41.8,19.76,39,10,12
1218,369,3559,18.86,12.15,-2.75,500,11.95,12.4,500,1200,500,48.2,49,500,2.6,49,20.12,125,11,229
201,117,341,18.7,9.4,-2.6,1000,9.55,9.8,1000,1210,1500,52.2,60.35,3500,-,-,-,-,-,-
291,26,426,19.12,7.7,-2.2,1000,7.7,7.9,1000,1220,500,63.45,64.7,500,6.25,64.5,20.74,25,12,72
108,20,299,19.48,6.25,-1.6,500,6.2,6.35,1000,1230,1000,65.55,77.55,1000,-,-,-,-,-,-
148,40,329,19.74,5,-1.3,500,5.05,5.15,1000,1240,500,79.5,82,1000,-34.5,82.2,22.38,12,11,11
256,38,467,20.17,4.1,-1.3,2500,4.1,4.2,500,1250,500,88.45,91,1000,4.05,90.75,22.51,33,21,47
126,4,139,20.39,3.25,-1.25,1500,3.25,3.5,500,1260,2000,92.35,104.65,2000,-,93,-,-,-,1
41,3,93,20.78,2.65,-1.1,3000,2.6,2.85,500,1270,2000,102,114,2000,-,-,-,-,-,-
78,52,71,21.34,2.25,-0.85,1500,2.15,2.3,500,1280,2000,111,122.5,2000,-,-,-,-,-,-
-,-,-,-,-,-,2500,1.55,4.1,20000,1290,2000,120.25,133.6,2000,-,-,-,-,-,-
388,230,603,22.19,1.55,-0.7,1500,1.55,1.65,1000,1300,500,134.65,138.75,500,3.85,136.85,24.31,13,7,13
5,3,3,25.33,1.8,-,500,0.9,1.7,500,1320,1000,149.75,161.8,2000,-,-,-,-,-,-
6,6,7,27.4,1.7,-40,500,0.6,1.35,500,1340,1000,170.7,181.7,2000,-,-,-,-,-,-
-,-,-,-,-,-,500,0.3,1.6,500,1360,1000,189,201.8,2000,-,-,-,-,-,-
