CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,25600,11.35,12.25,12800,66,6400,0.05,0.2,6400,-,-,-,-,-,-
-,-,-,-,-,-,64000,9.45,10.3,25600,68,19200,0.15,0.25,51200,-1,0.2,30.98,18,18,18
-,-,-,-,-,-,57600,8.4,9.8,25600,69,-,-,0.65,6400,-,-,-,-,-,-
12,11,24,23.63,8,-2.65,6400,7.85,8,12800,70,64000,0.25,0.35,76800,-,0.3,28.54,89,55,122
-,-,-,-,-,-,25600,6.75,7.6,25600,71,12800,0.4,0.5,19200,-0.45,0.4,28,42,36,38
7,7,13,23.34,6.2,-10.35,6400,6.1,6.25,6400,72,12800,0.55,0.6,6400,-1.4,0.6,28.74,8,5,5
6,6,8,24.82,5.45,-7.1,6400,5.25,5.4,6400,73,12800,0.75,0.8,12800,-0.9,0.65,26.26,23,19,19
4,4,5,28.58,4.95,-10.1,6400,4.5,4.65,6400,74,25600,0.95,1.05,12800,0.2,1,27.84,37,7,61
13,7,22,24.57,3.95,-1.5,12800,3.85,3.95,6400,75,38400,1.25,1.3,6400,0.2,1.25,27.17,135,19,90
18,18,32,23.97,3.25,-10.45,6400,3.25,3.35,25600,76,25600,1.6,1.65,6400,0.35,1.65,27.65,50,1,74
21,21,53,24.35,2.7,-7,6400,2.7,2.75,6400,77,12800,2.05,2.15,12800,0.45,2.1,27.95,77,25,61
80,65,237,24.48,2.2,-0.7,25600,2.2,2.3,32000,78,19200,2.55,2.65,12800,0.45,2.55,27.56,66,16,73
143,38,152,24.94,1.8,-0.6,6400,1.8,1.85,25600,79,25600,3.15,3.25,12800,0.5,3.15,28.15,52,4,98
385,132,439,25.25,1.45,-0.55,19200,1.45,1.5,25600,80,32000,3.75,3.85,12800,0.6,3.8,28.66,80,12,311
87,6,60,26.06,1.2,-0.4,6400,1.15,1.2,25600,81,19200,4.45,4.55,12800,0.85,4.45,28.55,25,-4,44
141,31,110,26.27,0.95,-0.35,25600,0.9,0.95,32000,82,25600,5.2,5.3,6400,0.65,5,26.48,13,2,29
55,16,39,26.54,0.75,-0.35,19200,0.7,0.8,25600,83,12800,6,6.15,6400,0.65,5.8,26.9,9,-1,32
71,30,84,27.81,0.65,-0.2,12800,0.55,0.65,32000,84,6400,6.9,7,6400,2.05,6.85,30.63,7,3,15
349,24,128,26.91,0.45,-0.25,96000,0.45,0.5,134400,85,19200,7.75,7.9,6400,0.5,7.45,26.76,6,-,131
37,5,20,28.29,0.4,-0.2,134400,0.35,0.4,6400,86,6400,8.65,8.8,6400,3.6,8.65,33.02,8,3,5
57,10,32,29.44,0.35,-0.15,6400,0.3,0.35,6400,87,12800,9.55,9.7,6400,1.15,9.25,27.21,3,1,4
28,17,30,30.35,0.3,-0.1,70400,0.25,0.3,6400,88,25600,10,10.85,32000,-,9.5,-,-,-,1
1,1,1,31,0.25,-3.5,6400,0.2,0.3,6400,89,6400,11.15,11.9,89600,-,-,-,-,-,-
165,15,53,31.33,0.2,-0.05,934400,0.15,0.2,44800,90,6400,12.35,12.55,6400,0.6,12.05,26.53,3,1,53
3,-,-,-,0.2,-,544000,0.05,0.55,6400,91,25600,12.95,14.25,153600,-,-,-,-,-,-
31,10,10,30.6,0.1,-0.1,6400,0.1,0.15,19200,92,25600,13.9,14.75,32000,-,11.7,-,-,-,1
-,-,-,-,-,-,262400,0.05,0.65,6400,93,12800,14.85,16.15,25600,-,-,-,-,-,-
42,-,-,-,0.15,-,12800,0.1,0.15,268800,94,12800,15.85,16.65,25600,-,-,-,-,-,-
-,-,-,-,-,-,6400,0.05,0.7,25600,96,12800,17.8,19.25,57600,-,-,-,-,-,-
-,-,-,-,-,-,6400,0.05,0.3,6400,98,12800,19.85,20.85,57600,-,-,-,-,-,-
65,-,4,38.45,0.05,-0.05,185600,0.05,0.1,480000,100,-,-,-,-,-,-,-,-,-,-
