CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,-,-,-,-,55500,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,56000,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,56500,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,57000,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,57500,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,10078.6,575,58000,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,58500,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,9514.45,25,59000,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,9014.05,25,59500,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,8545.05,575,60000,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,7999.05,575,60500,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,7352.1,575,61000,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,6765.95,575,61500,600,0.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,6657.8,575,61600,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,61700,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,6441.5,575,61800,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,61900,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,6225.2,575,62000,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,62100,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,6008.9,575,62200,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,62300,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,62400,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,62500,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,62600,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,62700,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,62800,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,62900,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,63000,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,63100,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,4927.4,575,63200,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,63300,-,-,-,-,-,-,-,-,-,-
