CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
2249,-8,10,-,7480,-80,1275,7109,7784.25,1725,17000,1800,1.85,2.6,150,0.15,2.4,45.52,908,144,1123
226,-,-,-,6700,-,75,6330.25,6590.55,375,18000,75,2.4,2.7,150,-0.1,2.7,39.52,219,82,513
49,-,-,-,5860.95,-,75,5377.55,5775.85,1725,19000,375,2.75,3.2,300,-0.55,2.85,33.47,998,47,1836
1515,23,41,-,4516.55,-96.4,75,4530.55,4550.1,75,20000,150,3,3.4,600,-0.6,3,27.6,1661,502,8910
5309,-129,181,-,3545.4,-65.65,75,3546.6,3559.2,75,21000,1725,3.55,3.8,900,-0.55,3.8,22.35,2460,89,13545
3805,152,313,-,2566.55,-65.65,75,2556.5,2570.25,75,22000,1200,7.9,8.1,150,-1.35,7.95,18.25,10292,2210,25745
29,4,4,-,1990,-158.7,300,1956,1994.2,150,22600,2850,11.5,13.2,525,-1.75,13.1,15.71,4026,1052,3230
-,-,-,-,-,-,75,1871.2,1966.55,75,22650,750,11.3,16,75,-1.95,13.55,15.46,1297,608,865
2,-,-,-,2011,-,75,1846.6,1943.8,1725,22700,525,13.5,14.3,6375,-2.4,13.5,15.12,1959,528,1950
-,-,-,-,-,-,1800,1579.8,1902.65,1725,22750,900,12.65,18.6,1500,-1.5,15.55,15.16,326,78,328
1536,-12,20,-,1760,-94.8,300,1767.85,1787.25,75,22800,150,15,17.6,375,-0.6,17.95,15.22,3577,854,4593
-,-,-,-,-,-,75,1600.25,1810.7,75,22850,750,13.9,19.25,1500,-2,17.8,14.85,218,71,371
22,-,-,-,1760,-,75,1654.85,1722.1,75,22900,75,17.6,19.5,1800,-2.3,18.6,14.62,1289,159,1173
1,-,-,-,1836.55,-,1800,1402.1,1699.55,1725,22950,1725,15.2,21,75,-2.45,19.45,14.39,426,74,599
15236,316,1572,-,1588.4,-68.95,75,1581.05,1588.25,75,23000,225,20,22,300,-2,21.6,14.34,21534,2245,40473
1,-,-,-,1743.3,-,1800,1318.3,1597.6,1725,23050,900,19.65,24,150,-1.25,23.75,14.26,2273,354,852
86,-,2,14.17,1562.5,0.7,1275,1231.7,1509.75,75,23100,1500,21,27.2,1500,-2,24.65,14,1964,27,2487
1,-,-,-,1976.95,-,1800,1265.45,1507.05,1725,23150,900,21.1,29.8,1500,-1.15,28.1,14.03,218,29,455
86,-4,14,-,1379.65,-94.65,450,1228,1408.05,150,23200,300,27.95,30,75,-0.75,30,13.86,5048,1654,7251
2,-,2,15.34,1438.25,-386.75,1275,1097.2,1425.8,1800,23250,900,27.65,36.5,3000,-1.85,32.65,13.75,480,36,634
59,1,10,-,1298.45,-66.6,1200,1044.75,1319.55,150,23300,75,30.45,35.95,75,-2.2,34.3,13.52,4806,801,3873
1,-,-,-,1788.45,-,1050,992.6,1328.95,1725,23350,375,37.65,40.7,1500,-1.5,38.2,13.48,643,100,1322
81,-4,24,-,1202.9,-74.95,150,1193.6,1221.05,75,23400,75,39.05,42.9,150,-0.3,42.55,13.45,3904,556,3287
3,2,2,13.27,1235,-458.2,1725,847,1233.15,1725,23450,75,43,47.65,150,-2.25,44.2,13.17,562,47,639
5050,373,2313,-,1120,-69.15,75,1116.45,1125.2,75,23500,150,48.6,49.65,75,-1.1,48.6,13.1,31907,2844,29835
10,-,-,-,1600.65,-,1200,875.85,1137.75,150,23550,900,43.55,59.25,3000,-0.9,54.4,13.09,554,4,430
135,9,135,8.45,1050.8,-57.2,75,1020.4,1038.6,225,23600,300,56,59,75,-1.1,57.5,12.87,7654,586,8122
10,-,-,-,1060.65,-,1200,689.45,1046,1725,23650,300,59.45,67.8,1500,0.35,64.35,12.88,733,149,873
100,9,157,-,923.95,-86.2,75,827.45,1000.3,750,23700,75,67.85,70.4,600,0.95,70.4,12.8,10777,1661,8034
22,-,-,-,971.55,0.15,1425,700.7,952.75,1725,23750,1500,67.45,79,600,-0.25,75.3,12.62,706,194,890
386,58,325,6.74,850.2,-73.3,150,850.1,857,225,23800,75,82.1,84.95,75,0.7,82.6,12.55,20222,2008,19594
16,-6,28,7.38,808.05,-81.8,1725,525.2,865,1725,23850,300,85.55,90.75,75,1.45,90,12.46,2350,-21,1341
165,-,126,7.82,767,-77.2,150,762.35,824.5,450,23900,450,95.9,98.9,19800,0.6,98.9,12.41,12482,1007,11529
18,5,7,8.75,735.65,-110.35,150,712.1,765.05,375,23950,1500,100.65,114.85,300,1.9,107,12.29,2191,517,1529
12309,636,8699,8.68,692.2,-67.2,75,690.2,695,75,24000,75,118.05,119.95,75,4.3,120,12.37,74301,2802,63955
19,1,11,8.61,649.3,-68.2,75,626.35,687.85,300,24050,1200,121.75,135.6,1500,5.35,128.45,12.2,1328,113,1122
534,14,350,8.94,615.15,-65.4,150,607.55,631.25,75,24100,225,137.9,141.75,300,7.1,140.95,12.18,11756,2024,11074
168,6,28,9.12,580.05,-63.05,75,572.8,612.1,225,24150,1500,146.8,159.4,1500,6.45,151.95,12.06,1748,183,1234
1846,583,1792,9.41,549,-56.15,75,535,549,75,24200,225,164.25,167.75,150,5.05,162.7,11.9,19321,932,16051
145,31,133,9.17,507,-62.4,75,502.85,528.85,900,24250,1500,179,187.9,150,9.4,179.9,11.96,1215,112,820
1188,314,1899,9.29,475,-58.9,75,469.75,475,75,24300,225,195,196,1500,11.4,196,11.93,22937,1936,14955
169,30,339,9.7,451.95,-50.45,75,435.5,449.15,600,24350,75,210.65,224.35,300,7.15,210.65,11.81,1951,76,824
2310,733,6839,9.52,414.95,-53.95,975,409.85,414.95,75,24400,225,231,232,3975,14.35,232,11.9,24524,3610,11558
495,329,2886,9.3,378,-56.6,450,375.1,388.15,300,24450,300,241.4,252,225,11.75,249.8,11.82,5033,730,1759
28709,7054,61951,9.3,348.4,-60.8,225,348.4,351.95,675,24500,2325,270,276.45,75,19.75,276.45,12.02,87414,6739,61186
1682,589,4954,9.28,319.9,-58.9,525,318.5,326.25,75,24550,300,288.8,296.8,150,15.15,290,11.71,9256,299,2039
14536,4649,26439,9.43,297.5,-53.4,75,295.05,298,75,24600,150,311.7,317,75,17.35,315,11.76,33710,2365,18568
1066,519,3551,9.44,272.55,-50.4,150,265.75,281.3,300,24650,225,333.8,350,75,20.65,343.85,11.91,5274,997,2092
21189,3520,31415,9.42,248,-49.75,150,246,253,300,24700,150,365,368.6,150,25.5,370,11.93,24529,3554,21349
1153,177,1744,9.38,224.5,-48.55,75,224.5,234.85,450,24750,75,386,413.6,900,23.5,393.1,11.8,1011,50,1138
24266,1526,22913,9.62,210.55,-40.1,75,203.8,210.55,225,24800,75,420.3,422,675,26.35,422,11.83,12350,374,24855
1242,209,3002,9.66,191.8,-36.3,150,183.6,191.4,1050,24850,450,438.45,468.3,450,27.65,452.55,11.88,574,-70,773
16862,1468,13731,9.51,169.55,-39.85,225,166.25,169.55,150,24900,75,478.25,487,75,27.35,481.15,11.83,4133,102,15385
1773,427,2462,9.5,152.2,-37.2,75,149.8,153.1,300,24950,300,495.25,526.1,75,34.05,522,12.18,528,-51,1003
76914,7721,65935,9.47,136,-37.65,450,136,136.6,750,25000,75,551.9,551.95,375,32.45,551.95,12.1,21617,-3684,57778
2640,1584,4477,9.41,120.1,-34.8,75,119.15,124,75,25050,75,570.55,606.5,75,44.3,598,12.58,140,-17,499
15851,377,17025,9.42,107.05,-32.55,600,107,108,5475,25100,75,620,630.8,75,35.8,620.5,12.14,3911,-440,9922
968,247,2297,9.52,97.35,-28.65,75,94,98.45,450,25150,75,646.25,677.95,75,22.8,649.05,11.88,19,2,415
19913,3638,26334,9.46,85,-27.75,75,83.05,85,1650,25200,150,691.15,706.8,150,45.6,703.2,12.62,2369,-466,6508
1919,867,3746,9.35,72.7,-28.6,75,72,75.35,75,25250,75,721.7,747.65,75,49.4,747.45,12.94,53,2,514
16736,2716,24780,9.46,66,-24.15,150,64.7,66.1,75,25300,75,771.95,789,150,46.85,778.35,12.67,1010,-179,3660
1143,305,5585,9.44,57.55,-23.9,1500,54,59.35,75,25350,75,803.65,839.7,75,36.3,804.9,12.14,8,-,483
10810,2291,18684,9.55,52,-20.3,2025,50,52,225,25400,150,857.05,873.6,150,46.4,859.8,12.87,563,42,4633
1639,5,2175,9.51,44.85,-20.65,600,44.1,46,75,25450,1725,782.35,966.2,75,-32.85,837,9.46,12,-4,155
41307,1902,54186,9.63,40.65,-19.05,600,40.5,40.65,225,25500,75,956.15,958.25,225,59.7,960.8,13.92,6146,2803,20331
2070,110,2852,9.75,36.9,-15.75,300,31.55,36.95,150,25550,1800,873.1,1120.4,75,90.15,1023.65,15.02,82,3,79
8706,870,16751,9.6,30.25,-16.45,75,30.8,32,300,25600,75,1034.8,1054.8,150,50.45,1035.05,13.58,62,-23,1068
993,284,2065,9.77,27.9,-13.7,75,27.6,29.5,300,25650,1800,971.5,1152.5,75,35.8,1058.35,12.53,9,-,32
9423,6,19689,9.79,24.35,-12.45,75,24.3,24.5,75,25700,150,1129.45,1142.25,300,80.6,1157,15.66,110,49,644
848,-148,1740,9.85,21.5,-11.35,300,20,22.15,75,25750,1725,1057.45,1299.55,75,72.75,1165.75,13.85,32,-4,94
13799,3550,26109,9.91,19,-10.6,150,18.85,19,75,25800,150,1223.1,1239.05,300,69.65,1237.75,15.56,141,-24,675
1184,293,1201,10.07,17.55,-8.9,300,17,18,3750,25850,1800,1153.45,1322.1,75,112.55,1257.55,14.21,1,-,112
5770,-1270,16831,10.15,15.65,-7.45,1500,15.6,15.8,75,25900,75,1317.15,1333.6,225,83.65,1337.95,16.46,20,6,310
655,63,1149,10.29,14.45,-7.2,75,14.1,15,300,25950,1800,1234.1,1415.85,75,-,863.65,-,-,-,175
53786,-1247,46385,10.44,13.35,-6.4,300,13.3,13.35,150,26000,75,1420.95,1424,75,69.75,1424,16.51,1866,91,20753
413,22,891,10.52,11.95,-5.8,75,11.6,13,75,26050,1725,1334.4,1484.05,75,514.45,1463.55,16.28,4,-,11
4332,-452,7267,10.78,11.7,-3.9,375,9.6,12,150,26100,75,1508.75,1527.9,75,81.95,1526.85,17.54,12,-6,602
858,366,2803,10.76,9.95,-4.55,900,8.65,11.6,3000,26150,1725,1426.45,1576.3,75,138.75,1568.75,17.45,6,1,26
5920,1569,8166,10.97,9.6,-3.75,900,8.15,9.6,225,26200,75,1605.45,1625.7,75,96.9,1631,18.65,28,1,784
543,78,474,10.99,8.35,-4.05,1800,7.3,9.45,150,26250,1725,1520.95,1679.15,225,123.35,1659.55,17.66,5,5,26
3762,-297,5126,11.15,7.8,-3.5,600,7.8,8.5,300,26300,75,1704.8,1727.45,150,60,1700,17.38,29,1,180
219,-22,248,11.31,7.35,-3.35,750,6.5,8.5,1500,26350,1800,1616,1776.65,75,-,1678.75,-,-,-,19
2709,117,3086,11.44,6.8,-3.05,750,6.1,6.8,1800,26400,1725,1672.5,1825.95,150,-,1723.3,-,-,-,41
432,-55,161,11.58,6.35,-2.4,750,5.75,8.3,1500,26450,1800,1713.6,1874.8,225,312.85,1854.7,18.91,5,-,15
17654,1353,13405,11.7,5.85,-2.45,75,5.45,5.95,975,26500,75,1904.2,1915.9,75,76,1915.7,20.1,527,85,6469
473,86,313,11.88,5.6,-2.55,75,5.6,6.85,900,26550,1725,1776.85,2181.15,1725,-,1625.7,-,-,-,13
2045,-1,1009,11.99,5.15,-2.2,375,5.1,6.2,1500,26600,75,1995.85,2020.85,75,82.15,1975.3,17.6,12,2,68
340,2,60,12.1,4.75,-1.9,1800,4.1,5.3,300,26650,1725,1888.55,2357.1,1725,-,1496.15,-,-,-,9
1856,-143,2051,12.18,4.3,-2.4,900,4.05,5.65,1500,26700,1725,1980.45,2120.75,225,-,2028,-,-,-,86
890,-70,233,12.31,4,-1.85,1725,3.65,5.5,1500,26750,1725,1972.45,2394.15,1725,-,1803.4,-,-,-,7
193,149,575,12.63,4.2,-1.65,3600,4.1,4.2,300,26800,300,2190.85,2220.15,150,273.15,2173.15,18.86,11,7,16
341,-23,234,12.83,4.1,-1.45,1800,3.3,5.2,1500,26850,1725,2104.9,2481.8,1725,-,1897.05,-,-,-,8
152,12,212,13.03,4,-1.3,1500,3.3,4.5,225,26900,75,2211.8,2354.9,75,-,2210,-,-,-,18
44,5,45,13.16,3.75,-1,1500,3.2,5.45,600,26950,1725,2198.85,2599.15,1725,-,1831.55,-,-,-,11
24621,-1171,9999,13.46,3.9,-0.75,750,3.7,4,3300,27000,75,2396.75,2408.7,75,80,2408.6,23.47,908,171,12815
5,-,2,13.53,3.55,-1.75,1500,2.9,4.35,525,27050,1725,2292.85,2708.45,1725,-,1931.15,-,-,-,7
