CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,-,-,-,-,56,13500,0.05,0.1,486000,-,0.1,-,-,-,14
-,-,-,-,-,-,27000,10.95,11.6,27000,58,310500,0.05,0.1,13500,-1.25,0.1,34.49,6,4,4
80,22,36,37.98,9.7,-0.1,13500,9.2,9.45,13500,60,2281500,0.1,0.15,445500,-0.1,0.1,29.04,119,29,115
12,12,20,24.04,7.5,-4.4,13500,7.5,7.6,13500,62,27000,0.2,0.3,148500,-0.1,0.2,27.62,54,32,68
20,19,24,22.92,6.55,-0.85,13500,6.5,6.7,13500,63,27000,0.3,0.35,148500,-,0.35,28.77,63,41,60
4,4,7,22.72,5.65,-4.9,13500,5.65,5.8,13500,64,54000,0.4,0.45,189000,-0.05,0.4,26.55,123,77,133
40,1,11,25.64,4.95,0.15,27000,4.8,4.9,27000,65,27000,0.55,0.6,324000,-0.05,0.55,25.96,500,245,682
37,17,42,22.56,4,-0.05,40500,4,4.1,27000,66,67500,0.7,0.75,13500,-,0.75,25.44,161,50,250
49,14,51,21.47,3.2,-0.05,40500,3.25,3.35,27000,67,67500,0.95,1,54000,-,1,24.85,352,56,211
69,24,78,21.54,2.55,-,13500,2.55,2.65,27000,68,54000,1.25,1.3,13500,-,1.35,24.72,303,-18,271
157,42,312,21.15,1.95,-0.05,54000,2,2.05,27000,69,67500,1.65,1.75,54000,-0.05,1.7,23.66,284,69,198
669,79,885,22.13,1.55,-,94500,1.5,1.55,108000,70,54000,2.15,2.2,13500,-,2.25,24.12,286,43,581
883,302,757,22.06,1.15,0.05,135000,1.1,1.15,40500,71,13500,2.75,2.8,13500,-0.05,2.8,23.59,531,264,1416
461,91,391,21.55,0.8,-0.05,351000,0.8,0.85,175500,72,27000,3.45,3.5,13500,0.05,3.55,24.72,86,57,279
188,9,203,22.18,0.6,-,13500,0.6,0.65,54000,73,27000,4.2,4.3,27000,0.05,4.3,25.08,34,9,88
173,11,86,22.83,0.45,-,175500,0.45,0.5,81000,74,27000,5.05,5.15,27000,-,5.1,25.41,13,7,78
1061,6,748,23.74,0.35,-0.05,904500,0.35,0.4,958500,75,13500,5.9,6,13500,0.05,6.1,28.67,64,36,386
92,13,71,24.01,0.25,-,40500,0.25,0.3,121500,76,13500,6.75,6.95,13500,-,6.9,27.84,21,17,61
66,7,20,25.01,0.2,-,27000,0.2,0.25,189000,77,54000,7.55,8.1,13500,-,7.85,-,-,-,27
75,-1,7,27.3,0.2,-,405000,0.15,0.2,94500,78,54000,8.5,9.1,54000,-,-,-,-,-,-
50,48,59,27.69,0.15,-0.05,1026000,0.1,0.15,81000,79,54000,9.45,10.05,54000,-,-,-,-,-,-
624,312,498,27.46,0.1,-,2119500,0.1,0.15,2511000,80,13500,10.55,10.8,13500,0.1,10.75,34.84,11,3,81
61,16,16,31.24,0.1,-,1620000,0.05,0.1,216000,82,54000,12.35,13.05,54000,-,12.1,-,-,-,16
509,-7,13,31.13,0.05,-,-,-,0.05,1201500,84,54000,14.3,15,189000,-,14.85,-,-,-,626
