CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,3000,45.3,48.4,3000,280,9000,0.25,0.3,349500,-,0.3,29.8,87,73,277
15,15,16,-,36.6,-19.7,1500,36.85,37.4,1500,290,7500,0.45,0.55,3000,-0.2,0.5,26.93,167,66,276
7,6,9,-,32.55,-2.85,1500,32.05,32.45,1500,295,10500,0.65,0.75,1500,-0.3,0.75,26.31,86,28,83
42,42,52,-,27.3,-21.2,1500,27.35,27.8,1500,300,10500,0.95,1.05,58500,-0.25,1,25,945,391,1067
1,1,1,-,22.8,-14.5,1500,22.35,23.75,3000,305,6000,1.35,1.4,1500,-0.2,1.4,24,273,22,129
46,5,36,-,18.65,-2.95,1500,18.5,18.75,1500,310,10500,1.95,2,1500,-0.15,2,23.21,476,125,623
34,26,55,-,14.6,-3,1500,14.4,14.7,1500,315,1500,2.85,2.9,1500,-0.1,2.9,22.67,909,-38,241
454,34,409,6.54,10.9,-2.1,3000,10.8,11.05,1500,320,1500,4.15,4.25,3000,-,4.2,22.4,1364,108,1143
463,334,1910,11.4,7.9,-1.75,1500,7.8,7.95,1500,325,1500,6.05,6.15,3000,0.3,6.2,22.95,2412,398,1276
1625,637,4819,12.92,5.45,-1.55,4500,5.4,5.5,3000,330,1500,8.55,8.7,1500,0.55,8.65,23.48,2477,172,1229
1811,818,3837,14.11,3.7,-1.2,1500,3.65,3.75,10500,335,1500,11.7,11.95,1500,0.95,11.95,25.09,771,-84,733
2163,183,2721,15.17,2.5,-0.85,24000,2.4,2.5,9000,340,1500,15.45,16.1,3000,1.6,15.9,27.47,273,-27,883
965,-29,1488,16.01,1.65,-0.6,27000,1.6,1.7,16500,345,1500,19.6,19.85,1500,1.8,19.85,29.15,59,-10,161
1501,210,1340,16.86,1.1,-0.5,15000,1.05,1.15,22500,350,1500,23.75,24.3,3000,1.9,24.2,31.41,65,17,357
1099,869,2084,17.76,0.75,-0.35,54000,0.7,0.8,37500,355,1500,28.6,28.9,1500,1.45,28.85,34.17,7,4,4
1073,179,681,18.88,0.55,-0.25,18000,0.5,0.55,6000,360,1500,33.35,33.65,1500,1.4,33.1,35.29,6,5,380
231,49,181,19.86,0.4,-0.2,31500,0.35,0.45,9000,365,1500,38.05,38.5,1500,11.9,38.4,39.75,5,-,1
370,84,250,20.87,0.3,-0.1,183000,0.25,0.35,48000,370,1500,42.85,43.4,1500,2.8,42.8,40.85,5,-,66
-,-,2,22.18,0.25,-5,63000,0.1,0.3,6000,375,3000,46.55,49.75,3000,-,-,-,-,-,-
254,-7,33,23.25,0.2,-0.05,124500,0.15,0.2,4500,380,3000,51.35,54.55,6000,-,49.8,-,-,-,1247
214,7,36,24.36,0.1,-0.1,40500,0.1,0.15,3000,390,1500,62.5,63.55,1500,2.1,62.6,52.01,1,1,403
