CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,300,791.65,936.3,300,5600,300,6.05,100.8,300,-,-,-,-,-,-
-,-,-,-,-,-,375,597.95,737.75,300,5800,1275,20,89,150,-,-,-,-,-,-
-,-,-,-,-,-,225,533.75,677.2,225,5900,1125,32,139.9,750,-,-,-,-,-,-
-,-,-,-,-,-,225,439,582.3,225,6000,75,50,137.8,750,-,-,-,-,-,-
-,-,-,-,-,-,150,403.65,455.35,225,6100,75,112.15,121,450,30,112.2,33.2,339,82,236
-,-,-,-,-,-,300,315.65,432.5,225,6200,225,86.65,193.6,300,-,-,-,-,-,-
-,-,-,-,-,-,375,279.3,326.05,225,6300,75,176.4,186.65,75,-57.3,185,33.12,75,42,42
7,7,12,31.54,255.6,-921.7,75,250.9,261.2,75,6400,75,222.1,231.7,75,59.65,232.95,33.37,155,-8,210
78,73,161,30.86,203.6,-156.4,75,204.1,212.85,75,6500,75,274.2,282.9,75,66,277.7,32.37,119,-1,161
60,44,100,31.36,167,-91.3,75,164.85,172.85,75,6600,75,335.05,342.4,75,68.7,335.25,32.23,71,12,101
25,21,57,31.14,131.2,-87.3,75,130.9,137.1,75,6700,75,389.25,405.95,75,86.7,406,33.11,23,-,14
132,35,144,31.46,104.75,-72.8,75,88.8,108.65,75,6800,75,468.2,479.95,75,129.05,472.75,32.66,23,-11,49
76,28,77,31.26,80,-64,75,80.25,88.95,75,6900,225,532.2,581.2,75,5.1,445.25,-,-,-,33
272,-8,236,31.89,64.4,-54.8,150,64.4,65,75,7000,225,611.4,662.7,75,-,450,-,-,-,40
56,4,16,32.22,50.45,-52.3,75,47,51.8,75,7100,150,679.35,748.05,300,-,-,-,-,-,-
-,-,-,-,-,-,150,27.05,95.05,450,7200,300,750.7,887.45,300,-,-,-,-,-,-
-,-,-,-,-,-,375,19,83,450,7300,300,850.05,974.7,300,-,-,-,-,-,-
-,-,-,-,-,-,375,12,72.25,525,7400,300,953.55,1061.35,300,-,-,-,-,-,-
70,15,289,33.62,18.5,-19.35,75,17.45,20.5,75,7500,300,1049.65,1115.15,300,-,840,-,-,-,1
-,-,-,-,-,-,-,-,54,1425,7600,300,1130.85,1251.85,300,-,-,-,-,-,-
-,-,-,-,-,-,-,-,46.6,1425,7700,150,1232.7,1342,300,-,-,-,-,-,-
-,-,-,-,-,-,-,-,40.05,825,7800,150,1330.5,1434.75,300,-,-,-,-,-,-
-,-,-,-,-,-,6750,0.15,28.95,1425,8000,150,1528.95,1622.45,300,-,-,-,-,-,-
