CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
9,-,-,-,60,-,12500,56.7,59.3,6250,170,3125,0.05,0.65,3125,-,-,-,-,-,-
-,-,-,-,-,-,12500,51.8,55.4,6250,175,3125,0.1,1.3,12500,-,-,-,-,-,-
-,-,-,-,-,-,12500,46.9,49.45,6250,180,3125,0.15,0.45,3125,-,-,-,-,-,-
-,-,-,-,-,-,12500,44.5,47.4,6250,182.5,3125,0.15,0.85,3125,-,-,-,-,-,-
-,-,-,-,-,-,6250,41.85,44.65,6250,185,15625,0.2,0.7,3125,-,-,-,-,-,-
-,-,-,-,-,-,12500,39.5,42.7,6250,187.5,3125,0.15,1.6,3125,-,-,-,-,-,-
-,-,-,-,-,-,6250,37.35,40.2,6250,190,3125,0.65,0.7,28125,-0.05,0.7,44.12,102,59,83
-,-,-,-,-,-,28125,34.55,37.85,6250,192.5,-,-,1.25,3125,-,-,-,-,-,-
-,-,-,-,-,-,6250,32.55,35.45,6250,195,3125,0.8,1.05,3125,-1.5,1,42.99,9,6,8
-,-,-,-,-,-,6250,30.3,32.65,6250,197.5,3125,0.95,1.25,3125,-5.65,1,40.59,7,5,5
12,10,15,-,29.05,0.8,3125,28.65,29.25,3125,200,12500,1.25,1.35,9375,-0.4,1.3,40.95,274,40,195
1,-,-,-,12.65,-,6250,25.75,28.6,6250,202.5,3125,1.45,1.6,3125,-6.85,1.7,41.59,12,7,7
7,6,8,-,22.7,-2.8,3125,24.35,24.9,3125,205,6250,1.8,1.9,9375,-0.8,1.85,40.02,132,40,68
9,9,13,-,20.75,5.75,3125,21.45,23.15,3125,207.5,3125,2.2,2.3,3125,-8.25,2.5,41.46,10,8,8
70,24,78,-,20.3,-0.05,3125,20.15,20.7,3125,210,3125,2.65,2.7,3125,-0.3,2.7,39.75,471,108,290
8,8,11,-,18.45,5.9,6250,17.65,19.4,3125,212.5,6250,3.15,3.25,3125,0.55,3.35,40.28,27,17,28
10,3,11,-,16.7,-1.8,3125,16.45,16.9,3125,215,9375,3.75,3.85,3125,-0.35,3.8,39.4,374,37,126
8,8,10,-,13.4,-0.4,3125,14.65,15.1,3125,217.5,3125,4.5,4.6,3125,-0.05,4.5,39.39,55,15,49
155,-5,89,15.84,13.3,0.55,3125,12.85,13.35,3125,220,6250,5.3,5.5,3125,-1,5.2,39.03,706,54,228
20,4,26,19,11.75,-1.55,3125,11.4,11.85,3125,222.5,3125,6.3,6.5,3125,-0.15,6.4,40.37,80,33,69
133,26,282,20.17,10.15,-0.3,9375,9.45,10.35,3125,225,3125,7.35,7.6,3125,-1.1,7.3,40.09,383,42,144
85,44,593,21.64,8.85,-1.35,3125,8.85,9.15,3125,227.5,3125,8.55,8.85,3125,-,8.6,41,191,20,62
780,-89,3526,23.43,7.85,-0.3,3125,7.65,7.85,3125,230,6250,9.8,10.1,3125,-0.5,9.8,41.17,519,46,265
124,1,217,24.36,6.8,-0.5,6250,6.7,6.85,3125,232.5,6250,11.35,11.65,3125,-0.6,11.35,42.29,59,1,56
571,189,1596,25.46,5.95,-0.45,3125,5.85,5.95,3125,235,3125,12.95,13.2,3125,-0.7,12.75,42.54,64,-9,60
81,54,154,26.26,5.15,-0.1,6250,5,5.1,3125,237.5,3125,14.65,14.85,3125,-2.65,15.2,46.35,15,5,8
692,190,1827,26.8,4.4,-0.45,9375,4.3,4.45,9375,240,3125,16.4,16.9,3125,-0.3,16.3,44.92,43,5,47
104,77,155,27.52,3.8,-0.5,6250,3.7,3.8,3125,242.5,6250,18.15,18.55,3125,-15.25,18.8,48.45,13,7,7
207,68,394,28.08,3.25,-0.3,6250,3.15,3.25,3125,245,6250,20.1,20.95,3125,-19.5,20.05,47.05,16,5,5
17,5,30,28.72,2.8,-0.5,3125,2.7,2.8,3125,247.5,6250,20.8,23.3,6250,-,-,-,-,-,-
435,41,523,29.02,2.35,-0.4,9375,2.35,2.4,25000,250,6250,24.25,24.6,3125,-2.6,24.4,50.69,9,-1,23
-,-,-,-,-,-,6250,1.6,2.35,3125,252.5,6250,24.65,28.85,6250,-,-,-,-,-,-
176,4,154,29.96,1.7,-0.35,3125,1.65,1.7,3125,255,6250,26.95,29.7,15625,-,-,-,-,-,-
236,93,282,30.65,1.2,-0.3,6250,1.15,1.25,9375,260,31250,31.45,34.1,12500,-,-,-,-,-,-
12,12,18,31.81,0.9,-1.65,3125,0.8,0.9,3125,265,31250,36.2,38.7,12500,-,-,-,-,-,-
