CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1400,331.3,348.9,700,1280,350,1,3.95,14000,-,3.5,-,-,-,2
-,-,-,-,-,-,1400,291,309.2,700,1320,3500,0.5,3.95,14000,-,-,-,-,-,-
-,-,-,-,-,-,1400,251.85,270.5,700,1360,3500,1.1,4.95,14000,-,-,-,-,-,-
-,-,-,-,-,-,1400,231.9,250.6,700,1380,350,0.6,5,350,-,-,-,-,-,-
5,-,-,-,242.4,-,1400,213.35,232,700,1400,1050,3.2,4.75,350,-0.45,3.5,31.6,57,36,54
-,-,-,-,-,-,1400,194.3,214.7,1400,1420,350,1.2,8.15,350,-,-,-,-,-,-
-,-,-,-,-,-,1400,173.75,197.9,700,1440,350,2.2,13.3,14000,-,-,-,-,-,-
-,-,-,-,-,-,1400,154.5,178.55,350,1460,350,1.6,8.9,350,-,-,-,-,-,-
1,1,1,30.34,151.1,-388,1400,138.15,154.95,700,1480,350,8.2,8.75,350,-5.25,7.8,27.02,57,36,36
-,-,-,-,-,-,700,122.2,133.5,1050,1500,350,10.75,11.45,350,0.25,10.1,26.32,197,43,84
-,-,-,-,-,-,700,102.6,120.45,1050,1520,350,11.6,19.75,350,-,-,-,-,-,-
-,-,-,-,-,-,1400,90.45,101.4,700,1540,350,18.15,19.2,350,0.7,17.8,25.73,264,11,94
3,3,3,23.04,79.85,-389.85,350,78.2,82.45,350,1560,350,23.5,25.05,350,1.8,23.3,25.56,151,69,86
-,-,-,-,-,-,700,61.85,73.45,1050,1580,350,30.1,32,350,-46.65,31.1,26.05,23,9,9
61,48,102,23.19,55,-7.1,350,54.05,56.5,350,1600,350,38.45,39.7,350,2.85,39.65,26.22,718,8,304
145,138,438,23.65,45.45,-6.3,350,44.9,47.45,350,1620,350,48,49.3,350,4.05,49.1,26.18,546,143,185
155,100,503,24.23,37.5,-4.4,350,35.8,36.95,350,1640,700,57.8,60.35,350,5.2,59.95,26.22,302,55,131
126,30,207,24.34,30,-3.8,350,28.35,29.65,350,1660,700,70.65,74.65,350,4.2,72.55,26.56,62,30,35
49,13,121,24.63,24,-2,350,22.45,23.5,350,1680,350,83.75,87.4,350,11.05,86.2,26.86,33,8,21
725,363,1314,24.41,18.25,-1.75,350,17.4,18.35,350,1700,350,98.6,102.5,350,7.05,99.9,26.6,44,9,270
81,63,151,24.23,13.65,-1.75,350,13.4,14.3,350,1720,350,113.9,118.4,350,62.7,117.1,27.98,25,10,10
-,-,-,-,-,-,350,5.05,16.2,350,1740,350,97,144.55,1750,-,104.05,-,-,-,1
-,-,-,-,-,-,1400,3.7,11.3,350,1760,-,-,159.5,1750,-,132,-,-,-,2
27,27,42,24.68,5.85,-54.35,350,5.05,6.8,350,1780,350,165.65,170.75,350,-25.8,166.25,27.73,7,5,5
207,-15,541,25.59,4.9,-0.75,350,5,5.35,700,1800,700,184.85,189,350,6.7,185.05,28.91,40,22,154
-,-,-,-,-,-,1400,3.1,10.85,350,1820,700,131.05,219.2,1750,-,-,-,-,-,-
5,-,-,-,7.75,-,3500,1,5.5,350,1840,700,139.35,234.2,3500,-,210,-,-,-,1
1,-,-,-,6,-,700,1.75,6.9,350,1860,700,197.45,256.25,350,-,230.6,-,-,-,6
-,-,-,-,-,-,1050,1.25,4.5,350,1880,1050,190.65,272.85,1750,-,220,-,-,-,1
-,-,-,-,-,-,1750,0.4,4.4,14000,1920,700,207.15,312.5,1750,-,-,-,-,-,-
21,-,-,-,0.5,-0.1,350,0.6,3,4900,1960,700,234.95,350.8,1750,0.45,330,-,-,-,55
