CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,150,1286.7,1376.75,150,7000,75,9.55,15,75,-90.1,9.05,33.03,5,4,4
-,-,-,-,-,-,300,1106.8,1189,150,7200,75,17.15,23.55,75,-5.7,17.3,32.53,127,61,111
-,-,-,-,-,-,300,901.15,1020.75,300,7400,1800,2.45,73.35,375,-,-,-,-,-,-
-,-,-,-,-,-,300,801.85,937.4,150,7500,75,11.1,73.15,75,-,-,-,-,-,-
-,-,-,-,-,-,150,733.3,823.55,150,7600,75,51.6,55.2,75,7.1,53.35,31.45,195,49,95
-,-,-,-,-,-,150,649.5,736.05,150,7700,75,66.1,70.2,75,4.3,69,31.25,86,16,73
-,-,-,-,-,-,375,551.9,712.4,225,7800,150,30.35,171.35,75,-,-,-,-,-,-
-,-,-,-,-,-,375,450.7,622.45,75,7900,-,-,169.05,75,-,-,-,-,-,-
-,-,-,-,-,-,150,422.25,484.95,225,8000,75,137,140.6,75,12.9,136.8,30.52,426,12,171
-,-,-,-,-,-,150,354,421.25,225,8100,75,170.5,176.55,75,25.95,171.95,30.73,56,9,24
1,1,1,29.78,398.15,-983.3,-,-,418.1,150,8200,75,211.05,222,75,28.9,215,31.21,484,35,193
34,30,160,23.29,279.7,-80.45,75,280.15,286.7,150,8300,150,255.45,270.6,75,25.3,258.3,31.16,334,109,120
123,123,358,23.68,232,-1024.3,75,228,238.9,150,8400,75,308.8,315.1,75,32.7,312.5,31.7,259,36,75
297,94,763,24.27,193,-58.5,75,192.25,196.15,75,8500,150,361.25,377.75,75,40.3,365,31.55,226,14,224
126,29,285,24.53,157,-52.05,75,157,163.4,75,8600,75,428.65,442.2,75,72.35,427.35,31.91,20,-3,68
194,80,386,25.37,131.9,-37,75,126.35,130.95,150,8700,75,491,509.7,75,59.35,499.35,32.82,25,11,47
361,22,396,25.29,103.5,-37.35,75,102.7,105.8,75,8800,75,561.15,586.95,75,52.95,572.5,33.45,33,2,268
160,51,246,25.4,81.4,-36.4,75,80.85,88.85,75,8900,75,637.55,665.5,75,104.35,652.35,34.46,25,3,55
742,-1,1107,25.82,65.55,-29.1,75,65.6,67.45,75,9000,75,720.85,750.05,75,69.65,729.75,34.84,17,-11,235
79,66,116,25.66,49.2,-23.2,75,47.35,55.6,75,9100,150,749.95,862.65,375,-,-,-,-,-,-
97,41,143,26.29,40.35,-23.2,75,40.7,42.75,75,9200,150,837.15,951.65,150,-,-,-,-,-,-
83,15,148,26.77,32.5,-17.35,75,31.75,34.4,75,9300,375,926.85,1044.25,375,-,-,-,-,-,-
-,-,-,-,-,-,1500,3.2,58.65,75,9400,375,1010.65,1167.55,150,-,-,-,-,-,-
-,-,-,-,-,-,300,6.1,50.1,75,9500,150,1111.35,1251.9,375,-,724.45,-,-,-,2
81,44,91,27.49,15.2,-9.65,75,12.8,17.95,75,9600,150,1206.15,1327.1,375,-,-,-,-,-,-
106,8,83,28.06,12.5,-10.5,75,8.5,13.5,75,9700,375,1300,1417.5,375,-,-,-,-,-,-
-,-,-,-,-,-,1800,2.25,30.7,75,9800,150,1393.9,1534.45,375,-,-,-,-,-,-
-,-,-,-,-,-,300,4,16.2,75,10000,150,1593.7,1726.6,150,-,-,-,-,-,-
1,-,-,-,71,-,1800,1.35,32.4,3000,10200,150,1793.35,1919.15,375,-,-,-,-,-,-
