CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2800,69.55,73.85,2800,320,23800,0.05,0.65,1400,-,-,-,-,-,-
3,-,-,-,55.6,-,4200,49.6,53.45,4200,340,1400,0.4,1.45,1400,-,-,-,-,-,-
-,-,-,-,-,-,2800,40.7,43.65,4200,350,1400,1.4,1.5,1400,-0.2,1.4,29.77,97,52,94
-,-,-,-,-,-,4200,31.4,34.9,4200,360,2800,2.5,2.6,1400,-0.4,2.6,29.34,117,28,92
-,-,-,-,-,-,14000,23.6,26.9,4200,370,2800,4.4,4.55,1400,-0.65,4.45,28.73,151,7,87
16,16,47,23.31,18.45,-66.35,1400,18.4,18.9,1400,380,1400,7.3,7.6,1400,-0.65,7.6,29.09,135,26,150
138,65,313,24.03,12.75,-1.45,1400,12.8,13.15,1400,390,1400,11.25,11.85,1400,-1.4,11.55,28.65,190,54,175
286,70,579,24.77,8.5,-1,1400,8.35,8.65,1400,400,1400,16.9,17.3,1400,-0.65,17.35,29.71,120,7,210
196,16,224,25.01,5.3,-1,1400,5.25,5.35,1400,410,1400,23.75,24.05,1400,-0.85,24.1,30.53,29,-,84
253,19,300,25.4,3.2,-0.85,1400,3.2,3.3,4200,420,1400,31.3,32.1,1400,-0.8,32,32.12,18,-5,95
176,15,95,25.93,1.9,-0.75,1400,1.9,2,1400,430,4200,38.95,42.05,7000,-,35,-,-,-,27
120,5,40,26.99,1.2,-0.5,1400,1.15,1.25,1400,440,1400,49.3,49.9,1400,0.65,50,37.5,4,-2,53
116,24,77,28.66,0.85,-0.3,2800,0.8,0.85,1400,450,2800,57.65,61.4,4200,-,59.55,-,-,-,39
38,-,-,-,1.1,-,1400,0.4,0.85,1400,460,2800,62.7,70.95,14000,-,50,-,-,-,3
3,-,-,-,0.9,-0.05,1400,0.1,0.8,1400,470,2800,72.65,80.9,14000,-,61.65,-,-,-,3
-,-,-,-,-,-,-,-,1.15,1400,480,2800,82.55,91.25,7000,-,86.25,-,-,-,6
2,-,-,-,0.15,-,-,-,0.25,1400,500,2800,102.4,110.7,2800,-,103.4,-,-,-,6
-,-,-,-,-,-,-,-,1.15,1400,520,56000,121.85,131.3,7000,-,-,-,-,-,-
