CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,11250,41.9,44.2,4500,190,38250,0.1,0.15,213750,-0.1,0.1,32.91,22,9,49
1,-,-,-,37.25,-,22500,31.85,34.3,4500,200,186750,0.15,0.2,15750,-0.1,0.2,28.89,78,45,64
36,25,35,-,23.5,-0.45,2250,23,23.3,2250,210,2250,0.4,0.45,4500,-0.15,0.4,24.58,133,70,111
68,7,33,-,18.7,-0.55,2250,18.35,18.6,2250,215,4500,0.65,0.7,22500,-0.2,0.65,23.04,122,69,150
91,20,123,-,14,-0.95,2250,13.9,14.1,2250,220,9000,1.2,1.25,31500,-0.2,1.25,22.73,353,62,464
81,7,160,-,10.05,-0.9,2250,9.9,10.1,2250,225,11250,2.15,2.2,2250,-0.25,2.2,22.27,535,94,439
907,232,1271,12.09,6.65,-0.8,6750,6.6,6.7,4500,230,6750,3.75,3.85,18000,-0.15,3.85,22.63,1575,238,763
1135,174,2257,13.95,4.05,-0.75,11250,4.05,4.15,6750,235,4500,6.15,6.25,6750,-0.05,6.3,23.62,855,74,928
1412,299,1971,15.43,2.4,-0.55,20250,2.35,2.4,2250,240,2250,9.4,9.55,4500,0.1,9.5,25.13,268,-24,537
567,175,995,16.22,1.3,-0.5,22500,1.3,1.35,18000,245,2250,13.35,13.5,2250,0.35,13.45,27.73,144,-16,268
1119,133,1393,17.79,0.8,-0.25,69750,0.75,0.8,9000,250,2250,17.65,17.9,2250,0.5,17.85,30.97,26,6,301
252,44,227,18.72,0.45,-0.2,42750,0.4,0.45,4500,255,2250,22.3,22.55,2250,0.4,22.3,33.6,19,4,43
434,38,354,19.56,0.25,-0.2,342000,0.2,0.3,63000,260,4500,27.15,27.35,2250,-,26.85,36.03,12,-1,189
4,2,7,22.51,0.25,-0.05,110250,0.15,0.3,2250,265,4500,30.35,33.15,11250,-,31.5,-,-,-,10
188,7,61,23.26,0.15,-0.05,236250,0.1,0.15,6750,270,11250,36.35,37.15,2250,0.5,36.6,43.2,3,1,623
147,7,16,28.31,0.15,-0.05,164250,0.1,0.15,90000,280,11250,46.55,47.1,2250,0.45,46.2,48.43,5,-3,283
