CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,60,7042.9,7526.65,30,37000,15,27.05,39.6,15,10.2,43.95,32.94,6,2,17
-,-,-,-,-,-,60,6073.3,6503.45,30,38000,15,49.6,62.95,15,-10.25,47.25,29.25,17,3,29
-,-,-,-,-,-,60,5093.5,5587.6,30,39000,15,61.85,120,45,-,120,-,-,-,3
-,-,-,-,-,-,60,4611.3,5096.9,60,39500,2250,0.2,296.4,60,59.55,126.7,28.63,4,3,3
8,-,-,-,4600,-,60,4189.75,4629.8,30,40000,15,138.65,164.95,30,-35.65,142.6,27.08,509,71,169
-,-,-,-,-,-,15,3693.7,4234.45,60,40500,15,102.7,419.65,60,56.4,170,25.9,10,5,5
-,-,-,-,-,-,60,3306.85,3731.3,30,41000,15,214.05,271.95,15,-40.1,234.35,25.84,103,19,86
-,-,-,-,-,-,105,2818.75,3343.45,45,41500,15,248.3,537.5,45,82.25,282.25,24.72,29,23,24
-,-,-,-,-,-,105,2476.85,2801.05,45,42000,15,381.3,453.95,15,-4.45,419.25,25.72,492,41,220
-,-,-,-,-,-,15,1950.95,2652.75,45,42500,15,281.5,824.85,150,244.4,528.85,25.27,14,7,7
-,-,-,-,-,-,105,1750.85,2098.3,45,43000,15,655.05,720,15,-111.4,670,25.02,106,17,61
1,1,5,20.35,1623,-4547.2,15,1300.95,2023.4,60,43500,15,489.05,1188.4,60,639.1,1063.1,29.33,4,-,-
66,44,211,20.47,1331.35,22.15,15,1344.7,1424.6,15,44000,15,1076.15,1165.45,15,-100.5,1070,25.22,153,10,117
70,38,209,20.27,1060.5,-38.4,30,1077.05,1149,15,44500,90,1224.8,1565.2,75,-,-,-,-,-,-
187,79,772,21.31,889.65,13.45,15,889.7,934.25,15,45000,30,1539.55,1740.8,15,-244.45,1547,24.6,30,2,71
47,6,75,20.72,669.9,-50.15,15,685.05,754.95,15,45500,90,1844.75,2179.3,105,-,-,-,-,-,-
171,24,417,22.16,580,-4.65,15,558.7,599,15,46000,75,2154.05,2443.55,15,-219.55,2240.95,26,13,4,35
80,7,66,22.59,465,-68.9,15,411,507.4,15,46500,30,2539.9,2889.1,105,-,-,-,-,-,-
351,90,1526,22.97,370,-1.3,15,313.75,380,165,47000,30,2963.8,3275.85,15,-375.9,2850.1,23.24,4,2,29
11,11,23,22.9,277.95,-3020.9,15,277.8,375,15,47500,30,3283.85,3711.1,75,-,-,-,-,-,-
383,75,655,23.57,227.1,-19.35,30,222.8,241.9,210,48000,30,3650.35,4154.05,75,1069.95,4269.95,38.84,2,2,4
118,1,70,24.04,181.5,-15.5,15,174.75,240,45,48500,60,4165.1,4600.95,75,-,-,-,-,-,-
4,4,8,23.97,132.95,-3041.7,15,102.35,180,30,49000,30,4579.05,5050.7,60,-,-,-,-,-,-
191,-2,474,25.38,124.2,-10.55,30,115.3,139.9,45,49500,30,5029.75,5531.8,75,-,-,-,-,-,-
86,27,81,25.08,87.15,-35.85,15,91.5,109.8,15,50000,30,5507.55,6002.25,75,-,5985.4,-,-,-,4
-,-,-,-,-,-,150,55.75,271.6,60,50500,60,6034.65,6540.35,75,-,-,-,-,-,-
31,14,19,27.3,72.45,-2.55,15,50.05,68.85,15,51000,60,6489.95,6948.5,60,-,-,-,-,-,-
1,-,-,-,200,-,15,15,99.95,15,51500,30,6990.8,7361.65,60,-231.75,6850,-,3,-3,13
-,-,-,-,-,-,1500,0.5,60,15,52000,30,7487.25,7910.45,60,-,-,-,-,-,-
-,-,-,-,-,-,15,0.25,-,-,53000,30,8442.95,8982.75,60,-,-,-,-,-,-
-,-,-,-,-,-,15,0.25,25,60,54000,30,9458.7,9923.15,75,-,-,-,-,-,-
