CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
246,-,-,-,271.55,-,3000,253.25,277.3,600,1520,3000,2,3,900,-,-,-,-,-,-
-,-,-,-,-,-,1200,212.7,240.75,600,1560,300,2.15,4.95,300,-3.05,2.5,27.72,2,-,5
-,-,-,-,-,-,600,175.65,199.9,600,1600,300,5,7.65,300,0.05,5,27.49,53,26,49
-,-,-,-,-,-,600,154.9,182.9,600,1620,300,4.05,7.7,600,-,8.65,-,-,-,27
-,-,-,-,-,-,600,137.2,165.6,600,1640,300,6.75,9.35,300,-,8.6,26.62,21,5,66
-,-,-,-,-,-,1500,122.75,148.05,600,1660,3600,11,14.4,300,1.1,11.2,26.24,216,99,179
-,-,-,-,-,-,600,101.8,126.45,600,1680,300,10.75,14.95,300,0.7,14,25.55,27,2,95
11,6,13,17.6,99.6,4.2,600,86.95,109.1,900,1700,300,17.15,19.9,300,-0.05,18.55,25.57,144,59,115
1,1,1,19.98,87.2,-21.15,3000,74.55,95.3,1800,1720,300,22.1,24.9,300,-0.2,21.8,24.28,65,39,86
33,21,43,19.47,72.05,3,300,64.2,76.25,300,1740,300,27.9,31.75,300,-2,29.25,24.85,74,32,152
16,11,21,20.18,60.5,2.15,300,50.85,63.55,300,1760,300,35.7,40.6,300,-1.05,37.2,25.02,69,18,109
66,24,81,19.41,47.5,-0.9,300,42.7,51.75,300,1780,300,45.2,51,300,-1.3,47.1,25.54,83,38,104
537,137,759,19.73,38.25,-0.65,300,38.05,41.35,300,1800,300,55.55,61.45,300,-1.45,57.1,25.53,124,31,284
115,14,121,20.31,31,-,300,28.65,32.7,300,1820,300,62.4,78,300,-2.1,67.5,25.15,10,2,34
206,20,130,20.35,24,-0.4,300,22.05,25.8,300,1840,600,79.8,91.1,300,1.1,81.1,25.79,19,2,29
126,45,149,20.8,19,1.65,300,13.8,19.75,300,1860,600,91.4,101.85,300,-2.65,97.15,27.21,9,4,26
119,25,54,20.94,14.5,-0.05,300,10.1,15.95,300,1880,300,107.7,121.75,300,1.85,106.85,24.73,1,1,22
289,24,402,21.84,12,0.7,300,10.4,12,300,1900,300,124,135.35,300,-,130.9,29.93,15,-,21
2,2,4,21.48,8.45,-39.75,300,5.25,12.05,300,1920,600,130.2,160,1200,-,122.6,-,-,-,5
69,16,74,22.19,6.85,-1.05,300,6.55,7.95,300,1940,600,152.55,174.9,1200,-,-,-,-,-,-
15,1,10,23.64,6.3,0.35,300,6,8.7,300,1960,1200,173.25,190.1,300,-132.6,184,33.56,10,10,10
16,7,13,24.38,5.25,-0.2,300,4.1,6.4,300,1980,600,187.65,212.65,1200,-,-,-,-,-,-
119,53,155,24.21,3.75,-0.25,300,3.95,4.3,300,2000,1500,208.75,230.6,1500,-,180.7,-,-,-,1
1,1,4,25.43,3.45,-61.25,300,2.15,5.2,300,2020,600,224.65,250.9,1200,-,-,-,-,-,-
99,14,69,26.64,3.2,-1.3,300,2.1,3.3,300,2040,600,247.4,269.55,1200,-,-,-,-,-,-
23,1,1,27.25,2,-1.2,300,1.65,3.4,300,2080,600,281.45,309.45,1200,-,-,-,-,-,-
-,-,-,-,-,-,900,0.5,2.95,300,2120,600,321.65,348.6,1200,-,-,-,-,-,-
