CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
108,-,-,-,318.65,-,2900,288.85,300.9,4350,920,725,1.85,2.2,725,-0.05,1.9,50.4,13,6,115
-,-,-,-,-,-,2900,249.85,263.45,1450,960,725,2.65,3.3,725,-0.45,3.15,48.2,97,9,218
-,-,-,-,-,-,2900,230.2,245.1,1450,980,725,1.5,5.4,725,-,-,-,-,-,-
23,-4,8,45.25,217.7,-47.3,725,215.05,218.2,725,1000,725,4.85,5,6525,-0.35,4.95,45.65,492,200,405
-,-,-,-,-,-,1450,193,206.95,1450,1020,725,6.05,6.9,725,-0.5,6.3,44.6,46,24,43
2,-,-,-,218,-,1450,175.15,188.6,1450,1040,725,7.8,8.35,725,-0.5,7.7,43.12,101,34,124
3,-,-,-,191,-,1450,157.55,170.5,1450,1060,725,9.95,10.25,725,-,10.15,42.67,214,66,176
30,-18,53,39.36,144.45,-42.55,1450,142.55,145.7,725,1080,725,12.75,13.85,725,0.25,12.95,41.93,415,140,281
194,82,261,39.76,128.8,-22.35,725,127.7,130.65,725,1100,725,15.8,16.5,1450,0.95,16.4,41.22,883,191,764
9,-1,4,37.7,111.55,-22.45,725,111.4,113.95,725,1120,725,20.4,20.95,725,1.05,20.6,40.54,179,35,86
29,1,11,39.56,99.4,-21.1,725,96.45,99.3,725,1140,725,25.45,25.9,725,2.3,25.75,39.98,294,17,84
78,1,24,38,84.35,-19.9,725,83.2,85.1,725,1160,725,31.6,32,5800,3.05,31.95,39.51,419,13,407
107,44,232,37.58,71.7,-18.1,725,70.9,72.9,725,1180,725,38.75,39.45,725,3.8,38.8,38.76,1103,358,651
927,148,1770,37.25,60.3,-17.9,725,58.35,60.5,1450,1200,725,46.75,47.35,725,4.95,46.95,38.2,2579,96,883
471,294,1182,36.03,48.8,-17.15,2900,49,50.25,725,1220,725,55.4,56.85,725,6.5,56.25,37.65,1245,73,339
949,450,2912,35.94,40.1,-15.1,2900,40,40.5,1450,1240,725,66.4,67.55,725,8.05,66.9,37.24,719,2,297
1161,48,1912,35.44,32,-13.65,725,31.9,32.35,725,1260,725,78.25,79.5,725,9.3,78.75,36.87,512,15,326
760,-54,1458,35.59,25.9,-11.25,725,25.35,25.7,725,1280,725,91.35,93.15,725,11.95,92.05,36.76,188,-21,200
1853,390,3054,35.12,20.05,-9.7,725,19.8,20.25,1450,1300,725,105.85,107.9,725,12.55,105.5,35.95,80,8,383
464,24,983,35.34,15.95,-7.8,2175,15.8,16.25,725,1320,725,121.45,123.35,725,14.1,122.15,37.09,41,2,103
1071,316,1385,35.66,12.7,-6.4,56550,12.7,12.85,2900,1340,725,137.95,140.15,725,18.35,138.55,37.42,16,-,65
500,83,710,36.07,10.15,-5.05,2175,9.8,10.3,725,1360,1450,146.75,160.25,2900,-287,156.25,38.51,2,2,2
204,59,412,36.63,8.2,-4.1,4350,7.65,8.4,725,1380,1450,164.85,178.45,2900,-,-,-,-,-,-
2056,161,2680,37.29,6.7,-3.15,725,6.3,6.95,725,1400,3625,188.75,197.3,3625,-,-,-,-,-,-
