CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,200,1108.2,1166.75,400,4200,100,5,6.25,100,0.45,6.3,43.13,21,2,39
-,-,-,-,-,-,200,911.15,969.45,400,4400,100,2.6,12.2,100,-3.35,7,-,-,-,1
1,-,-,-,795,-,200,814.25,872.55,100,4500,100,7.8,9.85,200,-0.9,9.8,35.42,1581,132,140
-,-,-,-,-,-,200,719.05,773.9,400,4600,100,11.65,13.7,100,-2.9,11.8,33.02,122,27,133
-,-,-,-,-,-,500,629.3,680.55,400,4700,100,16.25,18.85,100,-5.25,16.65,31.72,53,-1,42
-,-,-,-,-,-,500,537.7,586.85,300,4800,100,24.95,26.4,100,-4.1,26.6,31.54,519,46,186
-,-,-,-,-,-,400,434.45,522,200,4900,-,-,58.05,100,-,-,-,-,-,-
2,-,-,-,490,-,200,374.4,414.8,1000,5000,100,52.65,55.4,100,-7.1,52.35,29.38,1306,-10,373
-,-,-,-,-,-,1000,295.95,331.75,300,5100,100,73.45,80.35,100,1.15,81.05,30.01,426,35,159
125,3,403,23.31,241.7,-13.1,100,245.4,253.3,100,5200,100,105.65,110.4,100,-2.2,111.6,29.51,1609,35,345
191,26,1111,25.31,193.35,-5.5,100,189.1,192.95,100,5300,100,145.5,149.55,100,-2.95,151.5,29.27,794,45,191
595,219,1357,25.36,143.9,-4.05,100,140.05,144.35,100,5400,100,195.8,200.9,100,-0.85,205.8,29.98,634,98,316
710,132,1230,25.22,103,-6,100,101.5,104.35,100,5500,100,255.25,260.9,100,-6.85,256.3,28.74,143,1,288
418,18,902,25.42,73,-5.5,100,72.1,74.35,100,5600,100,318.6,334.85,100,-4.2,332,30.39,1,-,175
233,84,765,25.92,51.95,-2.9,100,49.65,52,100,5700,100,393.6,413.35,100,31.2,410.25,31.51,8,2,38
308,29,305,25.94,34.65,-4.3,100,33.45,36.05,100,5800,200,468.25,508.85,300,-,483,-,-,-,63
-,-,-,-,-,-,4000,4.75,53.5,100,5900,400,547.65,623.45,400,-,490,-,-,-,1
378,15,649,26.93,16.5,-2.7,100,15.95,16.6,100,6000,100,661.7,679.4,100,4.2,677.2,37,12,3,129
-,-,-,-,-,-,4000,1.9,31.2,600,6100,400,731.35,807.35,500,-,-,-,-,-,-
-,-,-,-,-,-,100,2.5,14.4,1600,6200,200,827.85,886.15,400,-,739.4,-,-,-,80
