CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,7200,50.05,53.2,7200,220,3600,0.2,0.65,1800,-,0.4,-,-,-,1
-,-,-,-,-,-,3600,40.8,43.8,1800,230,1800,0.2,0.6,3600,-,0.5,-,-,-,2
4,4,7,-,32.65,-33.15,3600,32.4,32.9,1800,240,3600,0.65,0.7,3600,-0.05,0.7,29.87,210,141,259
-,-,-,-,-,-,3600,26.2,29.45,5400,245,1800,0.6,1.65,18000,-,-,-,-,-,-
4,-,1,27.89,24.7,-0.1,3600,23.2,24,1800,250,5400,1.55,1.6,1800,-,1.6,28.37,316,138,446
6,6,9,26.81,20.4,-18.9,3600,18.9,19.6,1800,255,5400,2.25,2.4,3600,0.05,2.4,27.87,76,12,103
42,15,31,26.91,16.65,0.15,3600,15,16,1800,260,5400,3.35,3.5,1800,-0.05,3.4,26.99,299,11,638
15,9,32,22.47,12,-1.15,3600,11.95,12.3,1800,265,1800,4.95,5.1,1800,-0.1,5,27.04,341,47,302
683,-12,341,23.27,9.2,-1,1800,9.1,9.45,1800,270,1800,6.95,7.15,1800,-0.15,7.05,27.12,467,-24,572
362,-27,395,23.59,6.8,-0.95,1800,6.6,6.85,1800,275,1800,9.5,9.95,1800,-,9.55,27.19,129,28,223
1201,-182,1683,23.57,4.8,-0.7,3600,4.75,4.85,1800,280,1800,12.55,12.85,1800,-0.05,12.65,27.77,223,-3,2055
238,106,246,23.66,3.3,-0.55,1800,3.25,3.45,1800,285,1800,15.95,16.3,1800,0.6,16.55,29.78,15,-,348
604,-30,325,23.53,2.15,-0.4,1800,2.15,2.2,3600,290,3600,18.85,20.3,1800,-0.55,18.75,24.1,12,3,104
92,23,68,23.16,1.3,-0.3,3600,1.35,1.45,3600,295,3600,23.7,24.5,1800,0.1,23,24.64,6,5,32
829,74,379,23.62,0.85,-0.15,5400,0.8,0.9,3600,300,1800,28.25,28.75,1800,0.9,28.55,31.24,38,-2,513
113,109,176,23.57,0.5,-0.05,1800,0.5,0.55,1800,305,3600,31.75,33.55,1800,0.15,33.65,35.49,6,5,22
907,33,379,23.77,0.3,-0.05,7200,0.25,0.3,7200,310,1800,37.5,38.25,1800,-3.25,34.35,-,2,1,1631
-,-,-,-,-,-,1800,0.1,1.55,1800,315,18000,41.55,45,9000,-,-,-,-,-,-
136,34,41,26.67,0.2,-0.05,7200,0.2,0.3,12600,320,10800,46.4,49.35,7200,-,46.45,-,-,-,71
5,-,-,-,0.1,-,3600,0.1,0.3,5400,330,3600,56.3,58.95,7200,-,55,-,-,-,13
