CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
19,18,27,-,61.5,-2,1300,61.45,63.1,1300,320,2600,0.75,0.8,2600,-0.15,0.8,37,440,70,406
92,19,57,-,42.6,-1.85,1300,42.4,42.95,1300,340,6500,1.55,1.65,18200,0.05,1.6,31.55,477,76,618
32,20,46,21.99,33.65,-1.45,1300,33.4,33.95,1300,350,3900,2.45,2.55,9100,0.2,2.5,29.58,603,120,294
344,33,174,22.8,25.25,-1.45,1300,25,25.5,1300,360,5200,4,4.1,1300,0.3,4.1,28.27,1274,141,735
303,130,447,23.16,17.95,-1.2,1300,17.8,18.2,1300,370,2600,6.65,6.75,1300,0.55,6.75,27.53,2174,-17,816
1185,648,2973,23.45,12.05,-1.25,5200,11.85,12.2,1300,380,1300,10.65,10.85,1300,0.8,10.8,27.43,2437,332,1518
2183,414,2908,23.75,7.65,-1.05,2600,7.7,7.8,3900,390,1300,15.5,16.45,1300,0.95,16.3,27.74,664,40,2293
2662,262,3537,24.58,4.8,-0.8,5200,4.7,4.8,9100,400,1300,22.65,23.45,1300,1.15,23.4,29.12,355,-46,2094
2503,-8,1641,25.42,2.95,-0.55,1300,2.9,2.95,1300,410,2600,31.15,32.15,2600,1.2,31.4,30.65,98,17,1270
2636,112,971,26.31,1.8,-0.35,10400,1.8,1.85,6500,420,1300,39.95,40.75,1300,1.5,40.25,33.04,40,-2,946
799,-60,560,27.51,1.15,-0.15,2600,1.1,1.15,11700,430,1300,49.2,49.85,1300,1.7,49.4,35.33,69,-7,612
664,-2,141,29.12,0.8,-0.15,1300,0.75,0.8,10400,440,1300,58.6,59.25,1300,1.55,59.1,39.04,38,-2,717
668,40,266,30.97,0.6,-0.15,1300,0.55,0.6,19500,450,2600,68.2,69.15,1300,0.1,66.85,29.72,11,8,275
442,47,127,32,0.4,-0.15,11700,0.35,0.4,2600,460,2600,76.75,80.15,5200,-,76.5,-,-,-,184
234,8,41,35.43,0.25,-0.05,20800,0.2,0.3,9100,480,1300,97.45,98.6,1300,3.45,98.5,53.81,24,3,617
