CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2800,172.1,179.1,2800,360,8400,0.2,0.85,2800,-,-,-,-,-,-
-,-,-,-,-,-,7000,133.1,140.25,1400,400,700,0.85,0.9,2800,-1.25,0.85,53.21,15,15,15
-,-,-,-,-,-,2100,113.85,119.1,2100,420,1400,1.35,1.55,1400,-0.35,1.35,49.79,11,-1,43
5,5,8,36.1,97.3,-227.5,700,96.05,98.15,700,440,700,2.2,2.45,700,-0.1,2.25,46.98,37,7,38
-,-,-,-,-,-,1400,76.7,81.3,2100,460,2100,3.8,4.05,700,-0.1,3.85,44.77,174,71,324
13,-1,12,37.44,61.5,-25,700,61,62.35,700,480,700,6.35,6.6,700,0.3,6.4,42.6,262,117,362
241,-,70,38.12,46.35,-8,700,45.7,46.9,700,500,700,10.65,11,7000,0.95,10.8,41.44,449,88,533
85,24,55,38.64,33.6,-7.15,700,32.65,33.85,700,520,700,17.55,18.05,700,2.35,17.9,41.48,331,79,325
241,83,471,39.09,23.45,-5.7,700,22.65,23.45,700,540,700,27.2,27.9,2100,3.55,27.3,41.34,705,218,486
602,153,859,39.55,15.8,-4.7,700,15.35,15.85,700,560,700,39.55,41.55,700,3.3,38.95,41.02,127,8,299
586,70,549,39.97,10.3,-3.6,700,10.2,10.7,700,580,700,53.65,55.9,700,5.35,54.4,43.7,27,9,157
900,146,965,41.7,7.1,-2.4,700,7,7.15,700,600,700,70.35,72.95,700,5.9,69.95,43.76,13,1,188
152,16,410,42.61,4.65,-1.9,4900,4.6,4.75,2100,620,700,87.55,89.55,700,15.55,87.55,45.73,6,4,8
292,91,362,43.4,3,-1.65,2100,2.95,3.05,700,640,700,104.9,108.45,700,23.45,106.45,49.56,11,4,7
216,127,356,44.29,1.95,-1.5,700,1.9,2.15,700,660,1400,121,127.3,2800,-,109,-,-,-,7
91,30,41,46.01,1.4,-0.95,700,1.35,1.65,1400,680,1400,140.45,147.2,2800,-,127,-,-,-,2
445,-73,584,49.4,1.25,-0.75,700,1.2,1.3,700,700,1400,159.85,167.05,7000,0.35,155.35,-,-,-,87
6,3,5,50.67,0.9,-1.4,700,0.6,1.2,700,720,2800,179.75,186.35,2800,-,168,-,-,-,4
105,4,32,52.42,0.7,-0.55,700,0.65,0.85,700,740,2800,199.35,205.9,7000,-,235,-,-,-,3
-,-,-,-,-,-,700,0.4,2,8400,760,2800,219.15,226.6,2800,-,-,-,-,-,-
12,3,6,55.91,0.45,-0.65,1400,0.4,0.6,1400,780,2800,238.75,245.6,7000,-,-,-,-,-,-
67,15,45,54.92,0.25,-0.6,700,0.35,0.5,1400,800,700,260.2,263.85,700,8.8,253.3,-,20,12,23
-,-,-,-,-,-,7000,0.15,1.95,8400,820,2800,278.5,288.5,2800,-,256.3,-,-,-,1
-,-,-,-,-,-,7000,0.15,1.95,8400,840,2800,298.35,308.3,2800,-,-,-,-,-,-
-,-,-,-,-,-,7000,0.15,1.9,7000,860,2800,318.2,328.2,2800,-,-,-,-,-,-
-,-,-,-,-,-,7000,0.1,1.9,8400,880,2800,338.25,348,2800,-,-,-,-,-,-
-,-,-,-,-,-,3500,0.1,0.45,2800,920,2800,377.6,384.25,2800,-,-,-,-,-,-
