CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,700,341.55,361.7,3500,1160,350,1.1,1.75,350,0.05,1.2,43.54,28,-13,18
-,-,-,-,-,-,700,302.35,324,700,1200,1750,1,2.55,350,0.55,2,42.06,26,-,20
-,-,-,-,-,-,1400,264.75,285.4,700,1240,350,0.65,5.2,350,-,-,-,-,-,-
-,-,-,-,-,-,700,243.35,271.7,700,1260,350,0.85,9.05,350,-,-,-,-,-,-
-,-,-,-,-,-,3500,225,248.3,1400,1280,350,1.6,4.55,350,-0.3,2.5,33.39,7,1,16
-,-,-,-,-,-,700,204.55,225.3,700,1300,350,2.9,4.85,350,0.9,4.1,34.26,189,36,127
-,-,-,-,-,-,1400,186.5,216.15,1400,1320,2800,1.75,13.05,14000,-,-,-,-,-,-
-,-,-,-,-,-,3500,168.15,197,1400,1340,350,1.8,14.75,1750,-,-,-,-,-,-
2,2,2,-,151.8,-183.65,700,150.75,170.65,700,1360,350,7.4,11.45,350,-37.65,8.65,31.99,42,26,26
-,-,-,-,-,-,1400,127.85,152.5,700,1380,350,5.9,12,350,-50.45,11,31.26,7,5,5
2,2,2,22.52,118.8,-188.15,350,121,132.1,700,1400,350,11.85,14.3,350,2.35,14.35,30.9,241,38,124
-,-,-,-,-,-,1050,97.3,126.55,3500,1420,350,12.1,28.2,1050,-,-,-,-,-,-
-,-,-,-,-,-,700,82.6,102.65,1400,1440,350,19.6,23.55,350,-46.7,22.8,29.73,83,42,42
16,-2,24,30.02,83.4,0.75,350,72.45,84.3,350,1460,700,27.15,31.25,350,-65.55,29.8,30.05,54,24,24
-,-,-,-,-,-,1400,54.95,82.35,700,1480,350,31.85,42.9,350,-1.3,35.7,29.01,178,41,42
103,39,622,28.54,57.65,-0.65,350,52.15,57.5,700,1500,700,41.9,49.35,350,2.65,44.6,29.08,572,48,261
24,6,56,27.12,45.3,-6.7,350,41.05,53.2,700,1520,3500,42.5,61.05,350,-2.45,51.3,-,-,-,4
36,14,104,27.28,37,-4.9,350,34.3,39.6,350,1540,350,60.95,69.95,350,4.1,67.85,30.24,15,2,32
41,26,78,27.54,30.1,-7.9,350,29.15,32.95,350,1560,350,72.8,86.75,1750,-,-,-,-,-,-
83,12,160,27.75,24.2,-3.8,350,21.6,25.55,350,1580,1400,83,102.05,700,-,92.15,-,-,-,1
308,100,470,27.41,18.5,-3.35,700,18.05,20.7,350,1600,2450,97.65,110.15,350,1.25,108.15,30.46,17,-2,78
10,10,13,28.75,16.05,-53.35,350,14.45,19.95,350,1620,700,113.45,133.85,700,-,-,-,-,-,-
-,-,-,-,-,-,350,13.25,16.05,1050,1640,350,130.55,150,350,59.2,160.7,45.53,9,-,9
119,12,89,29.2,10,-2.6,350,8.75,12.45,350,1660,700,144.85,166.15,1750,-,-,-,-,-,-
-,-,-,-,-,-,2100,2.4,10.7,350,1680,350,159.4,183.4,1400,-,-,-,-,-,-
-,-,-,-,-,-,1400,1.8,16.55,14000,1700,1400,179.15,208.75,700,-,-,-,-,-,-
113,13,88,30.84,5.4,-1.7,350,4.55,6.2,350,1720,3500,199.95,219.75,1400,-,-,-,-,-,-
-,-,-,-,-,-,1400,1.2,14.15,14000,1740,1400,215.2,246.75,3500,-,-,-,-,-,-
1,1,1,30.82,3.05,-117.9,1400,0.8,13.55,14000,1760,700,236.8,266.45,1400,-,-,-,-,-,-
50,3,7,33.23,2.55,-0.45,350,1.65,2.8,2100,1800,700,276.4,297.75,1400,-,-,-,-,-,-
-,-,-,-,-,-,350,0.25,3.8,2100,1840,700,315.7,336.45,1750,-,-,-,-,-,-
