CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,500,632.05,721.8,250,2400,-,-,5.8,2500,-,-,-,-,-,-
-,-,-,-,-,-,500,592.2,682.15,250,2440,2500,0.1,5,250,-,1.3,-,-,-,1
-,-,-,-,-,-,1000,575.7,615.7,500,2480,2750,0.1,5.9,2500,-,-,-,-,-,-
-,-,-,-,-,-,1000,535.9,574.25,500,2520,250,0.25,5.95,2500,-,-,-,-,-,-
-,-,-,-,-,-,1000,497.3,537.55,500,2560,250,0.25,9.5,250,-,-,-,-,-,-
-,-,-,-,-,-,1250,454.85,490.15,500,2600,250,0.25,6,750,-,-,-,-,-,-
-,-,-,-,-,-,1000,436.55,476.55,500,2620,250,0.25,6.25,2500,-,-,-,-,-,-
-,-,-,-,-,-,1000,416.9,456.8,500,2640,250,0.25,6.4,2500,-,-,-,-,-,-
-,-,-,-,-,-,1250,395.55,437.1,500,2660,250,0.25,6.55,2500,-,-,-,-,-,-
-,-,-,-,-,-,1000,378.5,408.9,1000,2680,3000,0.6,6.7,250,-,-,-,-,-,-
-,-,-,-,-,-,500,355.65,387.6,1000,2700,1000,1,4.9,250,-,-,-,-,-,-
-,-,-,-,-,-,1250,336.65,378.6,500,2720,3000,0.9,11.2,2500,-,-,-,-,-,-
-,-,-,-,-,-,1250,317.15,359.4,500,2740,250,1.25,11.95,250,-,-,-,-,-,-
-,-,-,-,-,-,1000,299.6,333.95,500,2760,250,1.15,8.9,250,-,-,-,-,-,-
-,-,-,-,-,-,500,278,315.3,250,2780,250,2,4.5,250,-53.4,3.25,20.16,5,3,3
10,10,12,-,271.2,-39.65,250,269.8,287.95,250,2800,500,4,5.9,250,-2.05,4.25,20.07,66,16,88
-,-,-,-,-,-,1250,240,271.3,500,2820,250,3.8,6.85,250,-65.4,6,20.39,21,14,14
-,-,-,-,-,-,500,220.4,253.25,1000,2840,2500,1.8,10.65,2500,-,40,-,-,-,1
-,-,-,-,-,-,1250,201.8,242.95,2500,2860,1500,2.1,12.65,250,-,-,-,-,-,-
-,-,-,-,-,-,1000,184.35,218.05,500,2880,1250,2.6,14.7,250,-53.05,15.15,21.66,1,1,1
17,17,19,8.43,173.55,66.45,250,178.35,187.7,250,2900,250,11.4,12.5,250,-4.75,12,18.59,84,20,80
3,3,3,15.91,163.15,-65.3,500,159.55,172.75,250,2920,250,14.15,15.55,250,-66.65,15.05,18.49,20,9,9
1,-,-,-,176,-,1000,132.2,168.2,1000,2940,250,13.3,27.3,250,-,-,-,-,-,-
-,-,-,-,-,-,500,120.7,147.4,500,2960,250,21.55,23.15,250,-73.45,23.4,18.43,76,47,47
1,1,1,15.99,115.65,42,500,103.35,129.05,750,2980,250,26.25,28.25,250,-7.25,28,18.17,29,7,27
69,16,60,18.55,109.6,-6.6,250,102.25,107.35,250,3000,250,32.6,34.45,250,-7.25,33,17.8,477,74,264
1,1,1,17.66,93.9,33.75,250,78.05,101.5,750,3020,250,35.55,41,250,-139.2,40.5,17.95,48,15,15
30,26,55,16.23,77,-15,250,78.45,84.1,250,3040,250,44,50.85,250,-6.3,49.45,18.23,63,9,58
42,31,83,16.53,67,-15,250,67.05,71.1,250,3060,250,55.6,58.15,250,-6.65,58.7,18.32,49,9,43
29,9,75,17.06,58.95,-14.95,250,56.85,60.65,250,3080,500,57.6,78.85,250,-,60,-,-,-,1
286,40,511,16.92,49.5,-13.9,250,49.35,54.85,250,3100,750,69.1,79.3,250,-5.65,79.55,18.35,338,122,255
152,77,259,17.25,42.7,-12.5,250,41.55,43.65,250,3120,750,82.95,93.3,250,8.25,85,16.54,1,-,17
94,20,230,16.75,34,-14.35,250,34.9,37.1,250,3140,500,97,118.15,500,0.55,110.15,-,-,-,15
