CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,350,602.75,639.2,700,3100,175,1.6,7,1750,-,-,-,-,-,-
-,-,-,-,-,-,350,503.1,548.6,350,3200,175,4.05,7.9,175,-1.7,4.9,29.73,8,-5,25
-,-,-,-,-,-,175,410.75,444.95,700,3300,175,6.75,10.05,175,-0.85,8.45,27.78,45,2,11
-,-,-,-,-,-,700,362.4,402.45,700,3350,175,8.9,13.1,175,6.05,11.2,26.87,5,5,5
1,-,-,-,413.45,-,350,316.55,354.25,350,3400,175,15.15,16.85,175,-0.25,16,26.54,57,14,23
-,-,-,-,-,-,875,272.95,307.75,525,3450,175,17.5,22.6,350,11,20.25,25.34,22,8,8
11,1,2,28.15,268,-12,350,245.5,256.7,175,3500,175,27.95,30.3,175,0.75,30,25.61,235,47,135
-,-,-,-,-,-,875,192.45,222.35,525,3550,175,39.35,41.1,175,6.8,42.1,25.71,30,20,28
3,3,6,23.6,180.05,-473.95,350,163.2,191.35,175,3600,175,48.8,60.05,175,0.55,55,25.2,92,46,102
-,-,-,-,-,-,350,119.2,153.85,525,3650,175,46.5,95.25,525,-,71,-,-,-,11
77,54,107,23.12,117.4,-6.3,175,114.25,121.5,175,3700,175,89.95,94.85,175,-1.8,93.1,24.91,317,69,145
79,68,106,23.04,92.35,-8.25,175,92,99.5,175,3750,175,114.85,122.15,350,6,121.75,25.74,70,40,61
129,22,125,22.52,69.3,-8.1,175,70.45,73,175,3800,700,135.45,154.5,350,3.45,148.75,25.4,31,5,90
132,31,85,22.75,53.15,-5.4,350,51.75,55,175,3850,350,173.3,189.25,175,4.75,183.95,26.23,15,6,31
151,34,324,22.86,39.8,-6.1,350,40.15,42,175,3900,175,211.75,226,175,9.85,220.2,26.66,22,18,56
31,18,37,23.11,29.75,-4.2,350,29.5,37.95,350,3950,350,240.65,279.3,175,151.55,234.15,19.28,1,1,1
184,71,252,23.29,21.8,-5.65,175,21.65,23.4,175,4000,1050,281.75,311.65,525,-,270,-,-,-,59
-,-,-,-,-,-,350,13,27.65,175,4050,700,318.5,365.6,350,-,-,-,-,-,-
69,36,55,23.94,11.85,-4.3,350,11.6,13.2,175,4100,175,379.1,404,1050,9.7,384.7,27.82,3,3,64
-,-,-,-,-,-,175,5,20.3,175,4150,700,416.95,453.55,175,-,-,-,-,-,-
66,36,86,24.98,6.8,-4.9,175,6.8,7.5,175,4200,350,464.65,502.05,700,-,380,-,-,-,4
5,-,-,-,16.35,-,175,5.1,9.45,350,4250,700,516.5,550.4,700,-,457.9,-,-,-,1
32,-2,4,27.77,5.65,-0.55,525,4,5.6,175,4300,350,554.45,598.75,700,-,-,-,-,-,-
-,-,-,-,-,-,175,1.1,6,175,4350,700,611.8,644.15,700,-,-,-,-,-,-
-,-,-,-,-,-,175,3.55,7.95,175,4400,700,662.6,695.9,700,-,-,-,-,-,-
-,-,-,-,-,-,3500,1.1,9.9,175,4450,700,711.1,749.15,700,-,-,-,-,-,-
-,-,-,-,-,-,175,1.55,18.65,700,4500,700,761.2,806.2,700,-,-,-,-,-,-
-,-,-,-,-,-,3500,0.5,18.65,700,4550,700,809.8,855.85,700,-,-,-,-,-,-
-,-,-,-,-,-,175,1.35,14.25,5250,4600,700,859.1,901.1,700,-,-,-,-,-,-
-,-,-,-,-,-,175,1,18.65,700,4700,700,959.25,1000.45,875,-,-,-,-,-,-
-,-,-,-,-,-,175,0.35,18.6,5250,4800,700,1057.9,1100.4,875,-,-,-,-,-,-
