CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1300,154.45,163.05,2600,600,6500,0.1,1.35,2600,-,-,-,-,-,-
-,-,-,-,-,-,1300,115.7,121.7,1950,640,650,1.1,1.65,650,-,-,-,-,-,-
-,-,-,-,-,-,1300,96.5,102.65,1950,660,650,1.8,2.1,650,-10.7,2.05,32.31,40,22,22
7,7,13,28,82.25,-296.4,1300,81.15,82.5,650,680,650,3.45,3.6,650,0.7,3.5,30.94,112,51,85
59,41,86,25.99,64,-12.45,650,63.95,65,650,700,650,5.85,6.15,650,1.7,6.1,30.07,293,2,349
9,9,29,26.08,48.15,-356.6,650,48,49.1,650,720,650,9.55,10.15,650,2.65,9.7,28.6,246,53,446
127,127,168,26.37,34.75,-222.85,650,34.65,35.4,1300,740,1300,16.1,16.4,650,4.55,16.4,28.79,243,57,296
286,170,430,26.38,23.75,-9.1,650,23.5,24.05,650,760,650,24.7,25.4,650,5.5,25.2,28.61,362,96,426
575,266,985,26.53,15.5,-7.65,19500,13.1,15.4,650,780,650,36.3,37.2,650,6.4,36.1,28.05,197,39,318
1907,333,968,26.42,9.45,-5.85,650,9.3,9.8,650,800,1300,48.5,51.55,650,9.3,51.5,30.28,131,6,2270
379,22,348,27.56,6.15,-4.05,650,6.05,6.25,1300,820,1300,65.85,70.4,1300,10.6,68.2,32.39,25,11,176
338,41,480,28.77,4.05,-2.7,650,3.9,4.05,650,840,650,84,85.5,650,12.1,84.45,31.98,50,33,111
227,15,287,30.12,2.75,-1.9,1300,2.65,2.8,650,860,650,102.3,103.9,650,17.65,103.6,35.45,51,33,34
129,15,146,31.64,1.95,-1.45,1300,1.85,1.95,1300,880,650,121.55,123,650,17.7,122.7,38.25,19,9,17
662,68,356,33.73,1.55,-1.2,650,1.45,1.55,1300,900,650,139.8,142.4,650,13.85,141.95,40.87,28,3,125
22,20,24,35.45,1.2,-0.55,650,0.95,1.2,3900,920,1300,156.55,164.65,2600,-,117,-,-,-,20
17,-1,1,42.58,1.35,-0.05,650,0.75,1.3,650,960,1300,196.35,204.4,2600,-,175,-,-,-,36
726,265,379,43.77,0.7,-0.25,3250,0.6,0.7,650,1000,650,237.85,242.75,650,-,224.25,-,-,-,129
