CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,40000,15.2,16.3,32000,86,280000,0.05,0.2,48000,-,-,-,-,-,-
-,-,-,-,-,-,32000,13.3,14.15,32000,88,360000,0.05,0.2,40000,-,-,-,-,-,-
53,30,51,-,11.7,-0.8,8000,11.75,11.95,16000,90,152000,0.2,0.25,24000,-,0.25,28.56,118,30,106
1,1,1,-,10.6,-6.1,72000,10.45,11.5,32000,91,16000,0.2,0.4,32000,-,-,-,-,-,-
-,-,-,-,-,-,32000,9.6,10.4,8000,92,128000,0.35,0.4,208000,-,0.35,26.76,80,14,45
-,-,-,-,-,-,40000,8.6,9.55,16000,93,304000,0.4,0.45,32000,-,0.45,26.47,113,27,71
8,8,17,18.92,8.05,-8.8,8000,8.1,8.25,8000,94,320000,0.5,0.6,232000,-,0.55,25.83,148,17,211
77,56,86,22.3,7.35,-0.65,8000,7.25,7.4,16000,95,392000,0.65,0.7,64000,0.05,0.7,25.57,696,44,264
2,2,10,21.94,6.5,-8.95,8000,6.45,6.6,8000,96,280000,0.8,0.85,40000,0.05,0.85,24.94,109,18,87
23,3,9,25.63,6.05,-0.2,8000,5.65,5.8,8000,97,144000,1,1.05,24000,0.05,1,23.98,193,41,139
20,9,30,21.12,4.9,-0.6,8000,4.9,5,8000,98,168000,1.25,1.3,16000,0.1,1.3,24.23,319,26,129
44,16,167,21.04,4.2,-0.55,24000,4.2,4.3,16000,99,88000,1.55,1.6,16000,0.1,1.55,23.52,454,70,144
802,141,851,21.34,3.6,-0.4,8000,3.6,3.65,24000,100,136000,1.9,1.95,8000,0.15,1.95,23.75,1440,167,1271
104,26,553,21.95,3.1,-0.3,24000,3,3.1,40000,101,72000,2.3,2.4,16000,0.15,2.3,23.07,653,61,177
576,289,1422,21.61,2.55,-0.3,32000,2.5,2.55,48000,102,24000,2.8,2.9,48000,0.15,2.8,23.2,733,56,333
385,94,938,20.76,2,-0.35,24000,2.05,2.1,32000,103,24000,3.35,3.4,8000,0.25,3.4,23.71,536,39,338
275,72,544,21.52,1.7,-0.25,64000,1.65,1.75,168000,104,24000,3.95,4.05,16000,0.3,4,23.76,327,17,277
1207,110,1828,21.83,1.4,-0.2,352000,1.35,1.4,176000,105,32000,4.6,4.7,40000,0.35,4.7,24.25,226,-36,495
304,49,600,21.68,1.1,-0.2,24000,1.1,1.15,248000,106,24000,5.35,5.45,16000,0.4,5.45,24.82,43,-2,180
509,18,740,22.07,0.9,-0.15,240000,0.85,0.9,24000,107,8000,6.1,6.25,8000,0.4,6.2,25.03,45,4,449
336,38,303,22.03,0.7,-0.2,112000,0.7,0.75,272000,108,16000,6.9,7.05,8000,0.4,7.05,25.93,31,-2,229
105,7,92,22.17,0.55,-0.2,200000,0.55,0.6,168000,109,8000,7.75,7.9,8000,0.6,8,27.71,16,5,34
1522,-39,1634,23.39,0.5,-0.1,1760000,0.45,0.5,1360000,110,16000,8.65,8.8,8000,0.5,8.8,27.57,135,24,995
191,32,83,22.77,0.35,-0.15,464000,0.35,0.4,32000,111,8000,9.55,9.7,8000,0.35,9.65,27.69,15,4,91
287,55,146,24.47,0.35,-0.05,416000,0.3,0.35,608000,112,8000,10.45,10.7,8000,0.35,10.55,28.24,8,6,156
69,6,55,25.12,0.3,-0.05,536000,0.25,0.3,584000,113,56000,11.05,11.95,32000,-,11.15,-,-,-,48
82,3,30,25.58,0.25,-0.05,456000,0.2,0.25,152000,114,48000,11.95,12.9,32000,-,12.1,-,-,-,97
449,41,340,25.79,0.2,-0.05,272000,0.2,0.25,1128000,115,16000,13.35,13.45,8000,0.55,13.5,33.09,24,-5,228
62,-6,48,27.21,0.2,-0.05,472000,0.15,0.2,232000,116,16000,13.9,14.85,32000,-,13.7,-,-,-,2
8,1,1,28.61,0.2,-,112000,0.1,0.2,112000,117,32000,14.95,15.8,32000,-,14.85,-,-,-,52
134,1,28,28.35,0.15,-0.05,360000,0.1,0.15,40000,118,16000,15.8,16.8,72000,-,15.95,-,-,-,5
-,-,-,-,-,-,80000,0.1,0.2,64000,119,16000,16.8,17.8,32000,-,-,-,-,-,-
528,10,38,28.8,0.1,-0.05,352000,0.1,0.15,1416000,120,8000,18.2,18.5,8000,-,17.8,-,1,1,49
64,7,28,31.18,0.1,-0.05,768000,0.05,0.1,32000,122,32000,19.7,20.65,32000,-,19.25,-,-,-,4
21,-,5,30.2,0.05,-0.05,232000,0.05,0.1,320000,124,8000,22,22.6,8000,0.4,22,35.07,1,1,8
