CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
8,-,-,-,515.3,-,700,377.55,404.75,700,1400,350,1.05,3.5,350,-0.45,2.05,43.49,4,-1,10
19,2,2,-,279.95,-141.8,350,286.2,300.05,350,1500,350,3.55,5.6,350,-0.05,5.35,39.92,54,-2,36
3,3,4,-,233.75,-86.05,350,239.9,254.4,350,1550,350,7,8.8,350,-33.35,8.6,38.33,22,14,14
6,6,8,-,188.85,-155,700,195.2,208.2,350,1600,700,12,13.75,350,2.1,13.45,36.66,200,36,91
5,3,28,20.17,148,-57,350,155.65,164.9,350,1650,350,20,21.95,350,5.15,22.1,36.01,212,48,96
16,15,50,24.74,111.55,-28.45,350,118.25,130.6,350,1700,350,31.4,32.55,350,5.5,31.95,33.88,447,146,208
34,33,103,29.8,87.1,-39.9,350,81.8,91.6,350,1750,350,48.3,49.95,350,7.75,49.75,33.77,536,67,121
243,163,1028,30.47,62,-14,350,61.75,64.2,350,1800,700,66.1,73.85,350,8.25,71.75,33.07,936,356,598
155,75,637,30.74,42.15,-12.8,350,40.15,43.75,350,1850,350,99.6,103.9,350,18,109.45,37.34,125,7,43
425,119,775,30.78,27.25,-10.55,350,27.3,29.45,350,1900,350,134.75,139.7,350,25.35,148.25,40.21,62,-4,99
233,137,437,31.65,18.1,-5.7,350,17.45,25.15,350,1950,350,171.35,182.35,350,25.75,178.25,36.24,21,1,33
217,59,234,32.57,12,-4.85,350,11.3,12.4,350,2000,700,217,223.95,350,54.8,229.9,43.59,23,1,64
4,4,5,33.98,8.4,-65.45,350,6.6,10.8,350,2050,700,255.95,280.75,350,-,-,-,-,-,-
142,30,162,34,5,-3.55,700,5.15,7.25,350,2100,700,300.35,328.3,700,-,222,-,-,-,5
5,-,-,-,8.35,-,2800,1.25,8.15,14000,2150,700,349.75,377.35,1400,-,-,-,-,-,-
182,95,174,36.42,2.45,-2,350,2.6,2.95,350,2200,700,397.1,424.4,700,-,-,-,-,-,-
