CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
3,-,-,-,1482,-,250,1486.95,1574.65,250,5600,125,1.65,5.5,125,-,5.6,40.27,1,1,22
-,-,-,-,-,-,250,1294.6,1401.4,250,5800,1000,2.3,39.4,125,-,-,-,-,-,-
5,-,-,-,1152.85,-,250,1098.15,1185.75,250,6000,125,7.05,11.65,125,-11.9,7.1,31.49,23,11,15
-,-,-,-,-,-,250,1000.05,1074.2,250,6100,250,10.75,12.75,125,-3.4,11,31.4,1763,9,98
-,-,-,-,-,-,250,905.95,991.2,250,6200,125,14.5,16.5,125,-,14.5,30.41,94,14,65
-,-,-,-,-,-,500,810.65,900.7,500,6300,125,25,40.8,125,-,-,-,-,-,-
1,-,-,-,780,-,500,720.75,811.15,500,6400,125,13,59.4,250,-,-,-,-,-,-
3,-,-,-,625,-,500,621.45,731.65,250,6500,1250,24.65,73.15,375,-,-,-,-,-,-
-,-,-,-,-,-,375,515.8,632.1,125,6600,-,-,79.45,1125,-,-,-,-,-,-
45,-,-,-,490.45,-,125,467.4,508.9,250,6700,125,58.55,63.15,125,-7.5,58.75,25.93,401,71,327
198,-4,39,23.5,411.2,-33.2,125,405.9,415.45,125,6800,125,79.4,81.9,125,-7.05,80.8,25.66,495,56,213
23,-,6,22.63,333.8,-13.65,125,330.85,342.8,125,6900,375,84.6,149.05,250,-,-,-,-,-,-
143,30,324,23.86,279.2,-14.75,125,271.55,278,125,7000,125,140.65,146.4,250,-7.05,147.85,25.72,1146,148,382
284,20,1077,23.42,219.7,-16.45,125,217.7,220.65,125,7100,125,187,188.75,125,-15,188.25,25.29,817,12,144
735,2,3073,23.34,171,-16.95,125,170.2,175.55,125,7200,125,237.25,242.4,250,-8.9,239.65,25.31,455,-3,270
-,-,-,-,-,-,375,101.9,173.55,125,7300,125,295.95,303,125,11.2,296.4,25.1,15,7,24
-,-,-,-,-,-,500,61.6,151,125,7400,375,312.85,423.4,500,-,-,-,-,-,-
266,266,1765,23.81,75.2,-198.45,125,73.75,76.3,125,7500,125,436.55,445.15,125,-9.35,438.15,25.75,33,9,44
465,119,1363,24.06,56,-10.8,125,55,56.35,125,7600,625,498,546.85,625,-,-,-,-,-,-
-,-,-,-,-,-,250,22.1,96.55,1000,7700,250,565.7,678.05,500,-,-,-,-,-,-
-,-,-,-,-,-,125,40,82.7,500,7800,250,645.55,776.9,250,-,-,-,-,-,-
382,116,901,25.5,16.85,-5.2,125,16.2,16.9,125,8000,250,831.5,913.75,250,-,-,-,-,-,-
-,-,-,-,-,-,2500,9.05,42.1,4500,8200,250,1031.05,1133.05,500,-,-,-,-,-,-
