CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,3800,46.1,48.95,7600,230,9500,0.05,0.8,1900,-,-,-,-,-,-
-,-,-,-,-,-,3800,35.95,38.35,7600,240,76000,0.1,0.35,1900,-,-,-,-,-,-
-,-,-,-,-,-,3800,31.05,34.3,7600,245,9500,0.05,1.2,17100,-,-,-,-,-,-
26,25,28,-,27.25,-3.6,1900,27.45,27.9,1900,250,3800,0.45,0.55,9500,-0.3,0.5,23.71,241,55,197
10,10,16,-,22.8,-18.15,1900,22.85,23.2,1900,255,3800,0.65,0.75,1900,-1.65,0.75,22.33,65,33,33
27,4,20,14.01,18.45,0.1,1900,18.2,18.65,1900,260,11400,1.1,1.15,3800,-0.45,1.15,21.05,239,2,321
6,2,21,15.74,14.2,-5.2,1900,13.95,14.35,1900,265,1900,1.8,1.85,3800,-0.7,1.8,19.95,300,47,242
93,15,313,16.29,10.4,0.65,1900,10.25,10.5,1900,270,11400,2.9,3,5700,-0.95,2.95,19.45,710,64,510
270,69,667,16.38,7.15,0.3,1900,7.05,7.2,1900,275,7600,4.7,4.8,5700,-1.1,4.8,19.56,562,77,429
1098,201,1261,16.72,4.7,0.2,7600,4.6,4.7,13300,280,1900,7.15,7.35,1900,-1.45,7.2,19.47,317,5,896
624,53,611,17.08,2.95,0.05,1900,2.9,3,1900,285,1900,10.3,10.6,1900,-1.65,10.55,20.53,57,-7,357
928,33,480,17.76,1.85,-0.05,5700,1.8,1.85,15200,290,1900,14.2,14.45,1900,-1,14.9,23.54,36,-,487
347,24,288,18.2,1.1,-0.2,5700,1.1,1.15,13300,295,1900,18.45,18.75,1900,-1.5,18.6,23.02,23,15,72
1162,-40,709,19.08,0.7,-0.2,19000,0.65,0.7,13300,300,1900,23.05,23.25,1900,-1.55,23.15,24.94,68,-13,546
202,63,162,19.45,0.4,-0.2,9500,0.35,0.45,72200,305,1900,27.65,28,1900,6.55,27.85,27.04,36,30,30
271,19,97,21.53,0.35,-,5700,0.3,0.35,28500,310,1900,32.4,32.8,1900,0.75,33.15,32.24,2,1,102
2,-,-,-,0.2,-,39900,0.1,0.4,3800,315,3800,36.6,38.65,7600,-,35.75,-,-,-,3
551,-,10,21.65,0.1,-0.05,264100,0.1,0.15,214700,320,11400,41.3,43.9,11400,-,43.1,-,-,-,616
96,-,6,23.52,0.05,-,592800,0.05,0.1,17100,330,3800,51.35,53.5,7600,-0.45,53.6,-,-,-,172
