CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,12500,24.2,25.45,7500,160,5000,0.65,0.7,5000,0.1,0.7,35.56,40,20,26
-,-,-,-,-,-,2500,19.25,21.75,7500,165,12500,0.7,2.15,2500,-,-,-,-,-,-
1,1,1,49.69,19.3,-21.25,2500,15.65,16.6,5000,170,2500,1.9,2,2500,0.6,2,33.95,79,46,58
1,1,1,44.5,15.05,-14.6,2500,11.85,12.8,2500,175,5000,3,3.1,5000,0.9,3.05,32.56,99,21,67
15,13,36,29.53,9,-4.5,2500,8.8,9.15,2500,180,5000,4.65,4.8,2500,1.05,4.6,31.54,112,9,63
22,21,48,29.44,6.3,-2.05,2500,6.1,6.35,5000,185,2500,6.9,7.05,5000,1.7,7.1,32.47,104,24,59
197,56,281,29.08,4.15,-1.05,10000,4.05,4.2,7500,190,2500,9.6,9.95,2500,1.9,9.85,31.94,68,3,132
80,10,132,29.13,2.65,-0.75,5000,2.55,2.65,2500,195,2500,13,13.45,2500,1.5,12.35,27.15,8,4,29
269,44,218,29.06,1.6,-0.5,10000,1.5,1.65,7500,200,2500,16.95,17.35,2500,2.65,17.2,32.83,31,-5,97
88,12,40,30.57,1.1,-0.15,5000,0.85,1,5000,205,2500,21.3,21.65,2500,1.3,20.35,23.15,10,9,15
121,-6,35,30.16,0.6,-0.1,12500,0.5,0.6,5000,210,2500,25.8,26.25,2500,2.75,26,35.08,12,-3,27
2,-,1,32.88,0.5,-0.2,2500,0.35,0.5,2500,215,5000,29.85,31.5,5000,-,-,-,-,-,-
53,6,14,30.88,0.2,-0.1,22500,0.15,0.25,2500,220,5000,34.4,36.5,5000,-,-,-,-,-,-
1,1,1,35.6,0.15,-11.7,40000,0.05,0.15,2500,230,5000,44.45,46.15,12500,-,-,-,-,-,-
