CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2250,242.55,261.1,900,1320,450,3.65,4.2,450,-29.45,3.85,37.74,78,59,59
4,-,-,-,305.8,-,900,205.95,224.75,900,1360,450,5.95,6.8,450,-2.4,6.5,36.87,53,28,55
-,-1,1,35.25,184,-80,450,174.95,181.85,450,1400,450,10.15,10.85,450,-2.45,10.55,35.98,216,41,228
1,1,1,32.08,164.05,-101.1,450,151.7,172.8,4500,1420,2700,3.85,17.5,450,-,-,-,-,-,-
1,1,1,30.25,145.5,-198.55,900,138.65,154.7,900,1440,450,16.05,16.8,450,-1.45,17.4,35.79,35,-3,25
4,4,5,34.87,135.4,-101.85,450,124.9,132.45,450,1460,450,19.85,20.8,450,-1.95,20.8,34.9,79,24,56
-,-,-,-,-,-,1800,103.45,127.25,1350,1480,1350,14.9,35.3,3600,-,-,-,-,-,-
22,2,15,30.7,100.65,-13.7,900,99.3,101.8,450,1500,450,29.35,31.25,450,-0.15,32,34.71,189,104,123
-,-,-,-,-,-,450,72.95,98.35,1800,1520,450,21.4,47.3,450,-,-,-,-,-,-
-,-,-,-,-,-,3150,67.05,82.4,900,1540,450,40.65,46.15,450,1.55,47.7,35,471,57,108
19,19,45,29.36,62,-205.05,450,63.9,68.65,450,1560,450,50.2,55.1,450,1.45,55.9,34.53,507,6,91
57,7,117,30.42,54.05,-9.95,450,54,60.1,450,1580,1350,56.8,65.25,450,1.4,64.7,33.86,154,6,81
132,38,447,30.64,45.7,-9.25,450,45.25,46.95,450,1600,450,71.1,76.25,450,5.6,78.8,35.53,114,5,115
83,47,194,29.52,36,-10.05,450,37.7,39.55,450,1620,450,86.45,88.75,450,4.55,90.4,35.35,15,-3,17
75,19,91,30.06,30.3,-7.85,450,30.95,31.95,450,1640,450,99.5,101.8,450,-1.65,96.55,31.5,14,6,31
126,16,179,30.15,24.75,-7.75,450,25.5,26.6,450,1660,2700,109.15,123.7,2700,-0.2,110.25,-,-,-,55
44,19,54,30.23,20.05,-6.85,450,20.7,25.8,450,1680,900,123.15,139.05,3150,-,-,-,-,-,-
272,119,746,30.97,17,-4.6,900,16.8,18,450,1700,450,144.35,147.45,450,8.85,150.55,38.07,5,-,109
-,-,-,-,-,-,1800,6,18.1,450,1720,1800,154.6,178.15,450,-,-,-,-,-,-
148,30,134,31.07,10.8,-4,450,10.9,11.45,450,1740,900,171.25,189.35,900,-,168,-,-,-,2
-,-,-,-,-,-,-,-,15.5,13500,1760,4500,185.05,209.6,1800,-,-,-,-,-,-
-,-,-,-,-,-,4500,1.8,8.75,450,1780,1800,208.75,224.9,1800,-,-,-,-,-,-
109,98,225,31.47,5.35,-2.4,450,5.5,5.9,450,1800,1800,224.55,244.1,1800,-,-,-,-,-,-
-,-,-,-,-,-,4500,2.35,7.5,450,1820,900,243.5,264,450,-,-,-,-,-,-
3,3,3,33.1,4,-133.15,4500,1.25,7.45,13500,1840,1800,264.55,283.3,1800,-,-,-,-,-,-
145,8,37,33.41,2.5,-1,450,1.85,2.65,1800,1880,450,303.6,316.05,450,20,312,45.62,8,8,152
