CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,12700,43.35,46.05,12700,220,3175,1.1,1.3,6350,-13.3,1.25,45.22,89,47,47
4,3,5,35.33,35.1,-2.9,12700,34.1,36.75,6350,230,6350,1.9,2.05,6350,-16.9,2,41.94,384,103,103
4,4,12,36.33,30.9,-10.9,6350,29.1,32.75,6350,235,3175,2.35,2.7,3175,-5,2.6,40.72,95,40,40
51,49,250,28.04,25.35,-4.65,3175,25.7,27.65,9525,240,12700,3.2,3.3,3175,-3,3.3,39.23,1704,566,567
6,6,43,34.24,22.5,-12.55,9525,21.2,24.45,6350,245,6350,3.95,4.35,3175,-6.45,4.3,38.29,171,50,50
187,187,821,30.46,17.95,-3.05,3175,17.9,19.2,6350,250,3175,5.25,5.35,25400,-5,5.35,36.62,1186,212,213
29,29,654,30.84,14.7,-14.35,12700,14.45,16.05,6350,255,3175,6.6,7,3175,-7.85,6.8,35.51,865,159,159
646,646,4837,32,12.1,-5.3,6350,11.5,12.3,9525,260,15875,8.55,9,57150,-27.2,8.65,34.71,2998,609,609
135,135,1479,31.44,9.4,-14.4,6350,9,9.8,6350,265,3175,10.7,12.25,3175,-8.15,11.15,34.88,656,83,83
463,339,4125,31.72,7.35,3.35,3175,7.2,7.5,6350,270,6350,13.45,14.8,3175,-28.3,14.3,35.99,383,70,70
342,342,1446,31.58,5.55,-13.75,3175,5.55,5.75,6350,275,6350,16.05,18.5,6350,-7.1,17.6,36.55,104,27,27
489,487,2307,32.58,4.4,-5.45,3175,4.35,4.4,3175,280,9525,19.8,22,3175,-28.55,21.3,37.51,109,26,26
82,82,262,32.97,3.35,-12.1,3175,3.3,3.45,9525,285,6350,23.8,26.1,9525,-5.55,25.2,38.35,30,7,7
368,345,1626,34.17,2.7,-0.1,3175,2.55,2.6,3175,290,6350,28.2,30.45,6350,-27.3,30.25,43.13,26,9,9
38,38,72,34.04,1.95,-10.3,3175,1.95,2.1,6350,295,6350,30.4,34.95,15875,-2.75,34.7,45.15,14,7,7
494,455,2132,35.64,1.65,0.65,15875,1.65,1.7,6350,300,6350,35,39.6,6350,-26,39.55,48.57,47,22,22
