CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
54,54,81,25.41,52.7,-61.3,1275,52.6,53.15,1275,300,3825,0.75,0.85,5100,-0.05,0.85,35.17,1244,465,805
18,18,26,25.67,43.1,-48.9,1275,43.2,43.65,1275,310,3825,1.25,1.35,8925,-2.35,1.3,32.58,214,98,98
106,6,44,27.27,34.2,-3.95,1275,34.15,34.55,1275,320,8925,2.15,2.25,11475,0.45,2.25,31.12,1538,184,870
96,22,96,26.14,25.6,-3.55,1275,25.7,26.1,1275,330,2550,3.65,3.7,1275,0.8,3.65,29.24,1011,279,502
296,65,259,25.75,18.15,-3.05,1275,18.25,18.6,1275,340,2550,6.1,6.2,2550,1.4,6.15,28.28,2453,194,1138
1410,541,2526,26.32,12.4,-2.2,1275,12.3,12.4,3825,350,1275,9.9,10.05,2550,2.05,10,27.8,3016,326,1724
2547,493,3585,26.14,7.8,-1.6,7650,7.7,7.85,3825,360,12750,15.4,15.5,1275,2.75,15.5,28.09,1388,164,2367
2552,387,3358,26.49,4.75,-1.1,19125,4.7,4.85,8925,370,1275,21.4,22.5,1275,3.3,22.25,28.39,659,-77,1884
3999,546,3698,27.16,2.85,-0.7,15300,2.85,2.9,1275,380,1275,30.2,30.6,1275,3.75,30.5,30.28,327,14,2303
2115,116,1593,28.44,1.8,-0.4,16575,1.75,1.85,14025,390,1275,39.05,39.95,1275,3.85,39.25,31.9,62,3,833
4412,754,2699,30.33,1.25,-0.3,17850,1.2,1.25,19125,400,1275,48.2,49.3,2550,4.75,49.3,37.68,109,12,1187
924,62,399,31.42,0.8,-0.15,3825,0.75,0.85,6375,410,2550,57.9,58.35,1275,4.25,58.1,36.98,38,13,181
786,45,776,33.4,0.6,-0.15,12750,0.55,0.65,11475,420,1275,67.6,68.7,1275,0.25,63.95,-,1,1,183
125,-4,33,35.15,0.45,-0.15,7650,0.4,0.45,1275,430,2550,75.95,79.05,6375,-,73,-,-,-,105
608,319,495,36.95,0.35,-0.05,11475,0.3,0.35,39525,440,2550,87.15,88.15,1275,1.85,84.6,-,7,5,354
59,-3,29,39.76,0.2,-,11475,0.2,0.25,2550,460,5100,104.75,107.8,1275,4.25,107,50.98,1,1,593
67,-,-,-,0.1,-,3825,0.1,0.25,3825,480,1275,125.7,127.7,1275,4.5,123.5,-,3,-1,179
