CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1000,217.75,227.45,500,1140,500,0.85,0.95,1000,0.05,0.9,30.49,436,163,210
-,-,-,-,-,-,1000,197.45,210.4,1500,1160,6500,0.65,0.85,1500,-0.2,0.85,27.72,482,213,238
1180,-,15,-,185,-35,500,182.15,188.05,500,1180,1000,1.35,1.5,3000,0.35,1.4,27.47,506,144,293
138,8,80,-,164,-25,500,163.25,166.45,500,1200,2500,1.95,2.1,2000,0.55,2.1,26.86,4843,1362,3278
155,15,26,-,144.55,-35.45,500,144,146.4,500,1220,1500,2.5,2.7,4500,0.8,2.65,25.33,924,306,484
-,-,-,-,-,-,1000,119.4,133.6,1000,1240,2500,3.65,3.8,500,1.3,3.7,24.34,1909,454,818
-,-,-,-,-,-,1000,114.2,120.7,1000,1250,2000,4.45,4.55,1500,1.7,4.5,24.03,5049,1769,2036
40,15,22,11.89,107.15,-33.05,500,106.95,109.05,500,1260,1500,5.1,5.25,1500,1.95,5.15,23.33,4635,1637,2731
-,-,-,-,-,-,1000,93.1,105.1,1000,1270,1500,6.25,6.4,500,2.4,6.35,23.16,2416,366,746
48,48,65,16.92,90,-155,500,89.2,92.05,500,1280,500,7.6,7.7,7500,3,7.7,22.91,4283,877,1887
29,28,37,17.74,81.85,-28.15,500,81.35,82.7,500,1290,500,9.25,9.35,1000,3.45,9.25,22.62,2290,556,982
1261,330,1651,18.27,74,-27.8,500,74.1,75,500,1300,3000,11,11.25,500,4.4,11.2,22.45,15600,2006,4746
97,64,127,18.08,65.85,-25.45,1000,65.2,67.25,500,1310,500,13.05,13.3,500,5,13.3,22.15,4362,409,944
170,134,249,18.2,58.45,-29.7,1500,58.1,59.4,500,1320,500,15.5,15.8,500,5.85,15.7,21.84,7762,591,1819
167,124,378,18.29,51.5,-26.5,500,51.4,52.1,500,1330,500,18.3,18.7,500,7.05,18.75,21.74,6157,374,1179
610,444,1773,18.38,45.05,-27.8,500,45.1,45.75,500,1340,500,21.65,22.15,2000,8.2,22.1,21.56,11799,1131,2514
1953,1042,5965,18.71,39.5,-23.15,500,39.05,39.5,1500,1350,500,25.8,26.05,3000,9,26,21.47,18772,1786,3992
4989,2825,15679,18.6,33.8,-22.8,500,33.75,33.95,5500,1360,500,30.2,30.75,500,10.4,30.2,21.29,21298,1658,4402
2365,1531,12217,18.72,29,-19.85,500,28.65,29,500,1370,500,34.95,35.4,1000,11.8,35.25,21.35,12383,874,2483
6257,3212,25493,18.65,24.4,-18.8,500,24.3,24.4,500,1380,500,40.5,41.05,500,13.4,40.75,21.41,21906,361,4158
5208,2791,24289,18.82,20.7,-17.65,500,20.45,20.9,1500,1390,500,46.6,47.4,500,15.55,47.1,21.73,14034,1748,3925
21446,10481,77314,18.89,17.3,-16.45,2000,17.2,17.4,5500,1400,500,53.35,54.05,1000,17.25,53.35,21.73,23223,2705,10275
4038,1821,16831,18.88,14.25,-14.6,500,14.25,14.5,4500,1410,500,60.1,61.35,500,19,60.7,22.19,4281,463,2025
