CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2750,53.05,56.7,4125,240,-,-,1.25,2750,-,-,-,-,-,-
-,-,-,-,-,-,9625,35.45,37.85,4125,260,2750,2.25,2.35,2750,0.45,2.35,47,341,48,197
2,2,3,-,29.75,-57.15,2750,27.45,28.85,1375,270,4125,3.85,3.9,1375,0.65,3.9,46.39,301,47,141
10,10,16,-,21,-110.6,1375,20.65,21.2,1375,280,1375,6.35,6.5,1375,1.15,6.35,46.57,413,31,219
94,41,133,-,14.5,-4.5,1375,14.65,15.05,1375,290,1375,10.1,10.25,1375,2,10.2,48.34,265,73,288
209,89,551,19.1,9.95,-3.45,1375,9.95,10.25,1375,300,1375,15.05,15.25,4125,2.5,15.15,50.3,471,12,609
531,251,1058,24.08,6.7,-2.65,1375,6.65,6.75,2750,310,1375,21.6,22.1,1375,3.4,21.95,54.79,156,17,146
1273,158,1178,27.12,4.4,-1.95,2750,4.35,4.4,1375,320,2750,29.25,29.85,2750,4.2,29.85,60.21,58,5,446
722,91,723,28.99,2.75,-1.45,8250,2.75,2.8,6875,330,2750,36.6,39.1,4125,-,33.4,-,-,-,179
578,78,356,31.59,1.9,-0.85,2750,1.85,1.95,2750,340,1375,46.55,47.15,1375,5.8,47.7,72.65,14,3,24
251,67,279,33.02,1.2,-0.7,2750,1.15,1.25,2750,350,1375,55.7,56.65,1375,7.15,57.15,79.06,15,3,37
243,79,210,35.16,0.85,-0.55,15125,0.8,0.9,2750,360,1375,65.3,65.95,1375,0.85,60,61.99,8,-,18
7,-,-,-,0.8,-,1375,0.2,0.9,1375,370,2750,72.95,76.95,6875,-,66,-,-,-,30
39,-,12,38.27,0.4,-0.55,2750,0.4,0.5,4125,380,1375,84.7,85.55,1375,0.3,78,65.64,4,4,30
1,-,-,-,0.35,-,1375,0.1,0.6,1375,390,6875,92.7,96.65,6875,-,79.55,-,-,-,3
58,6,11,43.55,0.3,-0.1,2750,0.25,0.3,2750,400,6875,102.6,106.5,6875,-,98.7,-,-,-,78
5,-,-,-,0.25,-,8250,0.05,0.5,1375,420,6875,122.55,126.25,6875,-,112.5,-,-,-,10
