CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
3,-,-,-,19.05,-,18800,17.25,18.5,18800,100,159800,0.2,0.3,108100,-0.1,0.25,37.06,101,44,78
7,7,24,-,13.4,-19.3,9400,13,13.2,4700,105,103400,0.4,0.45,4700,-0.15,0.4,32.06,123,65,98
12,12,19,-,11.05,-9.4,4700,10.75,10.95,4700,107.5,4700,0.65,0.7,61100,-2.05,0.65,31.61,97,51,51
33,15,30,-,8.7,-0.95,9400,8.6,8.8,9400,110,4700,1,1.05,51700,-0.05,1,30.99,182,72,348
18,17,44,-,6.8,-1.05,4700,6.65,6.85,4700,112.5,4700,1.55,1.6,4700,-0.05,1.55,30.91,107,59,110
65,40,178,13.71,5.1,-0.7,9400,5.05,5.15,4700,115,14100,2.35,2.45,28200,-,2.4,31.69,371,54,375
107,62,196,17.47,3.7,-0.7,4700,3.7,3.8,23500,117.5,18800,3.45,3.55,9400,0.05,3.5,32.6,126,15,211
828,176,901,19.77,2.65,-0.55,32900,2.6,2.7,32900,120,18800,4.85,4.95,14100,0.05,4.85,33.66,465,70,613
376,90,358,21.31,1.85,-0.4,23500,1.75,1.85,9400,122.5,9400,6.5,6.6,4700,0.15,6.5,35.39,118,8,88
756,82,638,22.36,1.25,-0.35,28200,1.2,1.25,23500,125,4700,8.4,8.5,9400,0.55,8.55,38.84,80,4,363
165,89,171,23.47,0.85,-0.25,32900,0.8,0.85,28200,127.5,4700,10.45,10.6,4700,0.7,10.45,40.22,20,4,24
650,71,428,24.8,0.6,-0.15,47000,0.55,0.6,47000,130,4700,12.65,12.75,4700,0.4,12.65,43.19,16,-4,314
65,25,41,25.61,0.4,-0.1,18800,0.35,0.4,18800,132.5,4700,14.95,15.1,4700,0.95,14.95,46.47,16,6,8
486,24,167,26.02,0.25,-0.05,958800,0.2,0.25,23500,135,18800,16.8,17.8,18800,-0.2,16.55,-,-,-,444
20,-,6,27.77,0.2,-,28200,0.15,0.2,4700,137.5,9400,19.2,20.3,18800,-,18.7,-,-,-,99
238,-7,100,29.02,0.15,-0.05,1692000,0.1,0.15,18800,140,9400,21.7,22.8,18800,-,21.3,-,-,-,207
14,1,1,32.02,0.1,-,733200,0.05,0.1,18800,145,4700,26.9,27.4,4700,-0.45,26.05,51.79,4,-,64
