CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,3200,159.85,167.15,3200,620,-,-,0.8,1600,-,-,-,-,-,-
-,-,-,-,-,-,1600,139.95,147.35,800,640,8000,0.2,1,1600,-,-,-,-,-,-
-,-,-,-,-,-,1600,119.95,127.7,1600,660,4800,0.25,1.2,800,-,-,-,-,-,-
-,-,-,-,-,-,1600,99.55,107.5,1600,680,1600,0.7,1.05,1600,-0.15,1,32.93,126,109,121
-,-,-,-,-,-,1600,90.5,99.7,1600,690,4000,0.6,1.85,800,-,-,-,-,-,-
-,-,-,-,-,-,1600,81.6,86.55,4000,700,1600,1.3,1.4,800,0.2,1.35,30.06,335,145,160
5,5,5,-,74.8,-36.65,800,74.15,77.9,800,710,1600,1.75,2.2,800,-5.05,1.8,29.44,24,11,11
1,1,1,-,67.8,-200.1,1600,62.65,68.2,4000,720,800,2.45,2.6,800,1.45,2.75,29.87,82,23,24
1,1,1,-,50.85,-44.4,800,55,58.65,2400,730,800,3.4,3.6,800,-6.65,3.8,29.77,54,26,26
5,5,10,-,49.4,-23.4,800,47.25,49.4,800,740,800,4.9,5,800,0.05,4.95,29.29,336,23,272
14,11,31,-,39.8,-20.2,800,40.35,43,1600,750,800,6.8,7.05,800,0.15,7,29.82,359,83,176
9,8,22,-,32.5,-13.6,800,32.8,35.1,800,760,1600,9.4,9.75,800,0.3,9.8,30.68,179,74,180
21,16,45,-,26.6,-5.85,1600,26.8,28.85,800,770,800,12.85,13.15,1600,0.85,13.2,31.54,86,27,87
142,141,357,-,20.95,-8.05,800,21.05,21.8,800,780,2400,16,17.5,1600,1.45,17.55,32.81,589,128,296
89,74,281,-,16.25,-1.9,1600,16.3,16.9,800,790,800,22.15,22.7,1600,1.6,22.75,34.33,340,93,152
489,218,1062,5.64,12.6,-1.85,800,12.35,12.6,800,800,1600,27.35,28.7,800,1.5,28.8,36.12,479,57,383
183,71,356,9.27,9.4,-2,800,9.35,9.65,800,810,1600,33.3,35.6,800,0.25,35.8,38.35,31,10,62
436,24,591,11.43,7.1,-1.5,800,6.9,7.15,800,820,2400,41.85,44.7,1600,2.45,43.1,40.41,82,-5,211
162,37,242,12.86,5.2,-1.35,800,5.05,5.3,1600,830,1600,49.8,51.3,800,2.05,53.05,44.87,11,8,35
178,6,321,14.17,3.9,-1.15,2400,3.8,3.9,800,840,800,58.65,59.85,800,11.25,59.75,45.55,3,3,21
295,98,523,15.26,2.9,-0.95,1600,2.8,2.95,1600,850,4800,67.7,68.85,800,3.4,68,47.59,183,-29,282
188,45,132,16.42,2.25,-0.75,1600,2.1,2.25,800,860,1600,75.3,81.15,800,-,69,-,-,-,37
13,10,21,17.22,1.65,-4.3,800,1.45,1.85,800,870,1600,84.5,90.8,800,1,85.65,-,-,-,39
135,46,104,18.54,1.4,-0.55,800,1.25,1.45,800,880,4000,94.9,100.2,3200,-,95.6,-,-,-,30
12,9,15,18.25,0.8,-0.2,800,0.75,1.35,800,890,800,104.25,107.05,800,10.25,107.25,60.67,4,2,7
898,137,689,20.44,0.9,-0.45,4800,0.8,0.9,2400,900,800,115.6,116.85,800,4.7,116.7,63.19,222,-131,318
-,-,-,-,-,-,7200,0.45,1.25,800,910,1600,122.2,130.85,1600,-,-,-,-,-,-
21,-1,4,20.82,0.4,-0.8,4000,0.4,0.95,800,920,800,133,139.35,3200,-,121.05,-,-,-,8
2,-,-,-,0.25,-,4000,0.25,1.2,800,930,3200,142.65,149.8,4000,-,132.05,-,-,-,3
3,-,-,-,0.75,-,8000,0.2,1.2,4000,940,1600,151.8,160.2,3200,-,139,-,-,-,10
14,-,-,-,0.25,-,8800,0.25,0.6,3200,960,1600,171.55,179.35,4000,-,166.25,-,-,-,34
4,-,-,-,0.3,-,8000,0.1,0.8,1600,980,3200,191.85,198.8,4000,-,175,-,-,-,13
