CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,750,288.6,305.95,1500,1520,375,1.05,1.75,1125,-1.45,0.55,27.17,7,-3,7
-,-,-,-,-,-,750,248.7,269.7,750,1560,375,1.3,4,375,-,2.5,-,-,-,2
-,-,-,-,-,-,750,209.85,229.3,4500,1600,375,0.65,3.95,750,-13.2,2.25,25.63,2,2,2
-,-,-,-,-,-,1500,189.7,211.65,1500,1620,375,1.6,10.45,15000,-,2.6,-,-,-,13
-,-,-,-,-,-,1875,172.05,189.5,750,1640,375,2.55,5.25,375,-18.45,3.35,23.5,10,10,10
-,-,-,-,-,-,375,154.2,171.65,750,1660,375,4.3,4.8,375,-1.65,4.6,23.04,57,33,34
-,-,-,-,-,-,750,135.5,152.45,750,1680,375,5.4,6.15,375,-1.15,5.65,21.95,55,13,44
4,-,-,-,170.75,-,750,119.9,130.85,3750,1700,375,7.85,8.25,375,-1.15,8,21.76,137,9,123
1,1,1,24.05,116.45,-91.8,-,-,115,1875,1720,375,9.45,11.35,375,-0.05,11.1,21.58,37,11,32
1,-,-,-,114.85,-,750,85.25,96.75,1125,1740,375,14.5,15.05,375,-0.25,15,21.33,111,-1,110
10,7,13,18.3,77.2,-39.45,375,75.95,83.55,375,1760,11250,16.35,20.3,375,-0.2,20.1,21.19,121,30,135
-,-,-,-,-,-,750,61.3,69.6,3750,1780,375,25.7,26.45,375,-0.95,26.25,20.97,206,14,96
74,28,349,18.3,51.1,-10.45,1500,50.35,52.25,750,1800,750,33.4,34.25,375,0.6,34.1,20.96,487,17,157
156,64,603,18.64,41.1,-8.7,375,40.5,41.65,750,1820,375,42.75,43.7,375,0.55,43.45,21,331,44,126
268,55,623,18.86,32.45,-8.15,375,31.65,32.5,375,1840,375,53.65,56.1,375,2.3,54.3,21.09,90,-,104
227,54,574,18.65,24.4,-7.75,375,24.45,25.2,375,1860,375,65.85,67.15,375,2.55,67.6,21.72,57,2,111
148,8,364,18.97,18.8,-5.75,375,18.6,19.25,375,1880,750,76,84.35,375,3.5,81.6,22.12,20,-13,92
401,40,418,19.25,14.3,-5.3,375,14.3,14.65,375,1900,375,94.75,99.95,375,3.85,95.5,21.9,18,-10,173
104,-16,167,19.54,10.8,-4.1,375,10.8,11.15,375,1920,750,109.45,115.9,375,2.35,111.95,22.59,13,2,56
94,25,90,19.44,7.6,-3.6,375,8.05,8.45,375,1940,750,121.8,136.85,1500,-,-,-,-,-,-
68,19,105,20.29,6.2,-2.85,750,6.05,6.5,375,1960,750,139.65,155.9,1500,-,-,-,-,-,-
53,21,32,20.28,4.35,-2.35,375,4.75,5.1,375,1980,750,158.45,172.85,1500,-,146.5,-,-,-,1
266,73,347,21.26,3.7,-1.7,375,3.7,3.85,375,2000,750,174.5,191.1,1875,-,-,-,-,-,-
30,-1,1,22.91,3.65,-0.55,375,2,3.8,375,2020,1500,194.15,211.3,1500,-,-,-,-,-,-
264,127,218,22.44,2.35,-1,375,1.9,2.6,750,2040,1500,212.05,229.85,1500,-,-,-,-,-,-
-,-,-,-,-,-,375,0.4,2.95,375,2060,750,231.5,252.2,750,-,-,-,-,-,-
41,-,6,23.52,1.5,-2,375,1.1,2.65,375,2080,750,252.35,270.25,1875,-,-,-,-,-,-
6,-,-,-,1.8,-,375,0.35,2.95,375,2120,750,290.7,310.4,1875,-,-,-,-,-,-
114,-19,33,26.78,0.9,-1.05,5250,0.9,1.25,375,2160,750,330.5,349.4,1875,-,-,-,-,-,-
