CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
12,-,-,-,126.5,-,750,122.75,129.4,1500,680,8250,0.35,0.4,1500,-0.3,0.4,28.09,339,96,135
162,9,21,-,105.5,-1.8,750,105.25,106.15,750,700,12000,0.6,0.65,21000,-0.25,0.65,25.96,375,81,276
-,-,-,-,-,-,5250,93.7,97.1,5250,710,6750,0.7,0.75,108750,-0.25,0.75,24.42,425,250,267
-,-,-,-,-,-,750,84.85,87,5250,720,15750,0.9,0.95,8250,-0.3,0.9,23.01,867,13,518
6,5,5,12.8,78.8,-26.35,750,76.1,76.75,750,730,2250,1.2,1.25,6750,-0.25,1.2,22.03,460,130,253
49,13,36,-,67,-1.75,1500,66.75,67.15,750,740,15750,1.6,1.7,1500,-0.25,1.65,21.19,647,239,663
198,-4,97,-,57.65,-2.05,1500,57.4,57.8,750,750,6000,2.25,2.3,3750,-0.2,2.25,20.29,2171,1156,1951
464,24,84,-,48.55,-1.1,1500,48.3,48.75,750,760,3750,3.1,3.15,3000,-0.1,3.1,19.44,1935,507,1786
93,9,71,10.96,39.8,-1.45,750,39.5,40,750,770,3000,4.3,4.35,5250,-0.05,4.35,18.73,2675,187,2056
368,77,368,12.27,31.5,-1.8,750,31.3,31.65,3000,780,5250,6,6.05,3000,-,6,17.94,3210,99,2246
238,53,1151,12.9,24.1,-1.45,2250,23.95,24.2,1500,790,750,8.45,8.55,12750,0.25,8.5,17.48,5093,795,2231
2675,679,5862,13.16,17.65,-1.4,1500,17.65,17.75,2250,800,3000,11.9,12.05,7500,0.35,11.9,17.15,7347,713,4592
4162,1365,9413,13.36,12.4,-1.1,3000,12.25,12.4,1500,810,2250,16.5,16.65,1500,0.55,16.6,17.23,3561,126,3919
4980,356,7346,13.53,8.35,-1,3750,8.3,8.4,9750,820,750,22.45,22.65,5250,0.75,22.6,17.68,1599,-35,3555
3493,543,5733,13.63,5.35,-0.8,3750,5.35,5.45,7500,830,750,29.3,29.65,3000,1.3,29.85,18.61,358,14,1571
3178,673,5339,14.08,3.5,-0.55,23250,3.4,3.5,12000,840,3750,37.1,37.6,750,0.95,37.3,18.98,105,8,1160
3611,189,2843,14.51,2.25,-0.5,12000,2.2,2.25,13500,850,1500,45.75,46.3,1500,1.5,46.75,21.38,118,-20,2248
1393,209,1425,15.11,1.5,-0.45,7500,1.45,1.5,21750,860,1500,55.15,55.55,750,1.25,55.15,21.9,78,4,350
1001,-75,906,15.68,1,-0.4,30000,0.95,1.05,35250,870,750,64.45,65.05,750,1.1,65.05,24.44,42,15,361
2521,335,1841,16.8,0.8,-0.35,6000,0.75,0.8,28500,880,750,74.05,75.3,750,-0.35,72.15,21.19,16,-5,224
346,73,626,17.36,0.55,-0.3,3750,0.55,0.6,32250,890,1500,83.4,86.75,750,-,82.45,-,-,-,85
3284,466,1744,18.71,0.5,-0.25,146250,0.5,0.55,17250,900,750,93.55,94.7,750,-1.9,90.5,20.11,45,-24,876
148,55,205,19.2,0.35,-0.35,24750,0.3,0.4,38250,910,1500,99.85,106.5,1500,-0.15,101.65,-,-,-,76
392,7,374,19.73,0.25,-0.2,30750,0.25,0.3,1500,920,3750,111.8,115.95,3750,-,108.4,-,-,-,63
254,82,243,21.87,0.2,-0.2,81000,0.15,0.2,30750,940,1500,129.4,136.1,750,-,-,-,-,-,-
-,-,-,-,-,-,59250,0.1,0.3,10500,960,1500,149,155.85,750,-,-,-,-,-,-
