CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,100,4329.95,4671.35,25,25000,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,100,3833.45,4233.9,25,25500,900,1.15,-,-,-,-,-,-,-,-
7,-,-,-,4439.2,-,100,3353,3646.8,100,26000,200,5.15,62.95,25,-,-,-,-,-,-
46,-,-,-,3926.2,-,100,2845.6,3199,150,26500,900,2.15,-,-,-,-,-,-,-,-
-,-,-,-,-,-,100,2597.4,3093.9,125,26750,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,100,2412.35,2821,250,27000,200,5.1,233.05,100,-,-,-,-,-,-
-,-,-,-,-,-,100,2155.6,2659.5,25,27250,900,2.15,245.7,25,-,-,-,-,-,-
-,-,-,-,-,-,100,2014.35,2264.5,100,27500,50,25.1,300.35,125,-363.2,150.9,23.42,9,6,6
6,-,-,-,3676.9,-,50,1798.8,2051.9,100,27750,25,161.15,243.75,25,14.1,174.1,22.51,19,7,25
10,4,4,25.35,1839.2,-596.05,100,1574.75,1817.8,75,28000,25,204.1,229.5,25,6.05,231.05,22.82,119,21,106
-,-,-,-,-,-,50,1321.5,1698.9,100,28250,25,181.65,362.8,25,94.15,268.55,21.99,9,4,6
-,-,-,-,-,-,100,1214.4,1390.65,75,28500,50,315.9,432.35,500,5,335,21.92,72,39,90
-,-,-,-,-,-,100,964,1394.95,75,28750,50,235.55,551.65,25,-,-,-,-,-,-
-,-,-,-,-,-,100,882.9,1072.95,75,29000,25,472.95,508,125,78.55,510,22.01,706,195,327
-,-,-,-,-,-,25,725.55,989,75,29250,25,502.35,745.9,500,23.2,610.9,21.9,25,6,6
33,22,40,19.29,696,-624,25,660.05,785,25,29500,400,617.65,849.55,100,210,690,20.78,23,9,16
-,-,-,-,-,-,100,457.95,761.2,25,29750,75,623.85,1024.35,75,117,837,21.26,4,-1,3
165,129,343,20.03,501,-243.8,25,450.05,584.35,25,30000,275,870.2,1036.2,25,140.75,1000.75,21.85,51,5,36
-,-,-,-,-,-,25,283.1,555.1,25,30250,75,997.45,1399.55,100,-0.05,844.3,-,-,-,15
210,89,341,19.3,311.5,-182.95,25,327.05,387.3,25,30500,75,1254.3,1507.95,250,84,1184,17.24,3,2,31
-,-,-,-,-,-,100,193.95,375.95,50,30750,50,1337.1,1744.85,100,-,-,-,-,-,-
193,22,509,20.43,222.9,-111.05,25,225.05,275,50,31000,50,1569.7,1855.7,100,180.5,1680.5,21.49,3,-,20
-,-,-,-,-,-,100,114.65,366.15,25,31250,100,1775.95,2222.7,100,-,-,-,-,-,-
75,34,94,20.84,146.5,-84.8,25,146.6,163.3,100,31500,100,2021.8,2290.35,125,-,1550,-,-,-,2
-,-,-,-,-,-,100,80.6,175.25,50,31750,100,2215.95,2548.45,125,-,-,-,-,-,-
247,104,574,22.03,107.75,-51.15,25,103,110,50,32000,100,2452.85,2764.35,25,-,2200,-,-,-,5
-,-,-,-,-,-,100,13.2,117.05,25,32250,100,2680.2,2985.55,100,-,-,-,-,-,-
64,41,66,23.57,85.85,-122.55,25,70.45,113.35,500,32500,25,2927.65,3205,100,-,-,-,-,-,-
-,-,-,-,-,-,900,2.15,129.15,25,32750,100,3131.3,3489,125,-,-,-,-,-,-
6,-,-,-,158,-,-,-,86,75,33000,100,3381.65,3703,125,-,-,-,-,-,-
26,9,21,25.56,60.7,-53.2,25,31.7,-,-,33250,25,3607.45,3977.35,100,-,-,-,-,-,-
24,4,37,24.64,40,-36.8,50,41,45,25,33500,100,3869.5,4171.7,100,-,-,-,-,-,-
4,1,1,27.97,60,-150,900,2.15,97.75,250,33750,100,4123.55,4427.85,125,-,-,-,-,-,-
13,-1,5,28.66,55,-,25,2.2,69.85,25,34000,50,4363.3,4656.45,100,-,-,-,-,-,-
-,-,-,-,-,-,900,2.15,-,-,34250,50,4601.5,4929.35,125,-,-,-,-,-,-
-,-,-,-,-,-,200,9.15,-,-,34500,50,4844.6,5207.45,250,-,-,-,-,-,-
39,-,2,28.72,23.8,-28.2,25,11,51.95,25,35000,100,5362.65,5695.2,100,-,-,-,-,-,-
-,-,-,-,-,-,900,1.05,-,-,35500,50,5749.65,6187.65,100,-,-,-,-,-,-
-,-,-,-,-,-,900,1.05,25,75,36000,50,6322.15,6648.4,100,-,5660,-,-,-,1
