CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1650,102.6,108.9,1650,480,825,0.6,1.15,1650,-,-,-,-,-,-
7,5,13,44.88,90.2,13.2,825,85,87.65,825,500,1650,1.1,1.25,5775,-1.15,1.15,33.29,398,37,366
-,-,-,-,-,-,7425,73.2,81,1650,510,825,1.25,3.2,825,-,-,-,-,-,-
-,-,-,-,-,-,3300,64.7,70.7,825,520,1650,2.1,2.3,825,-2,2.2,31.05,505,-16,278
3,2,5,22.87,57.6,5.6,825,57.2,59.65,825,530,825,3.15,3.4,1650,-2.35,3.35,30.89,714,68,378
23,10,44,26.4,49.8,4.8,1650,48.15,49.45,825,540,825,4.4,4.6,1650,-3.3,4.45,29.59,537,84,466
111,-2,189,26.75,41.85,5.8,825,40.05,41.4,825,550,825,6.3,6.7,1650,-3.95,6.3,29.11,1056,36,626
103,65,290,26.41,34.25,4.75,2475,32.5,34,825,560,1650,8.75,9.5,1650,-5,8.75,28.68,841,113,616
140,-32,1358,26.85,27.85,3.9,825,26.35,27.4,825,570,825,12.15,12.4,825,-6,12.05,28.54,1592,117,532
916,-19,4150,26.58,21.85,2.8,1650,21.05,21.65,825,580,825,16.3,17,2475,-6.7,16.5,28.97,2071,180,1255
517,183,3904,26.33,16.7,1.65,1650,16.55,16.85,825,590,825,21.45,22.35,3300,-7.4,21.65,29.24,1722,132,452
1828,-143,5956,26.81,12.9,1.2,825,12.75,13,2475,600,825,27,28.75,1650,-8.4,27.4,29.26,771,17,1001
653,-126,1456,27.05,9.7,0.75,2475,9.05,9.6,825,610,825,33.85,35.8,2475,-8.9,33.95,29.39,164,4,346
1124,52,2004,27.41,7.25,0.4,1650,6.95,7.2,825,620,825,41.3,42.9,1650,-9.7,41.3,29.79,75,-3,429
767,100,1148,27.86,5.4,0.2,825,5.15,5.35,3300,630,825,48.7,50.9,1650,-9.85,49.65,31.08,38,7,157
744,32,1030,28.08,3.9,-0.1,2475,3.8,4,1650,640,825,56.95,59.25,2475,-8.35,58.15,31.97,32,6,178
607,-78,1311,28.92,3,-0.1,2475,2.9,3,3300,650,825,66.45,68.25,825,-9.6,66.95,32.85,39,7,86
327,-2,563,29.69,2.3,-0.15,825,2.15,2.3,1650,660,3300,73.4,78.9,3300,-,60.25,-,-,-,24
133,35,278,29.96,1.65,-0.35,825,1.6,1.75,825,670,825,84.6,87.8,1650,-6.7,85.3,34.89,19,14,25
232,-9,301,31.1,1.35,-0.3,1650,1.3,1.4,1650,680,3300,91.7,97.85,3300,-0.25,104.6,-,-,-,30
-,-,-,-,-,-,825,0.9,1.5,825,690,3300,101.65,107.85,3300,-,-,-,-,-,-
789,226,934,33.12,0.9,-0.3,1650,0.85,0.95,4950,700,1650,111.4,117.6,3300,-,123.1,-,-,-,141
54,2,10,34.88,0.6,-0.8,825,0.5,0.65,825,720,1650,131.05,137.15,3300,1,143,-,-,-,5
-,-,-,-,-,-,14025,0.2,0.75,825,740,1650,150.65,156.6,3300,-,159,-,-,-,1
