CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,250,566.6,591.85,625,2500,3750,1.2,5.2,125,-,5,-,-,-,2
-,-,-,-,-,-,250,464.75,495.45,250,2600,250,3.95,4.3,125,-2,4,32.54,863,15,58
-,-,-,-,-,-,625,418.9,446.8,500,2650,3750,5,7.1,125,-50,5.45,31.35,37,2,2
8,8,10,25.83,388.25,-203.75,125,383.95,394.05,125,2700,125,7.5,8.55,125,-1.8,8,30.69,119,37,59
-,-,-,-,-,-,250,327.45,354.25,250,2750,125,10.4,11.5,125,-3,11.25,29.8,254,-1,153
-,-,-,-,-,-,375,278.3,319.75,375,2800,125,14,31.95,375,-,-,-,-,-,-
1,1,1,29.64,261.3,-65.2,250,238.75,260.55,375,2850,125,22.05,23.3,125,-91.7,22.5,28.43,104,70,70
62,26,58,25.66,212.3,-0.55,125,209.9,221.55,125,2900,125,30.1,32,125,-8.4,32.15,28.14,650,60,417
10,10,14,26.29,177,-91,125,171.35,192.45,125,2950,375,34.55,58.05,125,-,-,-,-,-,-
72,16,262,25.25,140.35,7.2,125,139.1,142.55,125,3000,125,57.8,59.35,125,-14,59.6,27.25,911,84,283
142,17,807,24.78,109.2,5.5,125,109.7,111.85,250,3050,250,77.05,79.05,125,-19.5,78.3,26.73,656,72,199
526,78,2189,25.05,85,2.6,125,83.95,86.05,250,3100,250,100.25,102.95,125,-20.3,103.1,26.81,923,49,415
173,59,505,24.62,62.55,-2.25,125,62.9,64.3,125,3150,125,127.45,132.3,125,-17.1,133.65,27.4,48,8,32
755,83,1181,25.35,48.15,-0.1,125,46.3,48.25,125,3200,125,158.25,165,125,-22.3,165,27.16,50,-3,132
135,12,339,24.98,33.7,-2.85,125,32.9,35.8,125,3250,375,191.05,216.9,250,-,191.9,-,-,-,2
600,127,806,25.21,24.2,-3.55,125,24,25,250,3300,125,234.9,243.1,125,-15.05,238.05,26.71,32,7,71
-,-,-,-,-,-,125,5,36.6,125,3350,500,264.75,308.1,500,-,-,-,-,-,-
955,314,892,25.85,12.25,-3.05,125,12.15,12.5,125,3400,250,316.75,334.1,125,100.4,325.4,28.05,16,7,8
-,-,-,-,-,-,1000,2.5,21.05,125,3450,500,357.4,395.15,500,-,-,-,-,-,-
-,-,-,-,-,-,1000,4.1,13.4,125,3500,125,413.75,435.25,125,-39.5,408.95,18.57,25,8,67
-,-,-,-,-,-,2500,1.5,8.8,125,3550,500,456.75,487.65,250,-,-,-,-,-,-
152,130,1779,28.94,4.15,-1.65,250,4.1,4.85,125,3600,250,506.1,538.25,250,-,-,-,-,-,-
1,-,-,-,28,-,250,2.1,4,125,3700,250,602.45,629.65,500,-,655,-,-,-,1
