CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,375,2307.1,2473.25,150,11500,1500,1.85,32,75,-,-,-,-,-,-
-,-,-,-,-,-,150,1830,1968.45,150,12000,150,30.6,35,150,-2.15,34.45,32.66,2063,54,115
-,-,-,-,-,-,300,1585.2,1783.7,300,12250,-,-,102.1,300,-,-,-,-,-,-
-,-,-,-,-,-,150,1374.9,1494.85,225,12500,75,62.15,68.2,75,-1.95,66.3,30.12,327,19,145
-,-,-,-,-,-,375,1159.05,1269.75,225,12750,75,89.85,102.15,75,-0.9,99,29.65,57,8,27
6,-,-,-,1060,-,375,955.1,1059.55,225,13000,75,132.3,144.3,75,-8.9,137,28.58,874,10,876
1,-,-,-,1200,-,225,706.15,939.6,225,13250,-,-,259.45,75,-,95,-,-,-,2
37,10,32,31.96,737,56.65,75,648.75,716.6,75,13500,75,283.2,294.15,75,-12.25,283,28.39,176,39,102
38,17,80,27.78,529.8,4,75,513.75,552.9,75,13750,75,381.6,402.75,75,-11.65,400.35,29.19,177,39,55
305,125,1020,27.01,394.9,-20.4,75,397.5,411.85,75,14000,150,511.95,524.8,150,-25.25,511.2,28.27,513,5,491
101,20,228,27.65,304.25,-11.25,75,296.4,334.4,75,14250,75,625.3,679.25,75,-14.25,676.85,29.49,16,-2,34
364,61,652,27.66,223.25,-17.6,75,216.45,229.35,75,14500,75,800.8,863.15,75,-120.4,718.35,20.75,17,-,135
124,20,289,27.66,160,-18.15,75,156.15,166.55,75,14750,225,974.7,1083.75,525,-,925,-,-,-,17
974,225,1842,27.93,115,-18.5,225,115,119.55,75,15000,75,1202.75,1247.95,75,-22.5,1225,29.94,9,-1,120
63,45,141,28.43,83.6,-15.6,75,81.05,89.95,75,15250,225,1406.85,1505.6,525,-,-,-,-,-,-
435,31,829,28.99,61,-10.7,75,57.5,61.6,75,15500,75,1643.15,1704.15,75,-1.85,1492.35,-,2,2,13
6,-1,12,29.8,46.05,-24.6,75,38.4,53.8,75,15750,150,1822.8,1961.2,300,-,-,-,-,-,-
416,157,998,30.03,32.05,-9.8,75,32.1,39.1,75,16000,75,2105.2,2153.15,75,-57.2,2130,33.47,3,2,83
-,-,-,-,-,-,1500,1.15,61.45,75,16250,300,2299.5,2472.65,375,-,-,-,-,-,-
364,14,2102,31.73,19,-7.85,75,19,20.25,75,16500,75,2551.75,2655.7,75,194.95,2424.95,-,4,3,12
-,-,-,-,-,-,4500,0.2,37.65,75,16750,150,2778.75,2952.55,750,-,2425,-,-,-,14
-,-,-,-,-,-,300,0.2,34,150,17000,150,3017.55,3195.4,300,12.5,3075,-,-,-,3
-,-,-,-,-,-,4500,0.1,27,75,17500,150,3529.8,3677.8,375,-,3480,-,-,-,6
