CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,4200,85.1,91.9,2100,360,2100,0.65,1.1,7350,-,-,-,-,-,-
2,2,2,30.82,69.3,-43.6,5250,65.9,71.85,4200,380,1050,1.75,1.9,2100,-0.15,1.85,40.76,119,82,89
-,-,-,-,-,-,2100,57.35,62.5,2100,390,1050,2.25,2.65,1050,-5.05,2.75,39.92,5,5,5
26,-,-,-,59,-,2100,48.45,53.65,2100,400,1050,3.55,3.75,1050,-0.5,3.8,38.42,215,121,310
-,-,-,-,-,-,5250,39.7,45.45,3150,410,1050,5.05,5.3,1050,-0.85,5,36.34,520,187,585
15,13,18,31.75,34.75,-0.05,1050,33.75,35.65,1050,420,1050,6.95,7.3,1050,-0.6,6.9,35.02,103,24,177
24,13,29,30.36,27.1,-5.45,1050,27.1,28.55,1050,430,1050,9.5,9.95,1050,0.5,10.25,35.54,160,24,145
58,16,56,30.44,20.95,-5.9,1050,21.05,21.7,1050,440,1050,13.05,13.6,1050,0.1,13.15,33.47,388,60,152
198,46,465,30.84,15.95,-4.55,1050,15.8,16.4,1050,450,1050,17.7,18.3,1050,0.35,17.5,32.7,449,130,305
347,32,445,31.42,12,-3.85,1050,11.6,12.15,1050,460,1050,23.25,24,1050,1,23.25,32.9,113,-12,168
168,9,394,31.68,8.75,-3.15,2100,8.35,8.9,1050,470,1050,29.9,30.8,1050,6.15,31.85,37.22,23,6,37
185,48,223,30.85,5.8,-2.95,1050,6,6.35,1050,480,1050,37.5,38.35,1050,3.05,38.05,35.33,31,12,22
103,46,131,31.93,4.3,-2.05,1050,4.4,4.6,1050,490,4200,44.5,49.2,2100,-,41.7,-,-,-,3
710,179,525,33.32,3.3,-1.35,1050,3.2,3.45,3150,500,1050,54,55.25,1050,6.35,56.8,42.86,37,18,112
62,-9,87,32.85,2.1,-1.25,3150,2.25,2.45,3150,510,1050,62.15,64.6,1050,-2.1,65.95,45.31,13,6,6
101,13,145,34.07,1.6,-0.8,2100,1.6,1.75,1050,520,1050,71.1,75.95,1050,-,65.95,-,-,-,7
61,19,43,36.74,1,-0.3,4200,0.7,1,3150,540,4200,90.45,95,1050,5.5,88.75,-,11,-,7
