CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,400,547.3,588.15,400,2300,3000,0.3,3.15,800,-,-,-,-,-,-
-,-,-,-,-,-,400,450.1,483.85,800,2400,600,1.1,6,2000,-,-,-,-,-,-
3,1,3,-,359.05,-50.95,200,355,380.05,200,2500,200,3.8,5.75,200,0.55,4.8,28.92,66,10,72
-,-,-,-,-,-,1000,302.5,342.05,2000,2550,200,2.35,9.9,1000,-6.1,9.85,30.23,1,1,1
22,-,-,-,270,-,1400,255.8,288.4,600,2600,200,8.85,12,200,2.05,12,27.96,89,34,184
4,-,-,-,291.25,-,1400,210.95,244.25,600,2650,200,15.4,16.85,200,1.8,16.95,26.84,56,-18,47
21,4,4,17.32,182.9,-29.15,200,184.95,194.75,200,2700,200,22.35,25.55,200,2.75,25.8,26.58,326,4,240
-,-,-,-,-,-,600,135.2,163.3,600,2750,200,33.8,36.2,200,0.7,35.15,25.34,130,72,125
145,62,244,21.18,115.1,-2.9,200,114.55,126.05,200,2800,200,49.65,52.35,200,0.75,51.2,25.26,422,63,271
187,108,735,22.21,88.65,0.05,200,86.8,88.95,400,2850,400,64.25,72.7,200,-1.45,70.75,24.91,366,109,309
680,213,785,21.57,62.15,-3.15,200,61.05,64.7,200,2900,400,95.35,100.3,200,0.6,99.2,25.84,323,54,506
363,112,330,22.29,45.3,-1.85,200,43.6,47.9,400,2950,400,122,140,200,-0.55,127.5,25.4,23,3,114
1177,92,568,22.73,31.9,-2.15,400,29.7,33.8,400,3000,200,156.75,168.45,200,2.1,168,27.6,21,-3,497
48,17,58,22.53,20.6,-3.15,200,21.35,22.9,200,3050,600,190.9,220.5,1400,-,-,-,-,-,-
317,33,203,23.54,15,-1.95,200,14.25,15.75,200,3100,200,235.4,261.55,200,8.9,253.9,31.42,3,3,114
2,2,2,25.31,12.3,-122,11600,2.25,12.45,400,3150,600,274.8,309.55,600,-,-,-,-,-,-
428,86,200,25.06,7.6,-1.3,200,6.5,8,200,3200,200,326.4,355.9,200,-,338,-,-,-,173
10,-1,1,25.25,4.9,-1.25,200,4.9,7.8,200,3250,800,371.55,407.3,800,-,-,-,-,-,-
203,61,228,26.11,3.6,-2.3,400,3.65,4.2,200,3300,400,419.1,451.6,800,-,441.7,-,-,-,31
1,-,-,-,18,-,600,2,8.6,200,3350,400,464.3,502.6,800,-,-,-,-,-,-
27,2,4,28.21,2.2,-0.8,400,2,2.5,200,3400,400,517.2,550.65,1000,-,410,-,-,-,11
1,-,-,-,1.55,-,600,0.8,2.5,200,3500,400,609.65,650.45,800,-,632.5,-,-,-,23
20,-,-,-,1,-,600,0.5,1.8,400,3600,400,706.35,749.8,800,-,-,-,-,-,-
