CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,700,232.95,250.35,700,1360,4550,1.2,1.4,128800,-1.15,1.25,29.28,138,135,159
-,-,-,-,-,-,1750,194.9,211.1,700,1400,700,2.1,2.2,1400,-1.6,2.15,27.53,1055,368,756
-,-,-,-,-,-,1750,175.35,192.2,1400,1420,350,2.55,3.5,350,-1.1,2.9,26.82,32,27,48
-,-,-,-,-,-,1400,156.75,172.55,1400,1440,350,3.5,3.75,350,-1.85,3.7,25.79,162,70,288
-,-,-,-,-,-,1400,136.8,153.65,1400,1460,350,4.6,4.85,350,-2.2,4.8,24.85,213,22,143
-,-,-,-,-,-,1050,118.7,131.75,1050,1480,350,6.25,7.85,350,-2.3,6.5,24.2,340,-14,247
93,-6,58,-,107,3.95,350,105.65,108.35,350,1500,350,8,8.6,350,-2.85,8.55,23.38,1081,-14,1859
43,1,15,11.46,89.95,2.9,350,85.05,91.45,350,1520,350,9.25,11.35,350,-3.55,11.2,22.55,147,13,122
40,17,89,14.27,74.15,2.25,350,73.4,76.4,350,1540,700,14.85,18.15,350,-4.35,14.7,21.78,843,95,605
94,16,287,15.06,59.25,1.8,350,58.45,61.85,350,1560,350,19,20.2,350,-5.15,19.85,21.42,1197,143,383
171,-3,1085,15.5,46.05,1.05,350,44.7,46.8,700,1580,350,26.45,27.3,350,-6.1,26.55,21.19,1466,109,401
1036,349,4319,16.14,35.4,0.4,350,35.15,35.35,350,1600,700,33.9,35.75,350,-6.25,35.75,21.5,1681,92,757
1499,879,3791,16.06,25.55,-0.75,350,25.1,26.1,350,1620,700,44.1,49.85,350,-6.95,46.2,21.64,680,20,250
591,116,1919,16.47,18.6,-0.75,350,18.4,18.95,350,1640,350,55,63.3,350,-8.1,58.3,21.87,339,-10,285
804,159,1793,16.99,13.5,-0.6,350,13.1,13.6,350,1660,350,71.2,77.9,350,-6.95,72.8,22.69,177,45,253
323,-,617,17.19,9.3,-1,350,9.2,10.25,350,1680,350,87.7,90.1,350,-7.25,89.15,24.01,45,11,82
1022,348,2028,17.68,6.6,-1.25,350,6.55,6.7,1400,1700,350,101.35,107.05,350,-7.2,106.2,25.31,31,-2,252
128,2,183,18.1,4.6,-1.05,700,4.6,4.9,1050,1720,350,120.9,126,350,-8.7,124.05,26.78,11,-,72
222,63,176,18.45,3.15,-1,700,3.15,3.35,350,1740,1400,132.35,148.25,1400,-,151.35,-,-,-,40
270,65,220,19.34,2.45,-0.75,350,2.3,2.5,350,1760,1400,150.55,167.3,1400,-,170.35,-,-,-,17
76,14,17,19.94,1.8,-0.7,350,1.5,2.55,350,1780,1400,170.1,187.3,1750,-,-,-,-,-,-
413,174,411,20.85,1.45,-0.8,700,1.3,1.45,1050,1800,2450,193.9,205.7,1400,-,215.6,-,-,-,50
-,-,-,-,-,-,1400,0.75,1.7,2800,1820,700,209.15,227.1,1400,-,-,-,-,-,-
34,-1,17,23.68,1.3,-0.2,350,0.9,1.35,350,1840,700,229.05,246.65,1400,-,-,-,-,-,-
18,-,-,-,0.95,-,3150,0.7,1.3,350,1880,700,268.4,285.65,1750,-,294,-,-,-,29
84,23,32,27.91,0.85,-0.4,1750,0.9,0.95,3850,1920,-,-,-,-,-,-,-,-,-,-
