CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,700,882.35,936.9,350,3600,175,1.35,11.95,175,-,-,-,-,-,-
-,-,-,-,-,-,700,683.6,739.65,700,3800,1750,3.75,25.7,5250,-118.65,23.2,44.33,1,1,1
-,-,-,-,-,-,700,593.4,627.05,525,3900,175,11.35,17.2,175,-107.65,12.75,33.78,23,10,10
-,-,-,-,-,-,1225,491.65,549.95,525,4000,-,-,34,175,-,-,-,-,-,-
-,-,-,-,-,-,700,400.85,471,525,4100,1750,21.6,63,175,0.9,34.25,-,-,-,14
1,-,-,-,445,-,1225,328.05,370.4,525,4200,175,50.75,57.7,175,9.15,55.5,33.22,214,16,164
3,-,-,-,350,-,700,235.45,310.55,525,4300,525,40.15,97.5,175,-,-,-,-,-,-
5,5,23,27.62,213,-215.25,175,210.45,219.15,175,4400,175,110.6,115.1,175,22.95,120,33.33,17,10,13
74,33,130,27.85,158.5,-19.15,175,154.15,164.6,175,4500,175,153.65,159.75,350,7.45,159.85,32.34,257,54,106
111,27,160,28.15,115,-17.45,350,113.3,119.3,175,4600,175,205.85,215.35,175,16.75,211.75,31.95,55,16,59
243,113,328,28.39,81.05,-18.3,175,80.75,87.4,175,4700,175,271.75,279.9,175,33.4,290,35.05,53,-20,118
66,13,39,29.06,57.5,-14.85,175,54.2,58.5,175,4800,175,345.75,354.85,175,35.3,351.1,33.24,12,4,5
-,-,-,-,-,-,700,12.6,57.25,175,4900,700,397,470.6,700,-,-,-,-,-,-
225,55,1138,29.74,26.3,-9.05,175,25.85,27.45,175,5000,175,510.35,526.8,175,-257.1,501.6,30.4,5,5,5
-,-,-,-,-,-,3500,2.3,34,175,5100,700,568.35,648.65,700,-,-,-,-,-,-
-,-,-,-,-,-,4375,1.55,19.8,1750,5200,700,669.6,730.25,700,-,-,-,-,-,-
