CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,112000,10.35,10.95,32000,46,88000,0.05,0.1,24000,-,-,-,-,-,-
-,-,-,-,-,-,80000,8.45,9.05,32000,48,504000,0.1,0.15,32000,-0.05,0.15,37.38,20,5,70
-,-,-,-,-,-,32000,7.55,8.2,72000,49,24000,0.2,0.25,48000,-0.1,0.2,36.1,57,34,99
25,3,27,22.54,6.95,-0.2,8000,6.85,7,8000,50,768000,0.25,0.35,320000,-0.15,0.35,37.65,231,28,343
-,-,-,-,-,-,40000,5.8,6.2,24000,51,32000,0.4,0.45,16000,-0.9,0.4,34.91,33,13,13
1,1,1,-,4.85,-6.8,8000,5.05,5.35,24000,52,24000,0.55,0.6,40000,-0.2,0.6,35.47,132,25,182
-,-,-,-,-,-,56000,4.15,4.6,24000,53,16000,0.75,0.8,24000,-0.3,0.75,33.83,214,38,261
21,7,28,31.48,3.85,-0.15,8000,3.7,3.75,8000,54,16000,1.05,1.1,8000,-0.3,1.05,34.2,132,45,166
103,28,114,30.01,3.1,-0.25,24000,3.05,3.1,8000,55,32000,1.35,1.45,40000,-0.3,1.45,35.08,218,6,351
176,115,332,30.69,2.55,-0.3,16000,2.5,2.55,24000,56,72000,1.8,1.9,1040000,-0.35,1.85,34.82,856,553,699
370,187,517,30.15,2,-0.35,64000,2,2.05,8000,57,8000,2.3,2.35,16000,-0.4,2.3,34.31,200,69,163
359,12,406,29.97,1.55,-0.4,32000,1.6,1.65,40000,58,16000,2.85,2.95,16000,-0.3,2.95,35.81,77,24,205
266,53,424,30.97,1.25,-0.35,16000,1.25,1.3,24000,59,24000,3.5,3.6,24000,-0.25,3.6,36.38,101,3,117
1376,214,1873,31.82,1,-0.25,184000,0.95,1.05,120000,60,272000,4.2,4.35,16000,-0.3,4.3,36.88,97,46,618
279,122,320,31.73,0.75,-0.25,64000,0.75,0.8,72000,61,8000,5,5.1,24000,-0.3,5.1,38.27,42,34,78
1205,553,829,31.59,0.55,-0.25,80000,0.55,0.6,48000,62,8000,5.75,5.95,16000,-0.55,5.65,34.14,16,-3,381
311,77,259,34.01,0.5,-0.2,8000,0.45,0.5,56000,63,16000,6.55,7.05,80000,-0.15,6.35,-,-,-,18
142,55,104,34.8,0.4,-0.15,400000,0.35,0.45,152000,64,8000,7.6,7.75,8000,0.2,7.6,40.62,16,13,18
1925,209,3377,36.46,0.35,-0.15,3592000,0.3,0.35,24000,65,8000,8.5,8.65,8000,-,8.65,45.32,22,11,116
98,-3,75,36.05,0.25,-0.15,120000,0.25,0.3,32000,66,32000,9.25,9.85,112000,-,-,-,-,-,-
92,33,68,38.73,0.25,-0.05,128000,0.2,0.25,64000,67,32000,10.2,10.8,192000,-,10,-,-,-,4
75,7,28,39.26,0.2,-0.1,680000,0.15,0.2,24000,68,16000,11.15,11.75,152000,-,-,-,-,-,-
27,2,3,41.7,0.2,-0.1,40000,0.15,0.2,80000,69,16000,12.15,12.7,80000,-,-,-,-,-,-
533,48,878,41.54,0.15,-0.05,4984000,0.1,0.15,192000,70,16000,13.05,13.65,152000,-,13.5,-,-,-,11
33,7,55,40.59,0.1,-0.1,1472000,0.05,0.1,48000,71,8000,14.05,14.6,32000,-,-,-,-,-,-
55,-,16,42.66,0.1,-,1680000,0.05,0.1,192000,72,8000,15.15,15.45,8000,2.9,15.7,68.95,1,1,5
7,-2,7,41.83,0.05,-0.05,672000,0.05,0.1,200000,74,32000,17,17.6,192000,-,-,-,-,-,-
55,2,8,45.37,0.05,-0.05,144000,0.05,0.1,176000,76,32000,18.95,19.55,112000,-,18.8,-,-,-,4
