CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,4000,105.65,112.45,2000,520,20000,0.1,1.35,1000,-,-,-,-,-,-
-,-,-,-,-,-,4000,86.2,92.45,2000,540,1000,0.7,1,1000,0.25,0.9,30.41,2,-,6
-,-,-,-,-,-,2000,67.2,73,4000,560,1000,1.45,1.6,1000,-0.8,1.4,26.89,39,18,21
-,-,-,-,-,-,2000,57.95,63.55,3000,570,1000,1.95,4.2,40000,-,3.35,-,-,-,1
-,-,-,-,-,-,2000,49.05,53.95,3000,580,1000,3.15,3.3,1000,-0.2,3.2,25.87,79,35,97
-,-,-,-,-,-,2000,40.6,45.2,3000,590,2000,4.6,4.85,2000,-0.65,4.35,24.68,13,9,11
14,2,8,29.06,39.5,0.25,1000,34.35,35.45,1000,600,1000,6.6,6.85,1000,-0.2,6.75,24.99,165,29,132
1,1,1,26.19,30.95,-84.35,2000,26.1,29.1,1000,610,1000,9.55,9.85,1000,-0.15,9.55,24.71,76,48,65
16,16,23,21.85,21.8,-43,1000,21.45,22.2,1000,620,1000,13.25,13.65,1000,0.35,13.35,24.76,152,35,114
56,28,110,21.95,16.5,-3.85,1000,16.25,17.05,1000,630,1000,18.05,18.45,1000,0.7,18,24.8,229,57,116
91,44,159,22.45,12.45,-3.25,1000,12.05,12.35,1000,640,1000,23.5,24.05,1000,0.65,23.6,24.97,113,56,121
293,59,216,22.18,8.75,-3.25,2000,8.75,8.9,1000,650,1000,28.7,30.8,1000,1.3,30.05,25.22,52,-1,129
132,36,76,22.66,6.35,-2.3,2000,6.2,6.6,1000,660,2000,36.75,38.2,1000,2.9,37.95,26.63,14,3,59
148,43,164,23.22,4.6,-1.65,2000,4.4,4.55,1000,670,1000,45.35,46.3,1000,2.9,46,27.5,7,2,64
116,29,119,23.62,3.25,-1.35,2000,3.1,3.25,2000,680,2000,52.25,54.95,1000,4.25,55.25,29.88,13,5,44
32,17,60,24.37,2.4,-1.1,1000,2.25,2.4,2000,690,2000,59.95,64,1000,10.75,65.65,34.18,6,2,23
206,40,140,25.01,1.75,-0.8,1000,1.65,1.75,1000,700,2000,69.2,75.6,5000,1.45,71.15,-,-,-,60
12,9,10,26.56,1.5,-0.7,1000,1.2,1.45,3000,710,1000,78.7,84.95,5000,-,42.5,-,-,-,10
36,8,59,26.85,1.05,-0.35,1000,1,1.1,1000,720,4000,88.6,94.2,4000,-,67,-,-,-,3
19,-,-,-,1.35,-,1000,0.5,2.05,1000,730,2000,97.95,104.55,5000,-,-,-,-,-,-
-,-,-,-,-,-,2000,0.35,3,1000,740,2000,108.2,115.9,4000,-,70,-,-,-,6
20,-,-,-,0.8,-,7000,0.5,0.95,1000,750,2000,118.35,123.9,5000,-,75,-,-,-,1
-,-,-,-,-,-,1000,0.25,1.75,2000,760,2000,127.95,134.05,5000,-,89.5,-,-,-,3
-,-,-,-,-,-,1000,0.25,5.05,40000,770,2000,137.2,147.75,4000,-,-,-,-,-,-
-,-,-,-,-,-,1000,0.25,2.95,40000,780,2000,147.15,155.55,4000,-,108.4,-,-,-,3
10,-,-,-,0.6,-,1000,0.25,0.8,1000,800,2000,167.65,173.45,5000,-,-,-,-,-,-
