CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,3250,141.95,150.5,1300,780,26000,0.05,0.95,2600,-,-,-,-,-,-
-,-,-,-,-,-,1300,123.2,129.5,1300,800,650,0.6,1.15,650,-0.55,1.15,28.4,4,4,14
-,-,-,-,-,-,2600,104.1,113.45,2600,820,650,1,3,1950,-,-,-,-,-,-
-,-,-,-,-,-,6500,92.45,103.75,2600,830,650,0.2,3.5,650,-5.7,1.6,24.04,2,2,2
-,-,-,-,-,-,2600,84.9,93.7,2600,840,650,2.55,2.7,1300,-1,2.55,24.53,38,7,47
7,7,10,22.46,79.05,-72.3,650,78.45,80.85,650,850,650,3.35,3.5,1950,-1.2,3.45,24.19,84,10,64
15,10,12,21.98,70.05,-1.95,650,69.65,71.05,650,860,1300,4.3,4.45,1300,1.9,4.35,23.42,70,50,51
1,1,1,24.34,63.25,-71.95,650,59.45,62.6,650,870,1300,5.65,5.8,650,-8.2,5.6,22.82,75,64,64
7,7,9,22.21,53.85,-53.3,650,53.05,54.85,650,880,650,7.35,7.8,650,-2.05,7.6,22.77,154,-35,192
22,10,16,21.44,45.75,0.35,650,45.25,46.55,650,890,650,9.65,10.3,1300,-2.45,9.8,22.38,105,68,124
65,7,51,21.32,38.7,0.3,650,38.25,39.1,650,900,650,12.45,12.8,650,-3.05,12.6,22.11,221,27,246
19,15,30,21.28,32.35,0.05,650,31.9,32.75,650,910,650,15.9,16.35,650,-3.15,16.45,22.3,91,52,69
106,66,264,21.15,26.55,-0.55,650,26.25,26.95,650,920,650,20.1,20.5,650,-3.65,20.45,22.01,209,68,195
182,79,393,21.03,21.45,-0.8,650,21.35,23,650,930,650,24.9,25.6,650,-3.85,25.2,21.83,293,74,151
262,89,382,21.22,17.35,-0.65,650,17.05,17.35,650,940,650,30.55,31.2,650,-4.35,30.55,21.6,112,24,173
404,44,263,21.07,13.55,-0.9,1300,13.5,15.55,650,950,650,36.9,37.65,650,-4.1,36.75,21.56,48,11,211
245,67,248,21.43,10.85,-0.75,650,10.6,10.95,650,960,650,43.95,44.7,650,-4.15,43.45,21.41,20,9,100
112,47,107,21.62,8.5,-0.7,650,8.3,8.6,650,970,1950,49.55,55.5,650,1.05,56.7,-,-,-,32
631,33,358,21.95,6.7,-0.7,7800,6.6,6.8,650,980,650,59.55,60.5,650,-3.9,59.2,22.02,20,10,276
61,16,65,22.33,5.3,-0.6,650,5.1,5.3,650,990,1950,66,72,5850,-,-,-,-,-,-
622,65,487,22.57,4.1,-0.5,2600,4.05,4.15,1300,1000,1300,76.85,77.9,650,-4.9,77.1,23.76,33,7,304
37,-8,68,23.1,3.3,-0.8,1950,3.15,3.3,650,1010,2600,81.7,89.95,2600,-,-,-,-,-,-
81,8,44,23.36,2.55,-0.4,1300,2.55,2.65,1950,1020,2600,90.05,99.25,2600,-,93,-,-,-,8
29,13,22,24.25,2.2,-0.25,650,2.1,2.3,1300,1030,2600,99.6,108.6,2600,-,-,-,-,-,-
101,53,92,24.94,1.85,-0.3,650,1.75,1.9,650,1040,2600,109.05,118.25,2600,-,101,-,-,-,4
29,9,26,25.74,1.6,-0.6,650,1.45,1.6,650,1050,2600,118.85,127.9,2600,-,101.6,-,-,-,5
22,15,28,25.99,1.25,-0.95,650,1,1.4,650,1060,2600,128.6,137.3,2600,-,-,-,-,-,-
1,-,-,-,2.25,-,7150,0.6,2.4,650,1080,1300,148.5,158.15,3250,-,-,-,-,-,-
115,42,54,29.33,0.8,-,650,0.75,0.85,650,1100,1300,167.6,177.4,3250,0.4,176,-,-,-,47
-,-,-,-,-,-,1300,0.35,1.35,1300,1120,1300,188.05,197.3,2600,-,-,-,-,-,-
