CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2200,185.45,196.3,1100,880,1650,0.1,1.45,550,-,-,-,-,-,-
-,-,-,-,-,-,1100,165,175.75,1100,900,1100,0.35,0.9,550,-0.55,0.4,26.98,23,-18,3
-,-,-,-,-,-,1100,145.4,156.65,1100,920,1650,0.35,1.55,550,-,-,-,-,-,-
-,-,-,-,-,-,1100,125.7,136.25,1100,940,9350,0.8,0.9,51700,0.25,0.8,23.47,267,237,238
2,2,2,33.73,125.85,-14.15,2200,116.4,126.5,1100,950,550,1,1.9,5500,-5.15,2,26.12,1,1,1
-,-,-,-,-,-,2750,105.6,117.15,2200,960,550,1.2,1.95,550,-5.4,1.65,23.31,8,7,7
-,-,-,-,-,-,2200,97,107.75,2200,970,1100,2,2.15,550,-0.7,2.1,22.73,183,46,124
-,-,-,-,-,-,2200,88.3,98.4,2200,980,1100,2.55,2.75,550,-0.75,2.8,22.42,108,53,75
-,-,-,-,-,-,2200,78,89.25,2200,990,1100,3.4,3.55,1100,-1.15,3.45,21.67,48,22,42
17,9,18,19.34,74,-2,1100,71.8,75.35,550,1000,550,4.55,4.65,1650,-1.1,4.75,21.67,209,35,180
1,-,-,-,87,-,1100,62,69.8,1100,1010,550,5.9,6.2,550,-1.35,6.05,21.21,25,13,18
-,-,-,-,-,-,2750,53.95,61.25,2750,1020,550,7.7,8,550,-1.4,7.75,20.85,108,33,67
-,-,-,-,-,-,2200,45.95,53.7,1650,1030,550,9.5,10.25,550,-1.75,10,20.66,128,47,85
-,-,-,-,-,-,2200,39.05,45.7,1650,1040,550,12.6,13,550,-2,12.55,20.3,140,-1,85
43,4,121,19.88,36.7,0.2,550,34.45,36.75,550,1050,550,15.8,16.25,550,-1.95,16.05,20.32,229,41,126
113,67,345,19.61,30.5,-0.45,550,30.2,30.9,550,1060,550,19.9,20.35,550,-2.45,20.05,20.26,1209,157,336
138,100,598,19.48,25.1,-0.9,2750,25.1,25.4,550,1070,550,24.55,24.85,550,-2.75,24.75,20.27,356,80,155
264,112,1061,19.49,20.5,-1,550,20.15,20.7,550,1080,550,29.85,32.7,550,-3.15,29.75,20.04,254,17,157
165,74,349,19.65,16.7,-0.9,550,16.45,16.9,550,1090,550,35.6,37.95,550,-3,36,20.32,461,139,197
748,135,1216,19.74,13.4,-1.05,550,13.05,13.5,550,1100,550,42.3,42.95,550,-3.25,42.8,20.6,57,3,237
138,75,172,19.79,10.6,-0.85,1100,9.8,10.7,550,1110,1650,47.15,52.9,550,-0.35,52.3,-,-,-,17
155,46,224,19.97,8.4,-0.95,550,8.15,8.5,550,1120,550,57.05,58.7,550,-2.55,57.45,20.81,10,-2,17
68,2,91,19.84,6.35,-1.5,550,6.45,6.7,550,1130,2200,61.4,70.4,1100,-,-,-,-,-,-
87,48,155,20.24,5.1,-1.05,1100,5.05,5.25,550,1140,2200,69.3,79.15,2200,-,75,-,-,-,1
209,61,216,20.57,4.05,-1,1650,3.95,4.1,1100,1150,550,82.6,87.25,550,17.95,82.95,21.93,9,9,10
77,24,72,20.87,3.2,-0.85,550,3.05,3.25,550,1160,2200,88.4,96.65,550,-,92,-,-,-,9
91,-,146,21.02,2.45,-0.95,550,2.4,2.5,1100,1170,2200,95.55,106.1,2200,-,-,-,-,-,-
81,47,83,21.14,1.85,-0.85,550,1.85,2,550,1180,2200,104.95,115.05,2200,-,-,-,-,-,-
1,-,4,21.14,1.35,-2.8,550,1.05,1.7,550,1190,2200,114.55,125.05,2200,-,-,-,-,-,-
846,515,836,22.13,1.25,-0.6,6600,1.25,1.3,2200,1200,1100,124.1,134.05,1100,-,109,-,-,-,4
2,1,2,22.88,1.1,-2.65,550,0.5,1.5,550,1210,1100,133.5,145,2750,-,-,-,-,-,-
1,1,2,23.72,1,-44.2,2200,0.6,1.4,550,1220,1100,144.45,154.15,2200,-,-,-,-,-,-
39,-5,17,24.06,0.6,-0.45,1100,0.55,0.7,1100,1240,1100,163.85,173.6,2200,-,-,-,-,-,-
-,-,-,-,-,-,2750,0.15,1.4,550,1260,1100,183.15,194.75,2200,-,-,-,-,-,-
