CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,400,832.4,880.2,400,4400,100,5.55,9.65,100,-1.75,9,36.13,100,22,129
-,-,-,-,-,-,400,638.95,690.25,200,4600,100,11.65,14.5,100,-0.1,14,31.69,63,33,52
-,-,-,-,-,-,300,542.3,591.35,300,4700,100,13.5,26,100,-,-,-,-,-,-
1,-,-,-,765.55,-,700,460.15,499.05,300,4800,100,29.55,31.7,100,3.4,31,29.92,114,54,91
-,-,-,-,-,-,700,375.4,418.25,200,4900,100,43.9,47,100,7,46.95,29.52,140,66,71
3,-,-,-,420,-,700,297.8,337.15,1300,5000,100,64.05,71,100,12.5,68.5,29.07,414,115,319
13,13,23,23.37,253,-836.75,100,250.2,259.7,100,5100,100,99.45,103.9,100,21.3,100.5,29.24,211,-6,118
29,28,59,25.01,199.95,-71.05,100,194.8,199.95,200,5200,100,123.15,145.35,100,30.25,141.6,29.51,572,60,135
181,165,466,24.94,147.75,-54,100,146.8,152.55,200,5300,100,169.75,196.65,100,38.55,192.85,30,487,98,205
161,86,469,25.6,110,-44.6,100,110,115.8,100,5400,100,251.2,259.4,200,53.95,259.9,31.72,206,36,142
457,211,803,26.52,82.35,-33.15,100,80.15,82.4,100,5500,100,320.6,329.25,100,62.8,327.25,32.32,78,-11,329
564,264,654,26.85,58.65,-27.5,100,58.05,74.7,100,5600,100,393.75,414.1,100,48.15,380,28.91,4,1,183
382,69,500,27.63,42.95,-19.6,100,41.3,43.85,100,5700,100,479.8,492.05,100,88.35,486.05,34.79,22,2,160
270,62,358,28.14,30.55,-15.85,100,29.5,31.6,100,5800,100,565.15,589.05,100,118.45,573.45,36.47,11,4,107
41,12,36,28.79,22,-11.7,100,21.75,23.55,100,5900,400,638.1,683.95,400,-,530.85,-,-,-,18
524,98,546,29.55,16.1,-9.35,100,16.05,21.95,100,6000,100,749.1,776.15,100,87.1,753.1,39.28,2,1,100
45,13,34,30.39,12,-6,100,9.85,16.2,100,6100,200,826.5,875.9,400,-,640,-,-,-,20
111,23,94,30.73,8.3,-5.95,100,7.9,12.1,100,6200,200,923.35,972.3,400,-,741.1,-,-,-,9
-,-,-,-,-,-,1000,6,10,100,6300,200,1012.65,1070.55,500,-,900,-,-,-,30
-,-,-,-,-,-,1000,5.15,10.3,100,6400,200,1111.3,1171.15,400,-,-,-,-,-,-
809,53,330,35.59,5.75,-2.25,100,5.75,5.95,100,6500,200,1215.5,1265.95,400,-,1133,-,-,-,48
-,-,-,-,-,-,500,3.85,8,100,6600,200,1316.6,1363.7,400,-,-,-,-,-,-
-,-,-,-,-,-,500,3.4,-,-,6700,200,1407.4,1469.25,500,-,-,-,-,-,-
-,-,-,-,-,-,500,3,-,-,6800,200,1506.9,1568.15,500,-,1250,-,-,-,1
183,-21,60,42.78,3.55,-0.95,100,2.75,4.75,100,7000,400,1704.45,1763.25,400,1.65,1634.8,-,-,-,50
