CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,1,1,60.23,139.55,-17.15,3200,130.3,137.1,1600,540,16800,0.3,0.35,7200,-0.3,0.3,34.39,162,76,165
8,-,-,-,124.8,1.7,4000,111.4,115,4000,560,4000,0.45,0.55,79200,-0.35,0.5,31.8,166,85,209
4,-,-,-,114,-,3200,100.95,107.75,1600,570,1600,0.65,0.7,10400,-0.3,0.7,30.91,235,205,222
20,-,-,-,100.05,-,5600,91.7,95.35,5600,580,1600,0.85,1,2400,-0.3,0.85,29.24,523,258,709
7,-,-,-,86,-,1600,82,85.45,1600,590,4000,1.3,1.35,1600,-0.2,1.35,29.11,436,163,380
578,16,59,-,74.25,-6.45,800,74.75,76,800,600,7200,1.8,1.9,12000,-0.15,1.9,28.36,1096,139,1285
37,11,24,20.39,65.55,-2.1,800,65.55,66.2,800,610,2400,2.5,2.6,800,-0.1,2.55,27.31,227,58,327
124,5,23,21.16,56.5,-6,800,56.6,57.2,800,620,5600,3.55,3.65,8800,0.1,3.6,26.7,1385,47,1063
125,6,78,22.96,48.5,-4.4,800,48.05,48.65,800,630,800,5,5.05,800,0.45,5.1,26.27,1401,48,859
143,-1,62,22.89,40.45,-4.4,800,40.15,40.65,800,640,1600,6.9,7,1600,0.7,7,25.71,1503,175,1061
362,23,379,22.65,32.95,-4.4,800,32.85,33.3,800,650,7200,9.5,9.55,1600,1,9.6,25.37,2717,243,2012
340,33,710,22.76,26.45,-4.1,800,26.4,26.75,800,660,800,12.9,13.05,800,1.45,13.1,25.33,2674,176,1163
954,315,3414,22.86,20.8,-3.55,800,20.9,21,1600,670,800,17.15,17.3,800,1.85,17.3,25.22,4503,316,1500
2642,397,6100,23.12,16.15,-3.05,1600,16.05,16.2,800,680,800,22.3,22.45,800,2.25,22.55,25.44,3262,416,2684
2026,337,4189,23.14,12.15,-2.75,1600,12.1,12.15,7200,690,800,28.3,28.6,800,2.45,28.4,25.46,920,34,1425
5623,204,9133,23.19,8.95,-2.45,800,9.05,9.1,800,700,800,34.95,35.35,800,3.05,35.3,25.94,670,38,2754
1242,150,2863,23.4,6.55,-1.95,7200,6.55,6.65,800,710,800,42.4,43.25,800,3.2,42.6,26.12,51,9,250
1782,253,3853,23.66,4.75,-1.5,2400,4.75,4.8,4000,720,800,50.6,51,800,4.45,51.5,28.07,66,13,521
1805,141,1805,24.04,3.45,-1.15,8000,3.4,3.5,8800,730,800,59,59.65,800,4.55,59.4,27.75,50,4,527
1391,89,1356,24.44,2.5,-0.85,14400,2.45,2.5,33600,740,800,68,68.65,800,4.15,68.3,28.63,36,-,481
2705,390,1931,25,1.85,-0.7,16800,1.8,1.9,6400,750,800,77.2,77.9,800,4.15,77.65,30.08,48,24,397
914,44,840,25.67,1.4,-0.5,3200,1.35,1.4,3200,760,2400,86.25,87.35,800,5.85,87.85,33.38,113,28,313
371,153,482,26.25,1.05,-0.4,800,1,1.05,6400,770,800,96.15,96.95,800,5.9,97.55,35.37,63,31,68
789,105,525,26.58,0.75,-0.35,1600,0.7,0.8,134400,780,800,105.8,107.3,800,3,104,23.04,3,-1,486
2441,-10,1025,28.82,0.55,-0.25,6400,0.55,0.6,35200,800,1600,124.9,126.35,800,5.5,126.1,38.74,19,-5,2124
394,-29,223,33.34,0.35,-0.1,2400,0.35,0.4,16000,840,800,164.55,165.95,800,-2.45,158,-,12,-8,589
