CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2900,63.85,67.85,5800,310,5800,0.1,0.8,1450,-,-,-,-,-,-
19,-,-,-,70.8,-,2900,53.95,57.3,5800,320,7250,0.25,0.4,2900,-0.3,0.4,30.44,97,46,63
3,-,-,-,44.05,-,5800,44.1,48.1,5800,330,2900,0.45,0.6,1450,-0.35,0.5,26.76,214,131,194
15,15,23,-,41.35,-27.5,1450,41.05,41.6,1450,335,1450,0.65,0.8,1450,-1.9,0.8,26.84,26,17,17
43,11,25,-,36.7,2.3,1450,36.35,36.9,1450,340,8700,0.9,1,10150,-0.5,0.95,25.21,284,110,358
55,-3,80,-,32.05,2.35,1450,31.8,32.75,1450,345,4350,1.25,1.35,4350,-0.6,1.35,24.69,101,26,79
56,2,24,-,27.35,1.35,1450,27.35,27.75,1450,350,1450,1.75,1.8,8700,-0.85,1.75,23.58,813,200,586
35,12,27,15.64,23.25,1.65,1450,23,23.5,1450,355,5800,2.4,2.5,7250,-1,2.45,23.08,230,2,198
82,36,82,16.41,19.1,1.5,1450,19,19.75,5800,360,11600,3.3,3.45,20300,-1.3,3.35,22.5,1464,111,850
134,52,131,16.81,15.3,1.1,1450,15.3,15.55,1450,365,2900,4.55,4.65,1450,-1.5,4.65,22.28,946,-39,309
596,275,1461,17.24,12,0.95,1450,12,12.15,1450,370,5800,6.1,6.25,2900,-1.8,6.25,21.95,2047,218,883
847,152,2067,17.5,9.15,0.55,2900,9.1,9.3,15950,375,1450,8.15,8.35,1450,-2.05,8.3,21.79,1009,268,939
1274,139,2315,17.62,6.75,0.5,4350,6.8,6.85,1450,380,1450,10.65,10.9,1450,-2.2,10.9,21.97,476,23,1171
858,97,1081,17.64,4.8,0.35,2900,4.8,4.9,4350,385,2900,13.65,13.95,1450,-2.5,13.8,21.92,124,11,481
1510,295,1868,17.8,3.35,0.2,8700,3.3,3.4,26100,390,1450,16.9,17.45,1450,-2.45,17.4,22.69,74,4,1045
634,283,734,18.02,2.3,0.1,5800,2.25,2.35,8700,395,1450,21,21.4,1450,-2.45,21.3,23.51,32,10,136
2084,292,1254,18.07,1.5,0.05,29000,1.5,1.6,20300,400,1450,25.2,25.55,1450,-2.8,25.4,24.25,81,-1,1373
280,34,169,18.12,0.95,-0.05,8700,1,1.1,10150,405,1450,29.6,30.05,1450,-3.2,29.85,25.55,31,9,107
776,50,241,18.94,0.7,-,2900,0.7,0.75,24650,410,1450,34.3,34.7,1450,-3,34.55,27.37,24,11,568
163,4,39,19.96,0.55,0.05,1450,0.45,0.6,2900,415,5800,37.35,41.05,2900,-0.1,41.75,-,-,-,38
759,-44,220,20.59,0.4,0.05,5800,0.35,0.4,1450,420,1450,43.75,44.3,1450,-1.8,44.8,33.73,11,2,884
32,-,15,21.3,0.3,0.05,15950,0.15,0.35,2900,425,2900,47.1,51.1,2900,-,51.2,-,-,-,14
366,11,75,21.56,0.2,-,24650,0.2,0.25,4350,430,2900,52,55.75,5800,-,57,-,-,-,450
699,-17,24,22.46,0.1,-0.05,449500,0.1,0.15,165300,440,2900,62.25,63.9,1450,-2.5,63.7,38.81,2,2,1082
179,11,62,25.28,0.1,-,75400,0.1,0.15,5800,450,1450,72.5,74.4,1450,-3.05,73,39.29,2,-,517
55,-7,8,28,0.1,0.05,34800,0.05,0.1,5800,460,-,-,-,-,-,-,-,-,-,-
