CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
193,-,-,-,24.95,-,5500,24.45,25.8,22000,130,2376000,0.1,0.15,198000,-0.05,0.15,32.29,130,40,224
6,-,-,-,20.4,-,11000,19.6,21.05,11000,135,946000,0.2,0.25,467500,-0.1,0.25,29.22,207,90,200
6,6,12,-,17.8,-5.65,5500,17.85,18.05,5500,137.5,16500,0.25,0.3,66000,-0.2,0.25,26.16,104,28,71
100,1,12,-,15.45,0.75,5500,15.5,15.7,5500,140,132000,0.4,0.45,209000,-0.2,0.45,26.47,553,64,405
17,6,19,-,13.15,0.55,5500,13.2,13.4,5500,142.5,44000,0.55,0.6,49500,-0.25,0.6,25,268,40,187
85,11,22,15.79,10.95,0.45,5500,11,11.15,5500,145,132000,0.85,0.9,335500,-0.4,0.85,23.95,1069,120,648
45,19,76,18.36,8.95,0.35,5500,8.95,9.1,5500,147.5,5500,1.25,1.3,22000,-0.55,1.25,23.32,394,22,184
419,49,597,19.24,7.1,0.25,5500,7.05,7.2,5500,150,66000,1.85,1.9,49500,-0.6,1.9,23.34,1301,101,1271
140,25,341,19.9,5.5,0.15,11000,5.45,5.6,5500,152.5,38500,2.7,2.8,38500,-0.8,2.75,23.31,847,68,434
1129,311,2521,20.1,4.1,-,16500,4.1,4.15,60500,155,38500,3.8,3.9,71500,-0.9,3.9,23.7,1418,94,1081
821,136,1915,20.48,3,-0.1,38500,2.95,3.05,148500,157.5,11000,5.15,5.25,11000,-1,5.25,23.93,357,36,497
2503,268,2886,20.58,2.1,-0.2,27500,2.1,2.15,71500,160,11000,6.75,6.85,11000,-1.1,6.8,24.07,403,36,1168
592,118,1135,21.19,1.5,-0.15,27500,1.45,1.5,60500,162.5,5500,8.55,8.65,5500,-1.15,8.65,24.88,36,-13,191
1152,132,1590,20.9,0.95,-0.25,154000,0.95,1,22000,165,5500,10.6,10.7,5500,-1.15,10.8,26.75,41,9,395
280,24,478,21.43,0.65,-0.2,16500,0.65,0.7,60500,167.5,5500,12.75,12.85,5500,-1.15,12.95,28.01,28,-,71
1176,7,1331,22.05,0.45,-0.15,253000,0.45,0.5,550000,170,11000,15,15.15,5500,-0.8,15.2,29.48,32,6,353
288,59,247,22.48,0.3,-0.1,220000,0.3,0.35,71500,172.5,5500,17.35,17.5,5500,0.35,17.6,31.88,14,11,14
485,11,415,22.92,0.2,-0.15,2024000,0.2,0.25,203500,175,22000,19.3,20.65,22000,-0.05,21,-,-,-,107
50,2,7,23.86,0.15,-0.05,379500,0.15,0.2,16500,177.5,11000,21.65,22.95,22000,-,21.95,-,-,-,2
554,70,194,25.93,0.15,-0.05,3234000,0.1,0.15,313500,180,5500,24.4,25,5500,-1.45,24.4,32.49,2,2,169
219,15,280,28.06,0.1,-0.05,3025000,0.05,0.1,203500,185,22000,28.95,30.4,22000,-,29.9,-,-,-,95
297,25,34,31.67,0.1,-,3184500,0.05,0.1,654500,190,-,-,-,-,-,-,-,-,-,-
